Codicem,"Lingua Anglica (Abecedarium Latinum), meta",Lingua Anglica (Abecedarium Latinum),Cōdex factō,Cōdex factō; meta
10_5,,"NOTE: /At the moment, there is no workflow to use https://www.wikidata.org/wiki/Wikidata:Lexicographical_data[Wikidata lexicographical data], which actually could be used as storage for stricter nomenclature. The current implementations use only Wikidata concepts, the Q-items./@eng-Latn",,
10_6,,"The ***[{1}] {2}*** uses Wikidata as one strategy to conciliate language terms for one or more of it's concepts.\n\nThis means that this book, and related dictionaries data files require periodic updates to, at bare minimum, synchronize and re-share up to date translations.",,
10_7,,"**How reliable are the community translations (Wikidata source)?**\n\nThe short, default answer is: **they are reliable**, even in cases of no authoritative translations for each subject.\n\nAs reference, it is likely a professional translator (without access to Wikipedia or Internal terminology bases of the control organizations) would deliver lower quality results if you do blind tests. This is possible because not just the average public, but even terminologists and professional translators help Wikipedia (and implicitly Wikidata).\n\nHowever, even when the result is correct, the current version needs improved differentiation, at minimum, acronym and long form. For major organizations, features such as __P1813 short names__ exist, but are not yet compiled with the current dataset.",,
10_8,,"**Major reasons for ""wrong translations"" are not translators fault**\n\nTIP: As a rule of thumb, for already very defined concepts where you, as human, can manually verify one or more translated terms as a decent result, the other translations are likely to be acceptable. Dictionaries with edge cases (such as disputed territory names) would have further explanation.\n\nThe main reason for ""wrong translations"" are poorly defined concepts used to explain for community translators how to generate terminology translations. This would make existing translations from Wikidata (used not just by us) inconsistent. The second reason is if the dictionaries use translations for concepts without a strict match; in other words, if we make stricter definitions of what concept means but reuse Wikidada less exact terms. There are also issues when entire languages are encoded with wrong codes. Note that all these cases **wrong translations are strictly NOT translators fault, but lexicography fault**.\n\nIt is still possible to have strict translation level errors. But even if we point users how to correct Wikidata/Wikipedia (based on better contextual explanation of a concept, such as this book), the requirements to say the previous term was objectively a wrong human translation error (if following our seriousness on dictionary-building) are very high.",,
10_9,,"From the point of view of data conciliation, the following methodology is used to release the terminology translations with the main concept table.\n\n. The main handcrafted lexicographical table (explained on previous topic), also provided on `{0}.no1.tm.hxl.csv`, may reference Wiki QID.\n. Every unique QID of  `{0}.no1.tm.hxl.csv`, together with language codes from [`1603:1:51`] (which requires knowing human languages), is used to prepare an SPARQL query optimized to run on https://query.wikidata.org/[Wikidata Query Service]. The query is so huge that it is not viable to ""Try it"" links (URL overlong), such https://www.wikidata.org/wiki/Wikidata:SPARQL_query_service/queries/examples[as what you would find on Wikidata Tutorials], ***but*** it works!\n.. Note that the knowledge is free, the translations are there, but the multilingual humanitarian needs may lack people to prepare the files and shares then for general use.\n. The query result, with all QIDs and term labels, is shared as `{0}.wikiq.tm.hxl.csv`\n. The community reviewed translations of each singular QID is pre-compiled on an individual file `{0}.wikiq.tm.hxl.csv`\n. `{0}.no1.tm.hxl.csv` plus `{0}.wikiq.tm.hxl.csv` created `{0}.no11.tm.hxl.csv`",,
10_10,,"This section explains the methodology of this book and it's machine readable formats. For your convenience the information used to explain the concepts (such as natural language and interlingual codes) which appears in this book are also summarized here. This approach is done both for reviews not needing to open other books (or deal with machine readable files) and also to spot errors on other dictionaries. +++<br><br>+++ About how the book and the dictionaries are compiled, a division of ""baseline concept table"" and (when relevant for a codex) ""translations conciliation"" is given different methodologies. +++<br><br>+++ Every book contains at minimum the baseline concept table and explanation of the used fields. This approach helps to release dictionaries faster while ensuring both humans and machines can know what to expect even when they are not ready to receive translations.",,
10_11,,"While the previous section presented the linguistic information (e.g. natural languages list) from [[1603:1:51]] restricted to what this book edition de facto has, this section gives a quick summary of Interlinguistic Information of [[1603:1:7]]. By Interlinguistic, it can be either true, language neutral codes (such as numbers) or computer codes which actually are mnemonics using some non neutral writing system. Interlinguistic, in the worst case, means some sort of _external identifier_ likely to be usable as a machine readable identifier.\n\nThe next section, **Archīa** (literal English translation: Files) will only show [[{0}]] direct related files. But the complete [[1603:1:51]] and [[1603:1:7]] are available and licensed under public domain which makes them very friendly to derived works while mitigating implementers _additional_ errors.",,
10_12,,"Ignoring for a moment the fact of having several translations (and optimized to receive contributions on a regular basis), then the actual groundbreaking difference every dictionaries on Cōdex such as this one are the following fact: **we provide well documented machine readable formats** even when the equivalents in English don't have.",,
20,,Desambiguation betwen dictionaries,,
20_1,,"\n\n**RELATED DICTIONARIES**\n\n\nThis namespace of dictionaries have related (but not equal) actors which may _help_ other humans using different strategies. The differentiation between then is **very** relevant as this affects perception of neutrality when _help_ is done.\n\n\n**1603:63:1** //Dictiōnāria basibus dē auxiliīs hūmānitātibus strictīs//\n\nThis is stricter and more well know type of humanitarian aid. It MUST focus on immediate needs, which differentiate them from development aid.\n\n\n**[1603:26:21]** //Dictiōnāria dē Iurum humanorum defensor//\n\nThis is the most generic type of human rights defender. In addition to defend some type of human rights, MUST not cause intentional harm to other human beings unless in self defense and not disproportional immediate to the danger.\n\n\n**[1603:26:36]** //Dictiōnāria dē intraimperiīs lēgisperītīs per lēgēs certiōrātū//\n\nThis is a very strict type of **1603:26:21**. The main difference are the modi operandi : uses own country laws or it's signed international treaties to defend specific cases or reforms on country judicial system.\n\n**[1603:45:997]** //(needs be boostrapped)//\n\nDevelopment aid, while may be practiced as part of humanitarian operations to reduce likelihood of future need from foreigner help to do humanitarian aid, is not the same as humanitarian aid. \n\n\n**[1603:14:997]** //Dictiōnāria dē relevāminibus per bellīs//\n\nMilitary relief is a type of intervention on a foreign country justified on reduce individual human suffering which already is not considered a formal peacekeeping operation.",,
50,,Quotes and other messages,,
50_1,,/**Public domain means that each major common issue only needs to be resolved once**/@eng-Latn,,
100,,Notāte bene,,
100_1,,[HELP WANTED] Generated PDF don't have right fonts for all languages,,
100_1_1,,"First, sorry if this affects your loved language. We're working on this, but we are still not perfected.\n\nIf you have fonts installed on your computer, you very likely can still copy and paste from the eBook version.\n\nPlease note that all formats intended for machine processing will work fine.",,
100_2,,[Book with Wikidata Q] I want to help! Some translation is missing or is wrong! How to change it?,,
100_2_1,,"Most (but not all) concepts are using Wikidata Q. In fact, most of the time we improve Wikidata while preparing the dictionaries. Please check if the exact concept you want have a Q ID then click. There you can add translations.\n\nThe next release (likely weekly) will have your submissions without need to contact us directly.",,
100_3,,"[Book with Wikidata Q] I can find the Wikidata concept, but I'm unable to edit!",,
100_3_1,,"While Wikidata is more flexible than Wikipedia's (for example, it allows concepts without need to create Wikipedia pages) even Wikidata can have concepts which require creating an account and don't allow anonymous editing. Creating such an account and confirming email is faster than asking someone else's do it for you.\n\nHowever, while vandalism on Wikidata is rare, very few concepts will require an account with more contributions and not created very recently. If this is your case, help with the ones you can do alone and the rest ask someone else to add to you.",,
100_4,,I heard there is an interest in having Cōdex beyond Latin language! How to do it?!,,
100_4_1,,"Please contact us. This book uses Latin (sometimes _dog Latin_) to document all other languages, but we obviously can automated generation of books for others using other writing systems and some reference language.",,
999,,@TODOs,,
999_1,,Add links to codex to search by last edits on Q itens on the current book. See https://wikidata-todo.toolforge.org/sparql_rc.php?,,
