#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_signum,#item+rem+i_eng+is_latn+ix_completum,#item+rem+i_eng+is_latn+ix_definitionem,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_xmf+is_geor,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_mni+is_mtei,#item+rem+i_mnw+is_mymr,#item+rem+i_nqo+is_nkoo,#item+rem+i_sat+is_olck,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zyyy,#item+rem+i_zho+is_zyyy,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zyyy,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zyyy,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zyyy,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_ady+is_cyrl,#item+rem+i_ary+is_arab,#item+rem+i_awa+is_deva,#item+rem+i_ban+is_latn,#item+rem+i_ast+is_latn,#item+rem+i_bcl+is_latn,#item+rem+i_bho+is_deva,#item+rem+i_bpy+is_beng,#item+rem+i_bxr+is_cyrl,#item+rem+i_cdo+is_zyyy,#item+rem+i_ckb+is_arab,#item+rem+i_diq+is_latn,#item+rem+i_dsb+is_latn,#item+rem+i_dty+is_deva,#item+rem+i_ext+is_latn,#item+rem+i_gcr+is_latn,#item+rem+i_gom+is_zyyy,#item+rem+i_frr+is_latn,#item+rem+i_hak+is_zyyy,#item+rem+i_hif+is_zyyy,#item+rem+i_hsb+is_latn,#item+rem+i_hyw+is_armn,#item+rem+i_ilo+is_latn,#item+rem+i_inh+is_cyrl,#item+rem+i_kaa+is_latn,#item+rem+i_kbd+is_cyrl,#item+rem+i_kbp+is_latn,#item+rem+i_mai+is_deva,#item+rem+i_mhr+is_cyrl,#item+rem+i_mwl+is_latn,#item+rem+i_mzn+is_arab,#item+rem+i_nah+is_latn,#item+rem+i_nan+is_latn,#item+rem+i_new+is_deva,#item+rem+i_pam+is_latn,#item+rem+i_pfl+is_latn,#item+rem+i_pnb+is_arab,#item+rem+i_rue+is_cyrl,#item+rem+i_rup+is_latn,#item+rem+i_sah+is_cyrl,#item+rem+i_sgs+is_latn,#item+rem+i_shi+is_zyyy,#item+rem+i_shn+is_mymr,#item+rem+i_smn+is_latn,#item+rem+i_stq+is_latn,#item+rem+i_szl+is_latn,#item+rem+i_tcy+is_zyyy,#item+rem+i_udm+is_cyrl,#item+rem+i_vep+is_latn,#item+rem+i_vro+is_latn,#item+rem+i_yue+is_zyyy,#item+rem+i_crh+is_latn,#item+rem+i_crh+is_cyrl,#item+rem+i_lad+is_zyyy,#item+rem+i_lez+is_cyrl,#item+rem+i_swa+is_latn,#item+rem+i_zha+is_zyyy,#item+rem+i_yor+is_latn,#item+rem+i_yid+is_hebr,#item+rem+i_xho+is_latn,#item+rem+i_uzb+is_latn,#item+rem+i_uig+is_zyyy,#item+rem+i_uig+is_arab,#item+rem+i_uig+is_latn,#item+rem+i_tat+is_zyyy,#item+rem+i_tat+is_cyrl,#item+rem+i_tat+is_latn,#item+rem+i_tso+is_latn,#item+rem+i_tgl+is_latn,#item+rem+i_tuk+is_latn,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_jbo+is_latn,#item+rem+i_nov+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
1603:45:1:2:15,2_15,,,,Q170424,WMO,World Meteorological Organization,"The World Meteorological Organization facilitates the free international exchange of meteorological data and information and the furtherance of its use in aviation, shipping, security, and agriculture, among other things.",,Q170424,المنظمة العالمية للأرصاد الجوية,Համաշխարհային օդերևութաբանական կազմակերպություն,বিশ্ব আবহাওয়া সংস্থা,Всемирная метеорологическая организация,विश्व मौसम विज्ञान संगठन,,,,세계 기상 기구,世氣公會,הארגון המטאורולוגי העולמי,Organizatio meteorologica mundi,,,,,உலக வானிலையியல் அமைப்பு,,องค์การอุตุนิยมวิทยาโลก,,世界气象组织,Organização Meteorológica Mundial,World Meteorological Organization,Organisation météorologique mondiale,Wereld Meteorologische Organisatie,Weltorganisation für Meteorologie,Organización Meteorológica Mundial,Organizzazione Meteorologica Mondiale,,Meteorologiska världsorganisationen,,Dita Ndërkombëtare Meteorologjike,Światowa Organizacja Meteorologiczna,Maailman ilmatieteen järjestö,Organizația Meteorologică Mondială,Tổ chức Khí tượng Thế giới,Organització Meteorològica Mundial,Всесвітня метеорологічна організація,Световна метеорологична организация,,,Verdens meteorologiorganisasjon,Světová meteorologická organizace,,世界気象機関,Verdas meteorologiorganisasjon,ആഗോള ആർദ്രോഷ്ണാവസ്ഥാ നിരീക്ഷണം,Organisasi Meteorologi Dunia,سازمان جهانی هواشناسی,Meteorológiai Világszervezet,Munduko Meteorologia Erakundea,,Organización Meteorolóxica Mundial,Svetová meteorologická organizácia,Monda Organizaĵo pri Meteologio,Pertubuhan Meteorologi Sedunia,Maailma Meteoroloogiaorganisatsioon,Svjetska meteorološka organizacija,Dünya Meteoroloji Örgütü,,Organizacion Meteorologica Mondiala,,,,,,Warld Meteorological Organisation,,,世界氣象組織,,,,Alþjóðaveðurfræðistofnunin,,,Organizasion Meteorołòzega Mondiałe,,,,,,,Svetska meteorološka organizacija,,,,,,,,,世界气象组织,Светска метеоролошка организација,عالمی موسمیاتی تنظیم,,,,,Pasaules Meteoroloģijas organizācija,Svjetska meteorološka organizacija,,,WMO,Παγκόσμιος Μετεωρολογικός Οργανισμός,,,,,,Сусветная метэаралагічная арганізацыя,,,,,,,,,,,,,Organización Meteorolóxica Mundial,,,,,,ڕێکخراوەی جیھانیی کەش و ھەوا,,,,,,,,,,,,,,,,,,,,,,Sè-kài Khì-siōng Cho͘-chit,,,,عالمی موسمیاتی تنظیم,,,,,,,,,,,,,,世界氣象組織,,,,,Shirika la Hali ya Hewa ya Dunia,,,,,,,,,Бөтендөнья метеорология оешмасы,,,,,,,,,,,,,,
1603:45:1:2:16,2_16,,,,Q7164,WORLD BANK,World Bank,"The World Bank focuses on poverty reduction and the improvement of living standards worldwide by providing low-interest loans, interest-free credit, and grants to developing countries for education, health, infrastructure, and communications, among other things. The World Bank works in over 100 countries.",,Q7164,البنك الدولي,Համաշխարհային բանկ,বিশ্ব ব্যাংক,Всемирный банк,विश्व बैंक,,,ಅಂತಾರಾಷ್ಟ್ರೀಯ ಪುನಾರಚನೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿ ಬ್ಯಾಂಕು,세계은행,,הבנק העולמי,Argentaria Mundana,,,,ᱵᱤᱥᱥᱚ ᱵᱮᱝᱠ,உலக வங்கி,ప్రపంచబ్యాంకు,ธนาคารโลก,,世界銀行,Banco Mundial,World Bank,Banque mondiale,Wereldbank,Weltbank,Banco Mundial,Banca Mondiale,,Världsbanken,,Banka Botërore,Bank Światowy,Maailmanpankki,Banca Mondială,Ngân hàng Thế giới,Banc Mundial,Світовий банк,Световна банка,Svetovna banka,Kalibutanon nga Bangko,Verdensbanken,Světová banka,Verdensbanken,世界銀行,Verdsbanken,ലോക ബാങ്ക്,Bank Dunia,بانک جهانی,Világbank,Munduko Bankua,Banc y Byd,Banco Mundial,Svetová banka,Monda Banko,Bank Dunia,Maailmapank,Svjetska banka,Dünya Bankası,,Banca Mondiala,,Bank-bed,مجموعة البنك الدولي,Wêreldbank,Weltbank,,,Banco Mundial,世界銀行,,,Weltbank,Alþjóðabankinn,,,Banca Mondiałe,Banca Mondial,,,,Werreldbank,,Svetska banka,,,,Bancje Mondiâl,,,,,世界银行,Светска банка,عالمی بنک,,Pasaulio Bankas,,Svjetska banka,Pasaules Banka,Svjetska banka,,دونیا بانکی,Bank Donya,Παγκόσμια Τράπεζα,,Wrâldbank,,,Дерригдуьненан банк,Сусветны банк,,,,Dunia Wariso,,,,जागतिक बँक,,لبنك الدولي,,,Bancu Mundial,,,,,,بانکی جیھانی,,,,,,,Weltbeenk,Sṳ-kie Ngiùn-hòng Si̍p-thòn,World Bank Group,,,Banko ti Lubong,,,,,,,,,,Sè-kài Gûn-hâng,वर्ल्ड बैंक ग्रुप,,,عالمی بنک,Світова банка,,Аан дойду Баана,Svieta Banks,,ယေးငိုၼ်းလုမ်ႈၾႃႉ,,,,,,Mail'man bank,,世界銀行,Dünya bankı,,,,Benki ya Dunia,,,וועלט באנק,,Jahon banki,دۇنيا بانكىسى,,,Бөтендөнья банкы,,,,Bangkong Pandaigdig,,,,,,,IBhange woMhlaba,,,
1603:45:1:3,3,,,/Base namespace: UN Funds and Programmes/@eng-Latn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:3:17,3_17,,,,Q161718,UNDP,United Nations Development Programme,"The United Nations Development Programme (UNDP) works in nearly 170 countries and territories, helping to eradicate poverty, reduce inequalities and build resilience so countries can sustain progress. As the UN’s development agency, UNDP plays a critical role in helping countries achieve the Sustainable Development Goals.",,Q161718,برنامج الأمم المتحدة الإنمائي,Միավորված ազգերի կազմակերպության զարգացման ծրագիր,জাতিসংঘ উন্নয়ন কর্মসূচী,Программа развития ООН,संयुक्त राष्ट्र विकास कार्यक्रम,,,,유엔 개발 계획,,UNDP,Programma Consociationis Nationum pro Evolutione,,,,,ஐக்கிய நாடுகள் வளர்ச்சித் திட்டம்,,สำนักงานโครงการพัฒนาแห่งสหประชาชาติ,,联合国开发计划署,Programa das Nações Unidas para o Desenvolvimento,United Nations Development Programme,Programme des Nations unies pour le développement,VN-Ontwikkelingsprogramma,Entwicklungsprogramm der Vereinten Nationen,Programa de las Naciones Unidas para el Desarrollo,Programma delle Nazioni Unite per lo Sviluppo,,FN:s utvecklingsprogram,,United Nation Development Program,Program Narodów Zjednoczonych ds. Rozwoju,Yhdistyneiden kansakuntien kehitysohjelma,Programul Națiunilor Unite pentru Dezvoltare,Chương trình Phát triển Liên Hợp Quốc,Programa de les Nacions Unides per al Desenvolupament,Програма розвитку ООН,Програма на ООН за развитие,,,FNs utviklingsprogram,Rozvojový program OSN,UNDP,国際連合開発計画,,,Program Pembangunan Perserikatan Bangsa-Bangsa,برنامه عمران ملل متحد,Az ENSZ Fejlesztési Programja,,Rhaglen Datblygu'r Cenhedloedd Unedig,Programa das Nacións Unidas para o Desenvolvemento,Rozvojový program Spojených národov,Programo de la Unuiĝintaj Nacioj pri Disvolvado,Program Pembangunan Pertubuhan Bangsa-Bangsa Bersatu,ÜRO Arenguprogramm,Program Ujedinjenih naroda za razvoj,Birleşmiş Milletler Kalkınma Programı,,,,United Nations Development Programme,,,,,,,聯合國開發計劃署,,,,,United Nations Development Programme,,Programa de l'ONU par el Desviłupo,,,,,,,Program Ujedinjenih nacija za razvoj,,,,,,,,,联合国开发计划署,Програм Организације уједињених нација за развој,اقوام متحدہ ترقیاتی پروگرام,,Jungtinių Tautų plėtros programa,,Program Ujedinjenih naroda za razvoj,ANO Attīstības programma,UNDP,,,UNDP,Πρόγραμμα των Ηνωμένων Εθνών για την Ανάπτυξη,,,,,,Праграма развіцця ААН,,,,,,,,संयुक्त राष्ट्रे विकास कार्यक्रम,,,,,Programa de les Naciones Xuníes pal Desenvolvimientu,,,,,,بەرنامەی پەرەپێدانی نەتەوە یەکگرتووەکان,,,,,,,Program faan a Feriand Natjuunen för't widjerkemen,,,,,,,,,,,,,,,,,,,اقوام متحدہ ترقیاتی پروگرام,,,,,,,,,,,,,,,Birleşken milletlerniñ İnkişaf programması,,,,UNDP,,United Nations Development Programme,,,,,,,,,,,,,,,,,,,,,
1603:45:1:3:18,3_18,,,,Q182016,UNEP,United Nations Environment Programme,"The United Nations Environment Programme (UNEP) established in 1972, is the voice for the environment within the United Nations system. UNEP acts as a catalyst, advocate, educator and facilitator to promote the wise use and sustainable development of the global environment.",,Q182016,برنامج الأمم المتحدة للبيئة,UNEP,,Программа ООН по окружающей среде,संयुक्त राष्ट्र पर्यावरण कार्यक्रम,,,,유엔 환경 계획,,"התוכנית הסביבתית של האו""ם",Programma circumiectale Nationum Unitarum,,,,,ஐக்கிய நாடுகள் சூழல் திட்டம்,,โครงการสิ่งแวดล้อมแห่งสหประชาชาติ,,联合国环境署,Programa das Nações Unidas para o Meio Ambiente,United Nations Environment Programme,Programme des Nations unies pour l'environnement,VN-Milieuprogramma,Umweltprogramm der Vereinten Nationen,Programa de las Naciones Unidas para el Medio Ambiente,Programma delle Nazioni Unite per l'Ambiente,,FN:s miljöprogram,,,Program Środowiskowy Organizacji Narodów Zjednoczonych,Yhdistyneiden kansakuntien ympäristöohjelma,,Chương trình Môi trường Liên Hợp Quốc,Programa de les Nacions Unides per al Medi Ambient,Програма ООН по навколишньому середовищу,Програма на ООН за околната среда,,,FNs miljøprogram,Program OSN pro životní prostředí,United Nations Environment Programme,国際連合環境計画,Miljøprogrammet til SN,യുണൈറ്റഡ് നേഷൻസ് എൻവിറോണ്മെന്റ് പ്രോഗ്രാം,Program Lingkungan Perserikatan Bangsa-Bangsa,برنامه محیط زیست ملل متحد,Az ENSZ Környezetvédelmi Programja,Nazio Batuen Ingurumen Programa,,,Program Spojených národov pre životné prostredie,Mediprogramo de Unuiĝintaj Nacioj,Program Alam Sekitar Pertubuhan Bangsa-Bangsa Bersatu,ÜRO Keskkonnaprogramm,,Birleşmiş Milletler Çevre Programı,,,,,,,,,,,聯合國環境署,,,,Umhverfisstofnun Sameinuðu Þjóðanna,,,,,,,,,,,,,,,,,,,,Програм Уједињених нација за животну средину,,,Jungtinių Tautų Aplinkos apsaugos programa,,,,,,,UNEP,Περιβαλλοντολογικό Πρόγραμμα των Ηνωμένων Εθνών,,,,,,,,,,,,,,,,,,,,,,,,,بەرنامەی ژینگەی نەتەوە یەکگرتووەکان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEP,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:3:19,3_19,,,,Q623036,UNFPA,United Nations Population Fund,"The United Nations Population Fund (UNFPA) is the lead UN agency for delivering a world where every pregnancy is wanted, every birth is safe, and every young person's potential is fulfilled.",,Q623036,صندوق الأمم المتحدة للسكان,ՄԱԿ-ի բնակչության հիմնադրամ,,Фонд ООН в области народонаселения,संयुक्त राष्ट्र जनसंख्या कोष,,,,유엔 인구 기금,,קרן האומות המאוחדות,,,,,,,,กองทุนประชากรแห่งสหประชาชาติ,,聯合國人口基金會,Fundo de População das Nações Unidas,United Nations Population Fund,Fonds des Nations unies pour la population,Bevolkingsfonds van de Verenigde Naties,Bevölkerungsfonds der Vereinten Nationen,Fondo de Población de las Naciones Unidas,Fondo delle Nazioni Unite per la Popolazione,,FN:s befolkningsfond,,United Nation Fund for Population,Fundusz Ludnościowy Narodów Zjednoczonych,UNFPA,,Quỹ Dân số Liên Hợp Quốc,Fons de Població de les Naciones Unides,Фонд народонаселення ООН,Фонд на ООН за населението,,,FNs befolkningsfond,Populační fond OSN,UNFPA,国際連合人口基金,,ഐക്യരാഷ്ട്ര ജനസംഖ്യാ ഫണ്ട്,Dana Penduduk Perserikatan Bangsa-Bangsa,صندوق جمعیت سازمان ملل متحد,,,,,Populačný fond Spojených národov,,Tabung Kependudukan Pertubuhan Bangsa-Bangsa Bersatu,,,Birleşmiş Milletler Nüfus Fonu,,,,,,,,,,,,,,,Mannfjöldasjóður Sameinuðu þjóðanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNFPA,,,,,,,Фонд ААН у галіне народанасельніцтва,,,,,,,,,,,,,,,,,,,سندووقی دانیشتووانی نەتەوە یەکگرتووەکان,,,,,,,,,,,,,,,,,,,,,,Liân-ha̍p-kok Jîn-kháu Ki-kim,,,,,,,,,,,,,,,,,,,,,,,UNFPA,,United Nations Population Fund,,,,,,,,,,,,,,,,,,,,,
1603:45:1:3:20,3_20,,,,Q487883,UN-HABITAT,United Nations Human Settlements Programme,The mission of the United Nations Human Settlements Programme (UN-HABITAT) is to promote socially and environmentally sustainable human settlements development and the achievement of adequate shelter for all.,,Q487883,برنامج الامم المتحدة للمستوطنات البشرية,ՄԱԿ-ի Մարդկային բնակավայրերի ծրագիր,,Программа ООН по населённым пунктам,मानव अधिवासन हेतु संयुक्त राष्ट्र केन्द्र,,,,유엔 인간 주거 계획,,"תוכנית ההתיישבות האנושית של האו""ם",,,,,,ஐக்கிய நாடுகளின் குடிசார் அமைப்பு,,,,聯合國人居署,Programa das Nações Unidas para os Assentamentos Humanos,United Nations Human Settlements Programme (UN-Habitat),Programme des Nations unies pour les établissements humains,United Nations Human Settlements Programme,HABITAT,Programa de Naciones Unidas para los Asentamientos Humanos,Programma delle Nazioni Unite per gli Insediamenti Umani,,FN:s program för boende- och bebyggelsefrågor,,,UN-HABITAT,Yhdistyneiden kansakuntien asuinyhdyskuntaohjelma,,Chương trình Nhân cư Liên Hiệp Quốc,Programa de Nacions Unides per als Assentaments Humans,Програма ООН з населених пунктів,,,,FNs bosettingsprogram,,,国際連合人間居住計画,,,United Nations Human Settlements Programme,,UN-HABITAT,,,,,,Program Penempatan Manusia Pertubuhan Bangsa-Bangsa Bersatu,,,Birleşmiş Milletler İnsan Yerleşimleri Programı,,,,,,,,,,,聯合國人居署,,,,,,,,,,,,,,Program OUN za ljudska naselja,,,,,,,,,,Програм ОУН за људска насеља,,,,,,,,,,UN-HABITAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Nations Human Settlements Programme,,,,,,,Торак пунктлары буенча БМО программасы,,,,,,,,,,,,,,
1603:45:1:3:21,3_21,,,,Q740308,UNICEF,United Nations Children's Fund,"The United Nations Children's Fund (UNICEF) works in 190 countries and territories to save children’s lives, to defend their rights, and to help them fulfil their potential, from early childhood through adolescence.",,Q740308,يونسيف,ՅՈՒՆԻՍԵՖ,ইউনিসেফ,ЮНИСЕФ,यूनिसेफ,,,,유니세프,,קרן החירום הבין-לאומית של האומות המאוחדות לילדים,UNICEF,,,,,ஐக்கிய நாடுகளின் சிறுவர் நிதியம்,,กองทุนเพื่อเด็กแห่งสหประชาชาติ,,聯合國兒童基金會,Fundo das Nações Unidas para a Infância,UNICEF,Fonds des Nations unies pour l'enfance,UNICEF,UNICEF,UNICEF,Fondo delle Nazioni Unite per l'infanzia,UNICEF,Unicef,,UNICEF,UNICEF,UNICEF,UNICEF,Quỹ Nhi đồng Liên Hợp Quốc,Fons de Nacions Unides per a la infància,ЮНІСЕФ,УНИЦЕФ,Sklad Združenih narodov za otroke,,UNICEF,Dětský fond Organizace spojených národů,UNICEF,国際連合児童基金,UNICEF,യൂനിസെഫ്,Dana Anak-anak Perserikatan Bangsa-Bangsa,یونیسف,UNICEF,Haurren Laguntzarako Nazio Batuen Funtsa,UNICEF,UNICEF,Detský fond OSN,UNICEF,Tabung Kanak-kanak Pertubuhan Bangsa-Bangsa Bersatu,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,,UNICEF,يونيسيف,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,聯合國兒童基金會,,UNICEF,UNICEF,Barnahjálp Sameinuðu þjóðanna,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,UNICEF,联合国儿童基金会,Уницеф,یونیسف,,Jungtinių Tautų Vaikų fondas,,UNICEF,UNICEF,UNICEF,,,UNICEF,UNICEF,,,,,,Дзіцячы фонд ААН,,UNICEF,,,,,,युनिसेफ,,,,UNICEF,Unicef,,,,,,یوونیسێف,,,,,,,,,,,Եունիսեֆ,,,,,,,,Fondo de las Naciones Ounidas para la Anfáncia,,,Liân-ha̍p-kok Jî-tông Ki-kim-hōe,,,,یونیسف,,,ХНТ Оҕо пуондата,,,,,,,,,,UNICEF,聯合國兒童基金會,,,,,UNICEF,,UNICEF,,,Birlashgan millatlar tashkilotining bolalar jamgʻarmasi,,,,ЮНИСЕФ,,,,UNICEF,,UNICEF,UNICEF,UNICEF,,,UNICEF,,,
1603:45:1:3:22,3_22,,,,Q204344,WFP,World Food Programme,"The World Food Programme aims to eradicate hunger and malnutrition. The world’s largest humanitarian agency, WFP helps almost 100 million people in approximately 88 countries with assistance every year through food or cash distributions and more. The World Food Programme was awarded the Nobel Peace Prize in 2020. ",,Q204344,برنامج الأغذية العالمي,Պարենի համաշխարհային ծրագիր,বিশ্ব খাদ্য কর্মসূচি,Всемирная продовольственная программа,विश्व खाद्य कार्यक्रम,,,,세계 식량 계획,,תוכנית המזון העולמית,Programma mundiale alimenti,,,,,உலக உணவுத் திட்டம்,,โครงการอาหารโลก,,世界糧食計劃署,Programa Alimentar Mundial,World Food Programme,Programme alimentaire mondial,Wereldvoedselprogramma,Welternährungsprogramm der Vereinten Nationen,Programa Mundial de Alimentos,Programma Alimentare Mondiale,,Världslivsmedelsprogrammet,,Programi Botëror i Ushqimit,Światowy Program Żywnościowy,Maailman ruokaohjelma,Programul Alimentar Mondial,Chương trình Lương thực Thế giới,Programa Mundial d'Aliments,Всесвітня продовольча програма,Световна продоволствена програма,Svetovni program za hrano,,Verdens matvareprogram,Světový potravinový program,WFP,国際連合世界食糧計画,,ലോകഭക്ഷ്യപദ്ധതി,Program Pangan Dunia,برنامه جهانی غذا,Világélelmezési Program,,,,,Monda Nutraĵa Programo,Program Makanan Sedunia,Maailma Toiduprogramm,Svjetski program za hranu,Dünya Gıda Programı,UN World Food Programme,,,,,,Welternierungsprogramm,,,,世界糧食計劃署,,,,Matvælaáætlun Sameinuðu þjóðanna,,,,Programa Alimentar Mondial,,,,,,Svetski program za hranu,,,,,,,,,世界粮食计划署,Светски програм за храну,عالمی غذائی پروگرام,,Pasaulinė maisto programa,,,Pasaules Pārtikas programma,Svjetski program za hranu,,,Program Pangan Donya,Παγκόσμιο Πρόγραμμα Σίτισης,,,,,,Сусветная харчовая праграма,,WFP,,,,,,,,,,,,,,,,,بەرنامەی جیھانی خۆراک,,,,,,,,,,,,,,,,,विश्व खाद्य कार्यक्रम,,,,,,,,,عالمی غذائی پروگرام,,,,WFP,,,Maailm purrâmušohjelm,,,,,,,,,,,,Shirika la Mpango wa Chakula Duniani,,,,,,,,,Бөтендөнья ризык программасы,,,,Pandaigdigang Programa sa Pagkain,,,,,,,,,,
1603:45:1:4,4,,,/Base namespace: Other Entities and Bodies directly related to UN/@eng-Latn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
