#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_signum,#item+rem+i_eng+is_latn+ix_completum,#item+rem+i_eng+is_latn+ix_definitionem,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:45:1:1,1,Base namespace: UN itself (dedicated namespace),,,,,
1603:45:1:1:1,1_1,,Q1065,UN,United Nations,,
1603:45:1:2,2,Base namespace: UN Specialized Agencies,Q15925165,,,The UN specialized agencies are autonomous international organizations working with the United Nations. All were brought into relationship with the UN through negotiated agreements. Some existed before the First World War. Some were associated with the League of Nations. Others were created almost simultaneously with the UN. Others were created by the UN to meet emerging needs.,
1603:45:1:2:2,2_2,,Q82151,FAO,Food and Agriculture Organization,The Food and Agriculture Organization leads international efforts to fight hunger. It is both a forum for negotiating agreements between developing and developed countries and a source of technical knowledge and information to aid development.,
1603:45:1:2:3,2_3,,Q125761,ICAO,International Civil Aviation Organization,The International Civil Aviation Organization develops standards for global air transport and assists its 192 Member States in sharing the world’s skies to their socio-economic benefit.,
1603:45:1:2:4,2_4,,Q689859,IFAD,International Fund for Agricultural Development,"The International Fund for Agricultural Development, since it was created in 1977, has focused exclusively on rural poverty reduction, working with poor rural populations in developing countries to eliminate poverty, hunger and malnutrition; raise their productivity and incomes; and improve the quality of their lives",
1603:45:1:3:5,3_5,,Q54129,ILO,International Labor Organization,"The International Labor Organization promotes international labor rights by formulating international standards on the freedom to associate, collective bargaining, the abolition of forced labor, and equality of opportunity and treatment.",
1603:45:1:2:6,2_6,,Q7804,IMF,International Monetary Fund,The International Monetary Fund fosters economic growth and employment by providing temporary financial assistance to countries to help ease balance of payments adjustment and technical assistance. The IMF currently has $28 billion in outstanding loans to 74 nations.,
1603:45:1:2:7,2_7,,Q201054,IMO,International Maritime Organization,"The International Maritime Organization has created a comprehensive shipping regulatory framework, addressing safety and environmental concerns, legal matters, technical cooperation, security, and efficiency.",
1603:45:1:2:8,2_8,,Q376150,ITU,International Telecommunication Union,"The International Telecommunication Union is the United Nations specialized agency for information and communication technologies. It is committed to connecting all the world's people – wherever they live and whatever their means. Through our work, we protect and support everyone's fundamental right to communicate",
1603:45:1:2:9,2_9,,Q7809,UNESCO,"United Nations Educational, Scientific and Cultural Organization","The United Nations Educational, Scientific and Cultural Organization focuses on everything from teacher training to helping improve education worldwide to protecting important historical and cultural sites around the world. ",
1603:45:1:2:10,2_10,,Q386120,UNIDO,United Nations Industrial Development Organization,"The United Nations Industrial Development Organization is the specialized agency of the United Nations that promotes industrial development for poverty reduction, inclusive globalization and environmental sustainability.",
1603:45:1:2:11,2_11,,Q61923,UNWTO,World Tourism Organization,"The World Tourism Organization is the United Nations agency responsible for the promotion of responsible, sustainable and universally accessible tourism.",
1603:45:1:2:12,2_12,,Q17495,UPU,Universal Postal Union,The Universal Postal Union is the primary forum for cooperation between postal sector players. It  helps to ensure a truly universal network of up-to-date products and services.,
1603:45:1:2:13,2_13,,Q7817,WHO,World Health Organization,"The World Health Organization is the directing and coordinating authority on international health within the United Nations system. The objective of WHO is the attainment by all peoples of the highest possible level of health. Health, as defined in the WHO Constitution, is a state of complete physical, mental and social well-being and not merely the absence of disease or infirmity.",
1603:45:1:2:14,2_14,,Q177773,WIPO,World Intellectual Property Organization,The World Intellectual Property Organization protects intellectual property throughout the world through 23 international treaties.,
1603:45:1:2:15,2_15,,Q170424,WMO,World Meteorological Organization,"The World Meteorological Organization facilitates the free international exchange of meteorological data and information and the furtherance of its use in aviation, shipping, security, and agriculture, among other things.",
1603:45:1:2:16,2_16,,Q7164,WORLD BANK,World Bank,"The World Bank focuses on poverty reduction and the improvement of living standards worldwide by providing low-interest loans, interest-free credit, and grants to developing countries for education, health, infrastructure, and communications, among other things. The World Bank works in over 100 countries.",
1603:45:1:3,3,Base namespace: UN Funds and Programmes,,,,,
1603:45:1:3:17,3_17,,Q161718,UNDP,United Nations Development Programme,"The United Nations Development Programme (UNDP) works in nearly 170 countries and territories, helping to eradicate poverty, reduce inequalities and build resilience so countries can sustain progress. As the UN’s development agency, UNDP plays a critical role in helping countries achieve the Sustainable Development Goals.",
1603:45:1:3:18,3_18,,Q182016,UNEP,United Nations Environment Programme,"The United Nations Environment Programme (UNEP) established in 1972, is the voice for the environment within the United Nations system. UNEP acts as a catalyst, advocate, educator and facilitator to promote the wise use and sustainable development of the global environment.",
1603:45:1:3:19,3_19,,Q623036,UNFPA,United Nations Population Fund,"The United Nations Population Fund (UNFPA) is the lead UN agency for delivering a world where every pregnancy is wanted, every birth is safe, and every young person's potential is fulfilled.",
1603:45:1:3:20,3_20,,Q487883,UN-HABITAT,United Nations Human Settlements Programme,The mission of the United Nations Human Settlements Programme (UN-HABITAT) is to promote socially and environmentally sustainable human settlements development and the achievement of adequate shelter for all.,
1603:45:1:3:21,3_21,,Q740308,UNICEF,United Nations Children's Fund,"The United Nations Children's Fund (UNICEF) works in 190 countries and territories to save children’s lives, to defend their rights, and to help them fulfil their potential, from early childhood through adolescence.",
1603:45:1:3:22,3_22,,Q204344,WFP,World Food Programme,"The World Food Programme aims to eradicate hunger and malnutrition. The world’s largest humanitarian agency, WFP helps almost 100 million people in approximately 88 countries with assistance every year through food or cash distributions and more. The World Food Programme was awarded the Nobel Peace Prize in 2020. ",
1603:45:1:4,4,Base namespace: Other Entities and Bodies direct related to UN,,,,,
1603:45:1:4:23,4_23,,Q588982,UNAIDS,Joint United Nations Programme on HIV/AIDS,"The Joint United Nations Programme on HIV/AIDS (UNAIDS) leads and inspires the world to achieve its shared vision of zero new HIV infections, zero discrimination and zero AIDS-related deaths. UNAIDS unites the efforts of 11 UN organizations—UNHCR, UNICEF, WFP, UNDP, UNFPA, UNODC, UN Women, ILO, UNESCO, WHO and the World Bank—and works closely with global and national partners towards ending the AIDS epidemic by 2030 as part of the Sustainable Development Goals.",
1603:45:1:4:24,4_24,,Q132551,UNHCR,United Nations High Commissioner for Refugees,The United Nations High Commissioner for Refugees – UNHCR protects refugees worldwide and facilitates their return home or resettlement.,
1603:45:1:4:25,4_25,,Q3152150,UNIDIR,United Nations Institute for Disarmament Research,"The United Nations Institute for Disarmament Research is a voluntarily funded autonomous institute within the United Nations. An impartial actor, the Institute generates ideas and promotes action on disarmament and security. UNIDIR brings together states, international organizations, civil society, the private sector and academia to work together—internationally, regionally and locally—to build and implement creative solutions that will benefit all states and peoples.",
1603:45:1:4:26,4_26,,Q131878,UNITAR,United Nations Institute for Training and Research,"An autonomous UN body established in 1963, the United Nations Institute for Training and Research is a training arm of the United Nations System, and has the mandate to enhance the effectiveness of the UN through diplomatic training, and to increase the impact of national actions through public awareness-raising, education and training of public policy officials. ",
1603:45:1:4:27,4_27,,Q2531088,UNOPS,United Nations Office for Project Services,"The mission of the United Nations Office for Project Services is to help people build better lives and help countries achieve peace and sustainable development. UNOPS helps the UN, governments and other partners to manage projects, and deliver sustainable infrastructure and procurement in an efficient way.",
1603:45:1:4:28,4_28,,Q846656,UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East,"The United Nations Relief and Works Agency for Palestine Refugees in the Near East has contributed to the welfare and human development of four generations of Palestine refugees. It’s services encompass education, health care, relief and social services, camp infrastructure and improvement, microfinance and emergency assistance, including in times of armed conflict.  It reports only to the UN General Assembly.",
1603:45:1:4:29,4_29,,Q16959083,UNSSC,United Nations System Staff College,The United Nations System Staff College is the learning organization of the United Nations system. It designs and delivers learning programmes for staff of the UN system and its partners. It helps the United Nations become more effective by fostering a common leadership and management culture across the system.,
1603:45:1:4:30,4_30,,Q492442,UNU,United Nations University,"The United Nations University was established by the UN General Assembly with the mandate to conduct “research into the pressing global problems of human survival, development and welfare.” Today, the University comprises 14 research and training institutes in 12 countries. As the think tank of the UN system, UNU provides policymakers with high-quality, evidence-based research and pragmatic advice.",
1603:45:1:4:31,4_31,,Q641576,UN WOMEN,UN Women,"UN Women merges and builds on the important work of four previously distinct parts of the UN system, which focus exclusively on gender equality and women’s empowerment.",
1603:45:1:5,5,Base namespace: Related Organizations direct related to UN,,,,"Lexicographers note: is not fully clear difference betwen 'Other Entities and Bodies ' and 'Related Organizations' on https://www.un.org/en/about-us/un-system on 2021-01-18. However the local identifier is intentionally unique across namespaces 1,2,3,4,5 to allow any future reestructure",
1603:45:1:5:32,5_32,,Q356694,CTBTO,Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization,The Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization promotes the Comprehensive Nuclear-Test-Ban Treaty (which is not yet in force) and the build-up of the verification regime so that it is operational when the Treaty enters into force.,
1603:45:1:5:33,5_33,,Q41984,IAEA,International Atomic Energy Agency,"The International Atomic Energy Agency, is the world's centre for cooperation in the nuclear field. The Agency works with its Member States and multiple partners worldwide to promote the safe, secure and peaceful use of nuclear technologies.",
1603:45:1:5:34,5_34,,Q472311,IOM,International Organization for Migration,"The International Organization for Migration works to help ensure the orderly and humane management of migration, to promote international cooperation on migration issues, to assist in the search for practical solutions to migration problems and to provide humanitarian assistance to migrants in need, including refugees and internally displaced people.",
1603:45:1:5:35,5_35,,Q1184878,ITC,International Trade Centre,"The International Trade Centre (ITC) is the only development agency that is fully dedicated to supporting the internationalization of small and medium-sized enterprises (SMEs). Established in 1964, the ITC is the joint agency of the World Trade Organization and the United Nations.",
1603:45:1:5:36,5_36,,Q842490,OPCW,Organisation for the Prohibition of Chemical Weapons,"The Organisation for the Prohibition of Chemical Weapons is the implementing body of the Chemical Weapons Convention (CWC), which entered into force in 1997. OPCW Member States work together to achieve a world free of chemical weapons.",
1603:45:1:5:37,5_37,,Q104150918,UNFCCC,UNFCCC Secretariat,"The UNFCCC Secretariat (UN Climate Change) was established in 1992 when countries adopted the United Nations Framework Convention on Climate Change (UNFCCC). With the subsequent adoption of the Kyoto Protocol  in 1997 and the Paris Agreement  in 2015, Parties to these three agreements have progressively reaffirmed the Secretariat’s role as the United Nations entity tasked with supporting the global response to the threat of climate change.",
1603:45:1:5:38,5_38,,Q7825,WTO,World Trade Organization,"The World Trade Organization is a forum for governments to negotiate trade agreements, and a place where member governments try to sort out the trade problems they face with each other.",
1603:45:1:6,6,Base namespace: Departments and Offices of UN Secretariat,,,,Initial concepts extract from https://www.un.org/sites/un2.un.org/files/un_system_chart.pdf,
1603:45:1:6:39,6_39,,,,Ethics Office,,
1603:45:1:6:40,6_40,,,,United Nations Ombudsman and Mediation Services,,
1603:45:1:6:41,6_41,,,,Office of Administration of Justice,,
1603:45:1:6:42,6_42,,,DCO,Development Coordination Office,,
1603:45:1:6:43,6_43,,,DESA,Department of Economic and Social Affairs,,
1603:45:1:6:44,6_44,,,DGACM,Department for General Assembly and Conference Management,,
1603:45:1:6:45,6_45,,,DGC,Department of Global Communications,,
1603:45:1:6:46,6_46,,,DMSPC,"Department of Management Strategy, Policy and Compliance",,
1603:45:1:6:47,6_47,,,DOS,Department of Operational Support,,
1603:45:1:6:48,6_48,,,DPO,Department of Peace Operations,,
1603:45:1:6:49,6_49,,,DPPA,Department of Political and Peacebuilding Affairs,,
1603:45:1:6:50,6_50,,,DSS,Department of Safety and Security,,
1603:45:1:6:51,6_51,,Q1065854,OCHA,Office for the Coordination of Humanitarian Affairs,,
1603:45:1:6:52,6_52,,,OCT,Office of Counter-Terrorism,,
1603:45:1:6:53,6_53,,,ODA,Office for Disarmament Affairs,,
1603:45:1:6:54,6_54,,Q656812,OHCHR,Office of the United Nations High Commissioner for Human Rights,,
1603:45:1:6:55,6_55,,,OIOS,Office of Internal Oversight Services,,
1603:45:1:6:56,6_56,,,OLA,Office of Legal Affairs,,
1603:45:1:6:57,6_57,,,OOSA,Office for Outer Space Affairs,,
1603:45:1:6:58,6_58,,,OSAA,Office of the Special Adviser on Africa,,
1603:45:1:6:59,6_59,,,SRSG/CAAC,Office of the Special Representative of the SecretaryGeneral for Children and Armed Conflict,,
1603:45:1:6:60,6_60,,,SRSG/SVC,Office of the Special Representative of the SecretaryGeneral on Sexual Violence in Conflict,,
1603:45:1:6:61,6_61,,,SRSG/VAC,Office of the Special Representative of the SecretaryGeneral on Violence Against Children,,
1603:45:1:6:62,6_62,,Q7888446,UNDRR,United Nations Office for Disaster Risk Reduction,,
1603:45:1:6:63,6_63,,Q636107,UNODC,United Nations Office on Drugs and Crime,,
1603:45:1:6:64,6_64,,,UNOG,United Nations Office at Geneva,,
1603:45:1:6:65,6_65,,Q7888481,UN-OHRLLS,"Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States",,
1603:45:1:6:66,6_66,,,UNON,United Nations Office at Nairobi,,
1603:45:1:6:67,6_67,,,UNOP,United Nations Office for Partnerships,,
1603:45:1:6:68,6_68,,,UNOV,United Nations Office at Vienna,,
1603:45:1:9,9,Base namespace: private use namespace,,,,No restriction on reuse of numbers exist on this private namespace. (currently is used as draft for agencies without number),
1603:45:1:9:1,9_1,https://www.wikidata.org/wiki/Q1577943 ??,Q1577943,,United Nations Postal Administration,,
1603:45:1:9:2,9_2,https://www.wikidata.org/wiki/Q962612 ??,Q962612,,United Nations Research Institute For Social Development,,
1603:45:1:9:3,9_3,https://www.wikidata.org/wiki/Q37470,Q37470,,United Nations Security Council,,
1603:45:1:9:4,9_4,https://www.wikidata.org/wiki/Q47423 ??,Q47423,,United Nations General Assembly,,
1603:45:1:9:5,9_5,https://www.wikidata.org/wiki/Q170075,Q170075,,United Nations Economic and Social Council,,
1603:45:1:9:6,9_6,TODO: https://www.wikidata.org/wiki/Q220563,Q220563,,United Nations Secretariat,,
1603:45:1:9:7,9_7,TODO: https://www.wikidata.org/wiki/Q7801,,,International Court of Justice,,
1603:45:1:9:8,9_8,https://www.wikidata.org/wiki/Q219693,Q219693,,United Nations Trusteeship Council,,
1603:45:1:10,10,Base namespace: UN official member states,,,,"Subnamespaces for 10 are by UN m49 numeric key. See https://en.wikipedia.org/wiki/UN_M49. The table show only examples: 4, the first UN m49, means Afghanistan; 894, the last UN m49, means Zambia. Caveat: //tern name// and local code generated from UN m49; some values here are non-applicable such as reference to regions which are not independent countries.",
1603:45:1:10:4,10_4,,,,/Afghanistan/,,
1603:45:1:10:894,10_894,,,,/Zambia/,,
1603:45:1:63,63,Base namespace: Red Cross and Red Crescent Movement,Q7178,,Caveat: //tern name// and local code generated from UN m49; some values here are non-applicable such as reference to regions which are not independent countries.,"Subnamespaces for 63 are by UN m49 numeric key. See https://en.wikipedia.org/wiki/UN_M49. 1 means world (so ICRC); 4, the first UN m49, means Afghanistan; 894, the last UN m49, means Zambia.",
1603:45:1:63:1,63_1,,Q5987345,ICRC,International Red Cross and Red Crescent Movement,,
1603:45:1:63:8,63_8,,Q3338590,,//Red Cross and Red Crescent of Albania//,,
1603:45:1:63:10,63_10,,,,//Red Cross and Red Crescent of Antarctica//,,
1603:45:1:63:12,63_12,,,,//Red Cross and Red Crescent of Algeria//,,
1603:45:1:63:16,63_16,,,,//Red Cross and Red Crescent of American Samoa//,,
1603:45:1:63:20,63_20,,Q3697999,,//Red Cross and Red Crescent of Andorra//,,
1603:45:1:63:24,63_24,,Q3698001,,//Red Cross and Red Crescent of Angola//,,
1603:45:1:63:28,63_28,,,,//Red Cross and Red Crescent of Antigua and Barbuda//,,
1603:45:1:63:31,63_31,,Q23806133,,//Red Cross and Red Crescent of Azerbaijan//,,
1603:45:1:63:32,63_32,,Q47070765,,//Red Cross and Red Crescent of Argentina//,,
1603:45:1:63:36,63_36,,Q4824610,,//Red Cross and Red Crescent of Australia//,,
1603:45:1:63:40,63_40,,Q168276,,//Red Cross and Red Crescent of Austria//,,
1603:45:1:63:44,63_44,,,,//Red Cross and Red Crescent of Bahamas//,,
1603:45:1:63:48,63_48,,Q4842756,,//Red Cross and Red Crescent of Bahrain//,,
1603:45:1:63:50,63_50,,Q4855370,,//Red Cross and Red Crescent of Bangladesh//,,
1603:45:1:63:51,63_51,,Q4793221,,//Red Cross and Red Crescent of Armenia//,,
1603:45:1:63:52,63_52,,Q4858618,,//Red Cross and Red Crescent of Barbados//,,
1603:45:1:63:56,63_56,,Q2537361,,//Red Cross and Red Crescent of Belgium//,,
1603:45:1:63:60,63_60,,,,//Red Cross and Red Crescent of Bermuda//,,
1603:45:1:63:64,63_64,,,,//Red Cross and Red Crescent of Bhutan//,,
1603:45:1:63:68,63_68,,Q4939585,,//Red Cross and Red Crescent of Bolivia (Plurinational State of)//,,
1603:45:1:63:70,63_70,,Q7303962,,//Red Cross and Red Crescent of Bosnia and Herzegovina//,,
1603:45:1:63:72,63_72,,Q592646,,//Red Cross and Red Crescent of Botswana//,,
1603:45:1:63:74,63_74,,,,//Red Cross and Red Crescent of Bouvet Island//,,
1603:45:1:63:76,63_76,,Q47072433,,//Red Cross and Red Crescent of Brazil//,,
1603:45:1:63:84,63_84,,Q4882979,,//Red Cross and Red Crescent of Belize//,,
1603:45:1:63:86,63_86,,,,//Red Cross and Red Crescent of British Indian Ocean Territory//,,
1603:45:1:63:90,63_90,,,,//Red Cross and Red Crescent of Solomon Islands//,,
1603:45:1:63:92,63_92,,,,//Red Cross and Red Crescent of British Virgin Islands//,,
1603:45:1:63:96,63_96,,Q4978914,,//Red Cross and Red Crescent of Brunei Darussalam//,,
1603:45:1:63:100,63_100,,Q4996223,,//Red Cross and Red Crescent of Bulgaria//,,
1603:45:1:63:104,63_104,,Q6946772,,//Red Cross and Red Crescent of Myanmar//,,
1603:45:1:63:108,63_108,,Q3698010,,//Red Cross and Red Crescent of Burundi//,,
1603:45:1:63:112,63_112,,Q6468414,,//Red Cross and Red Crescent of Belarus//,,
1603:45:1:63:116,63_116,,Q5025173,,//Red Cross and Red Crescent of Cambodia//,,
1603:45:1:63:120,63_120,,Q3698003,,//Red Cross and Red Crescent of Cameroon//,,
1603:45:1:63:124,63_124,,Q5030521,,//Red Cross and Red Crescent of Canada//,,
1603:45:1:63:132,63_132,,Q3698034,,//Red Cross and Red Crescent of Cabo Verde//,,
1603:45:1:63:136,63_136,,,,//Red Cross and Red Crescent of Cayman Islands//,,
1603:45:1:63:140,63_140,,Q3698005,,//Red Cross and Red Crescent of Central African Republic//,,
1603:45:1:63:144,63_144,,,,//Red Cross and Red Crescent of Sri Lanka//,,
1603:45:1:63:148,63_148,,Q3698011,,//Red Cross and Red Crescent of Chad//,,
1603:45:1:63:152,63_152,,,,//Red Cross and Red Crescent of Chile//,,
1603:45:1:63:156,63_156,,Q908277,,//Red Cross and Red Crescent of China//,,
1603:45:1:63:158,63_158,,,,//Red Cross and Red Crescent of Taiwan (Province of China)//,,
1603:45:1:63:162,63_162,,,,//Red Cross and Red Crescent of Christmas Island//,,
1603:45:1:63:166,63_166,,,,//Red Cross and Red Crescent of Cocos (Keeling) Islands//,,
1603:45:1:63:170,63_170,,Q5147946,,//Red Cross and Red Crescent of Colombia//,,
1603:45:1:63:174,63_174,,Q3855841,,//Red Cross and Red Crescent of Comoros//,,
1603:45:1:63:175,63_175,,,,//Red Cross and Red Crescent of Mayotte//,,
1603:45:1:63:178,63_178,,,,//Red Cross and Red Crescent of Congo//,,
1603:45:1:63:180,63_180,,Q3698029,,//Red Cross and Red Crescent of Democratic Republic of the Congo//,,
1603:45:1:63:184,63_184,,,,//Red Cross and Red Crescent of Cook Islands//,,
1603:45:1:63:188,63_188,,,,//Red Cross and Red Crescent of Costa Rica//,,
1603:45:1:63:191,63_191,,Q5187150,,//Red Cross and Red Crescent of Croatia//,,
1603:45:1:63:192,63_192,,Q1483344,,//Red Cross and Red Crescent of Cuba//,,
1603:45:1:63:196,63_196,,Q3698036,,//Red Cross and Red Crescent of Cyprus//,,
1603:45:1:63:203,63_203,,,,//Red Cross and Red Crescent of Czechia//,,
1603:45:1:63:204,63_204,,Q3698009,,//Red Cross and Red Crescent of Benin//,,
1603:45:1:63:208,63_208,,,,//Red Cross and Red Crescent of Denmark//,,
1603:45:1:63:212,63_212,,Q5290699,,//Red Cross and Red Crescent of Dominica//,,
1603:45:1:63:214,63_214,,Q56289825,,//Red Cross and Red Crescent of Dominican Republic//,,
1603:45:1:63:218,63_218,,,,//Red Cross and Red Crescent of Ecuador//,,
1603:45:1:63:222,63_222,,,,//Red Cross and Red Crescent of El Salvador//,,
1603:45:1:63:226,63_226,,,,//Red Cross and Red Crescent of Equatorial Guinea//,,
1603:45:1:63:231,63_231,,Q3698039,,//Red Cross and Red Crescent of Ethiopia//,,
1603:45:1:63:232,63_232,,,,//Red Cross and Red Crescent of Eritrea//,,
1603:45:1:63:233,63_233,,,,//Red Cross and Red Crescent of Estonia//,,
1603:45:1:63:234,63_234,,,,//Red Cross and Red Crescent of Faroe Islands//,,
1603:45:1:63:238,63_238,,,,//Red Cross and Red Crescent of Falkland Islands (Malvinas)//,,
1603:45:1:63:239,63_239,,,,//Red Cross and Red Crescent of South Georgia and the South Sandwich Islands//,,
1603:45:1:63:242,63_242,,,,//Red Cross and Red Crescent of Fiji//,,
1603:45:1:63:246,63_246,,Q409603,,//Red Cross and Red Crescent of Finland//,,
1603:45:1:63:250,63_250,,Q3003244,,//Red Cross and Red Crescent of France//,,
1603:45:1:63:254,63_254,,,,//Red Cross and Red Crescent of French Guiana//,,
1603:45:1:63:258,63_258,,,,//Red Cross and Red Crescent of French Polynesia//,,
1603:45:1:63:260,63_260,,,,//Red Cross and Red Crescent of French Southern and Antarctic Territories//,,
1603:45:1:63:262,63_262,,,,//Red Cross and Red Crescent of Djibouti//,,
1603:45:1:63:266,63_266,,,,//Red Cross and Red Crescent of Gabon//,,
1603:45:1:63:268,63_268,,,,//Red Cross and Red Crescent of Georgia//,,
1603:45:1:63:270,63_270,,,,//Red Cross and Red Crescent of Gambia//,,
1603:45:1:63:275,63_275,,Q2917392,,//Red Cross and Red Crescent of State of Palestine//,,
1603:45:1:63:276,63_276,,,,//Red Cross and Red Crescent of Germany//,,
1603:45:1:63:288,63_288,,,,//Red Cross and Red Crescent of Ghana//,,
1603:45:1:63:292,63_292,,,,//Red Cross and Red Crescent of Gibraltar//,,
1603:45:1:63:296,63_296,,Q6415104,,//Red Cross and Red Crescent of Kiribati//,,
1603:45:1:63:300,63_300,,,,//Red Cross and Red Crescent of Greece//,,
1603:45:1:63:304,63_304,,,,//Red Cross and Red Crescent of Greenland//,,
1603:45:1:63:308,63_308,,,,//Red Cross and Red Crescent of Grenada//,,
1603:45:1:63:312,63_312,,,,//Red Cross and Red Crescent of Guadeloupe//,,
1603:45:1:63:316,63_316,,,,//Red Cross and Red Crescent of Guam//,,
1603:45:1:63:320,63_320,,,,//Red Cross and Red Crescent of Guatemala//,,
1603:45:1:63:324,63_324,,,,//Red Cross and Red Crescent of Guinea//,,
1603:45:1:63:328,63_328,,,,//Red Cross and Red Crescent of Guyana//,,
1603:45:1:63:332,63_332,,,,//Red Cross and Red Crescent of Haiti//,,
1603:45:1:63:334,63_334,,,,//Red Cross and Red Crescent of Heard Island and McDonald Islands//,,
1603:45:1:63:336,63_336,,,,//Red Cross and Red Crescent of Holy See//,,
1603:45:1:63:340,63_340,,Q16553811,,//Red Cross and Red Crescent of Honduras//,,
1603:45:1:63:344,63_344,,Q840469,,"//Red Cross and Red Crescent of China, Hong Kong Special Administrative Region//",,
1603:45:1:63:348,63_348,,,,//Red Cross and Red Crescent of Hungary//,,
1603:45:1:63:352,63_352,,Q5985772,,//Red Cross and Red Crescent of Iceland//,,
1603:45:1:63:356,63_356,,Q16237727,,//Red Cross and Red Crescent of India//,,
1603:45:1:63:360,63_360,,Q3003251,,//Red Cross and Red Crescent of Indonesia//,,
1603:45:1:63:364,63_364,,Q7303956,,//Red Cross and Red Crescent of Iran (Islamic Republic of)//,,
1603:45:1:63:368,63_368,,Q6068065,,//Red Cross and Red Crescent of Iraq//,,
1603:45:1:63:372,63_372,,Q11282482,,//Red Cross and Red Crescent of Ireland//,,
1603:45:1:63:376,63_376,,Q577902,,//Red Cross and Red Crescent of Israel//,,
1603:45:1:63:380,63_380,,Q913903,,//Red Cross and Red Crescent of Italy//,,
1603:45:1:63:384,63_384,,,,//Red Cross and Red Crescent of Côte d'Ivoire//,,
1603:45:1:63:388,63_388,,Q99543779,,//Red Cross and Red Crescent of Jamaica//,,
1603:45:1:63:392,63_392,,Q4538440,,//Red Cross and Red Crescent of Japan//,,
1603:45:1:63:398,63_398,,,,//Red Cross and Red Crescent of Kazakhstan//,,
1603:45:1:63:400,63_400,,,,//Red Cross and Red Crescent of Jordan//,,
1603:45:1:63:404,63_404,,Q3698016,,//Red Cross and Red Crescent of Kenya//,,
1603:45:1:63:408,63_408,,Q3698023,,//Red Cross and Red Crescent of Democratic People's Republic of Korea//,,
1603:45:1:63:410,63_410,,Q7314493,,//Red Cross and Red Crescent of Republic of Korea//,,
1603:45:1:63:414,63_414,,Q6448872,,//Red Cross and Red Crescent of Kuwait//,,
1603:45:1:63:417,63_417,,,,//Red Cross and Red Crescent of Kyrgyzstan//,,
1603:45:1:63:418,63_418,,Q6487795,,//Red Cross and Red Crescent of Lao People's Democratic Republic//,,
1603:45:1:63:422,63_422,,Q12189470,,//Red Cross and Red Crescent of Lebanon//,,
1603:45:1:63:426,63_426,,,,//Red Cross and Red Crescent of Lesotho//,,
1603:45:1:63:428,63_428,,Q4254881,,//Red Cross and Red Crescent of Latvia//,,
