qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,jpn-Jpan-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,jpn-Jpan-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,jpn-Jpan-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:392:2:1037,1037,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1037,Hokuto City,北斗市,JP01037,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1038,1038,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1038,Hokuryu-cho,北竜町,JP01038,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1039,1039,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1039,Kitami City,北見市,JP01039,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1040,1040,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1040,Chitose City,千歳市,JP01040,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1041,1041,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1041,Minami-ku,南区,JP01041,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1042,1042,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1042,Minamifurano-cho,南富良野,JP01042,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1043,1043,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1043,Nanporo-cho,南幌町,JP01043,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1044,1044,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1044,Shimukappu-mura,占冠村,JP01044,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1045,1045,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1045,Atsubetsu-ku,厚別区,JP01045,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1046,1046,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1046,Akkeshi-cho,厚岸町,JP01046,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1047,1047,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1047,Assabu-cho,厚沢部町,JP01047,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1048,1048,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1048,Atsuma-cho,厚真町,JP01048,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1049,1049,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1049,Furubira-cho,古平町,JP01049,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1050,1050,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1050,Nayoro City,名寄市,JP01050,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1051,1051,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1051,Wassamu-cho,和寒町,JP01051,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1052,1052,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1052,Kimobetsu-cho,喜茂別町,JP01052,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1053,1053,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1053,Mashike-cho,増毛町,JP01053,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1054,1054,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1054,Shibetsu City,士別市,JP01054,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1055,1055,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1055,Shihoro-cho,士幌町,JP01055,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1056,1056,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1056,Sobetsu-cho,壮瞥町,JP01056,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1057,1057,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1057,Yubari City,夕張市,JP01057,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1058,1058,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1058,Taiki-cho,大樹町,JP01058,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1059,1059,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1059,Ozora-cho,大空町,JP01059,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1060,1060,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1060,Teshio-cho,天塩町,JP01060,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1061,1061,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1061,Naie-cho,奈井江町,JP01061,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1062,1062,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1062,Okushiri-cho,奥尻町,JP01062,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1063,1063,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1063,Moseushi-cho,妹背牛町,JP01063,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1064,1064,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1064,Abira-cho,安平町,JP01064,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1065,1065,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1065,Muroran City,室蘭市,JP01065,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1066,1066,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1066,Furano City,富良野市,JP01066,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1067,1067,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1067,Suttsu-cho,寿都町,JP01067,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1068,1068,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1068,Obira-cho,小平町,JP01068,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1069,1069,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1069,Otaru City,小樽市,JP01069,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1070,1070,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1070,Koshimizu-cho,小清水町,JP01070,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1071,1071,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1071,Iwanai-cho,岩内町,JP01071,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1072,1072,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1072,Iwamizawa City,岩見沢市,JP01072,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1073,1073,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1073,Shimamaki-mura,島牧村,JP01073,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1074,1074,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1074,Obihiro City,帯広市,JP01074,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1075,1075,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1075,Horokanai-cho,幌加内町,JP01075,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1076,1076,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1076,Horonobe-cho,幌延町,JP01076,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1077,1077,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1077,Makubetsu-cho,幕別町,JP01077,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1078,1078,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1078,Biratori-cho,平取町,JP01078,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1079,1079,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1079,Hiroo-cho,広尾町,JP01079,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1080,1080,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1080,Teshikaga-cho,弟子屈町,JP01080,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1081,1081,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1081,Tobetsu-cho,当別町,JP01081,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1082,1082,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1082,Toma-cho,当麻町,JP01082,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1083,1083,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1083,Eniwa City,恵庭市,JP01083,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1084,1084,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1084,Aibetsu-cho,愛別町,JP01084,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1085,1085,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1085,Teine-ku,手稲区,JP01085,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1086,1086,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1086,Shari-cho,斜里町,JP01086,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1087,1087,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1087,Shinhidaka-cho,新ひだか,JP01087,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1088,1088,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1088,Niikappu-cho,新冠町,JP01088,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1089,1089,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1089,Shintotsukawa-cho,新十津川,JP01089,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1090,1090,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1090,Shintoku-cho,新得町,JP01090,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1091,1091,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1091,Shinshinotsu-mura,新篠津村,JP01091,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1092,1092,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1092,Hidaka-cho,日高町,JP01092,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1093,1093,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1093,Asahikawa City,旭川市,JP01093,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1094,1094,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1094,Sarabetsu-mura,更別村,JP01094,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1095,1095,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1095,Tsukigata-cho,月形町,JP01095,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1096,1096,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1096,Kikonai-cho,木古内町,JP01096,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1097,1097,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1097,Honbetsu-cho,本別町,JP01097,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1098,1098,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1098,Higashi-ku,東区,JP01098,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1099,1099,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1099,Higashikawa-cho,東川町,JP01099,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1100,1100,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1100,Higashikagura-cho,東神楽町,JP01100,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1101,1101,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1101,Matsumae-cho,松前町,JP01101,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1102,1102,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1102,Esashi-cho,枝幸町,JP01102,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1103,1103,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1103,Kuriyama-cho,栗山町,JP01103,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1104,1104,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1104,Nemuro City,根室市,JP01104,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1105,1105,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1105,Mori-machi,森町,JP01105,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1106,1106,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1106,Samani-cho,様似町,JP01106,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1107,1107,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1107,Shibetsu-cho,標津町,JP01107,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1108,1108,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1108,Shibecha-cho,標茶町,JP01108,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1109,1109,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1109,Utashinai City,歌志内市,JP01109,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1110,1110,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1110,Pippu-cho,比布町,JP01110,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1111,1111,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1111,Ebetsu City,江別市,JP01111,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1112,1112,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1112,Esashi-cho,江差町,JP01112,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1113,1113,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1113,Ikeda-cho,池田町,JP01113,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1114,1114,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1114,Numata-cho,沼田町,JP01114,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
