admin4Name_en,admin4Name_mk,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin4AltName1_mk,admin4AltName2_mk,admin3Name_en,admin3Name_mk,admin3Pcode,admin2Name_en,admin2Name_mk,admin2Pcode,admin1Name_en,admin1Name_mk,admin1Pcode,admin0Name_en,admin0Name_mk,admin0Pcode,date,validOn,validTo
Delchevo,Делчево,MK00203,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Zrnovtsi,Зрновци,MK00204,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Karbintsi,Карбинци,MK00205,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Kochani,Кочани,MK00206,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Makedonska Kamenitsa,Македонска Каменица,MK00207,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Pehchevo,Пехчево,MK00208,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Probishtip,Пробиштип,MK00209,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Cheshinovo - Obleshevo,Чешиново - Облешево,MK00210,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Shtip,Штип,MK00211,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Vevchani,Вевчани,MK00301,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Debar,Дебар,MK00303,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Debartsa,Дебарца,MK00304,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Drugovo,Другово,MK00307_1,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Kichevo,Кичево,MK00307_2,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Oslomej,Осломеј,MK00307_3,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Vraneshtitsa,Вранештица,MK00307_4,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Zajas,Зајас,MK00307_5,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Makedonski Brod,Македонски Брод,MK00308,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Ohrid,Охрид,MK00310,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Plasnitsa,Пласница,MK00311,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Struga,Струга,MK00312,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Centar Zhupa,Центар Жупа,MK00313,,,,,,Southwest,Југозападен,MK003,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Bogdantsi,Богданци,MK00401,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Bosilovo,Босилово,MK00402,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Valandovo,Валандово,MK00403,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Vasilevo,Василево,MK00404,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Gevgelija,Гевгелија,MK00405,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Dojran,Дојран,MK00406,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Konche,Конче,MK00407,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Novo Selo,Ново Село,MK00408,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Radovish,Радовиш,MK00409,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Strumitsa,Струмица,MK00410,,,,,,Southeast,Југоисточен,MK004,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Bitola,Битола,MK00501,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Demir Hisar,Демир Хисар,MK00502,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Dolneni,Долнени,MK00503,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Krivogashtani,Кривогаштани,MK00504,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Krushevo,Крушево,MK00505,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Mogila,Могила,MK00506,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Novatsi,Новаци,MK00507,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Prilep,Прилеп,MK00508,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Resen,Ресен,MK00509,,,,,,Pelagonia,Пелагониски,MK005,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Bogovinje,Боговиње,MK00601,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Brvenitsa,Брвеница,MK00602,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Vrapchishte,Врапчиште,MK00603,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Gostivar,Гостивар,MK00604,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Zhelino,Желино,MK00605,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Jegunovtse,Јегуновце,MK00606,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Mavrovo and Rostusha,Маврово и Ростуша,MK00607,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Teartse,Теарце,MK00608,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Tetovo,Тетово,MK00609,,,,,,Polog,Полошки,MK006,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Kratovo,Кратово,MK00701,,,,,,Northeast,Североисточен,MK007,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Kriva Palanka,Крива Паланка,MK00702,,,,,,Northeast,Североисточен,MK007,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Kumanovo,Куманово,MK00703,,,,,,Northeast,Североисточен,MK007,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Lipkovo,Липково,MK00704,,,,,,Northeast,Североисточен,MK007,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Rankovtse,Ранковце,MK00705,,,,,,Northeast,Североисточен,MK007,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Staro Nagorichane,Старо Нагоричане,MK00706,,,,,,Northeast,Североисточен,MK007,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Arachinovo,Арачиново,MK00802,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Zelenikovo,Зелениково,MK00806,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Ilinden,Илинден,MK00807,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Aerodrom,Аеродром,MK00809_01,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Butel,Бутел,MK00809_02,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Centar,Центар,MK00809_03,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Chair,Чаир,MK00809_04,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Gazi Baba,Гази Ба,MK00809_05,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Gjorche Petrov,Ѓорче Петров,MK00809_06,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Karposh,Карпош,MK00809_07,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Kisela Voda,Кисела Вода,MK00809_08,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Saraj,Сарај,MK00809_09,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Shuto Orizari,Шуто Оризари,MK00809_10,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Petrovets,Петровец,MK00810,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Sopishte,Сопиште,MK00812,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Studenichani,Студеничани,MK00813,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Chucher - Sandevo,Чучер - Сандево,MK00816,,,,,,Skopje,Скопски,MK008,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
