admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Misr al-Gadida,قسم مصر الجديدة,EG0128,Misr al-Gadida,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Nuzha,قسم النزهة,EG0129,Nuzha,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Ain Shams,قسم عين شمس,EG0130,Ain Shams,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zawiyya Al-Hamra,قسم الزاوية الحمراء,EG0131,Zawiyya Al-Hamra,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Salam,قسم السلام,EG0132,Al Salam,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zamalik,قسم الزمالك,EG0133,Zamalik,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Minshat Nasir,منشأة ناصر,EG0134,Minshat Nasir,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Basatin,قسم  البساتين,EG0135,Basatin,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Marg,قسم المرج,EG0136,Marg,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
New Cairo-1,قسم أول القاهرة الجديدة,EG0137,New Cairo-1,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
New Cairo-2,قسم ثان القاهرة الجديدة,EG0138,New Cairo-2,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
New Cairo-3,قسم ثالث القاهرة الجديدة,EG0139,New Cairo-3,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Shroq,قسم الشروق,EG0140,Shroq,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Badr,قسم بدر,EG0141,Badr,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zemam Out,خارج الزمام,EG0200,Zemam Out,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Muntazah,قسم  المنتزة,EG0201,Muntazah,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Raml,قسم أول الرمل,EG0202,Al Raml,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Sidi Gabir,قسم  سيدى جابر,EG0203,Sidi Gabir,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Bab Sharqi,قسم  باب شرقى,EG0204,Bab Sharqi,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Muharam Bik,قسم  محرم بك,EG0205,Muharam Bik,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Attarin,قسم  العطارين,EG0206,Al Attarin,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Manshiyya,قسم  المنشية,EG0207,Al Manshiyya,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Karmuz,قسم  كرموز,EG0208,Karmuz,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
A L Labban,قسم  اللبان,EG0209,A L Labban,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Gumruk,قسم  الجمرك,EG0210,Al Gumruk,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Mina Al-Basal,قسم  مينا البصل,EG0211,Mina Al-Basal,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Dikhila,قسم  الدخيلة,EG0212,Al Dikhila,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Amreia,قسم  العامرية,EG0213,Al Amreia,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Burg al-Arab,قسم  برج العرب,EG0214,Burg al-Arab,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Port Alexandria Police Department,اداره شرطه ميناء الأسكندريه,EG0215,Port Alexandria Police Department,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Burg Al-Arab City,مدينه برج العرب الجديده,EG0216,Burg Al-Arab City,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kesm than Al Raml,قسم ثان الرمل,EG0217,Kesm than Al Raml,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
North Coast,الساحل الشمالى,EG0218,North Coast,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Sharq,قسم الشرق,EG0301,Al-Sharq,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Arab,قسم العرب,EG0302,Al-Arab,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Munakh,قسم المناخ,EG0303,Al-Munakh,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Port Fuad,قسم بور فؤاد,EG0304,Port Fuad,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Dawahy ,قسم الضواحى,EG0305,Al-Dawahy ,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Ganoub,قسم الجنوب,EG0306,Al-Ganoub,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Zohour,قسم الزهور,EG0307,Al-Zohour,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Port Fuad 2,قسم ثان بور فؤاد,EG0308,Port Fuad 2,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Mubark-Sharq Tafrea,قسم مبارك - شرق التفريعة,EG0309,Mubark-Sharq Tafrea,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Manasra,قسم المناصرة,EG0310,Al-Manasra,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Ganoub 2,قسم ثان الجنوب,EG0311,Al-Ganoub 2,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Police Department Port Said Port,إدارة شرطة ميناء بورسعيد,EG0312,Police Department Port Said Port,,,,,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Suez ,قسم السويس,EG0401,Suez ,,,,,Suez,السويس,EG04,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Arbiin,قسم الأربعين,EG0402,Al-Arbiin,,,,,Suez,السويس,EG04,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Ataqa,قسم عتاقة,EG0403,Ataqa,,,,,Suez,السويس,EG04,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Faysal,قسم فيصل,EG0404,Faysal,,,,,Suez,السويس,EG04,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Ganayin,قسم الجناين,EG0405,Al-Ganayin,,,,,Suez,السويس,EG04,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Port Suez Police Department,إدارة شرطة ميناء السويس,EG0406,Port Suez Police Department,,,,,Suez,السويس,EG04,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Dumyat 1,قسم أول دمياط,EG1101,Dumyat 1,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Dumyat,مركز دمياط,EG1102,Dumyat,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Fariskur,مركز فارسكور,EG1103,Fariskur,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kafr Sad,مركز كفر سعد,EG1104,Kafr Sad,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Dumyat Al-Gadida,قسم مدينه دمياط الجديده,EG1105,Dumyat Al-Gadida,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Ras al-Bar,قسم رأس البر,EG1106,Ras al-Bar,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zarqa,مركز الزرقا,EG1107,Zarqa,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Police Department Port of Damietta,إداره شرطه ميناء دمياط الجديد,EG1108,Police Department Port of Damietta,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Dumyat 2,قسم ثان دمياط,EG1109,Dumyat 2,,,,,Damietta,دمياط,EG11,Egypt,مِصر,EG,2006-01-01,2017-04-21,
El Mansora 1,قسم اول المنصورة,EG1201,El Mansora 1,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
E Mansora 2,قسم ثان المنصورة,EG1202,E Mansora 2,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
El Mansora,مركز المنصورة,EG1203,El Mansora,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Aga,مركز أجا,EG1204,Aga,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Sinbillawin,مركز السنبلاوين,EG1205,Sinbillawin,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Matariyya,مركز المطرية,EG1206,Matariyya,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Manzala,مركز المنزلة,EG1207,Manzala,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Bilqas,مركز بلقاس,EG1208,Bilqas,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Dikirnis,مركز دكرنس,EG1209,Dikirnis,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Shirbin,مركز شربين,EG1210,Shirbin,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Talkha,مركز طلخا,EG1211,Talkha,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Mit Ghamr,قسم ميت غمر,EG1212,Mit Ghamr,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Mit Ghamr,مركز ميت غمر,EG1213,Mit Ghamr,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Minya Al-Nasr,مركز منية النصر,EG1214,Minya Al-Nasr,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Gamaliyya,مركز الجمالية,EG1215,Gamaliyya,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Tamy Al-Amdid,مركز تمى الأمديد,EG1216,Tamy Al-Amdid,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
MIt Salsil,مركز ميت سلسيل,EG1217,MIt Salsil,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Bany Abeed,مركز بنى عبيد,EG1218,Bany Abeed,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Mahalet Demna,مركز محلة دمنة,EG1219,Mahalet Demna,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Gamsa,قسم جمصة,EG1220,Gamsa,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Nebro,مركز نبروة,EG1221,Nebro,,,,,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zemam Out,خارج الزمام,EG1300,Zemam Out,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zaqaziq 1,قسم اول الزقازيق,EG1301,Zaqaziq 1,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zaqaziq 2,قسم ثان الزقازيق,EG1302,Zaqaziq 2,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zaqaziq,مركز الزقازيق,EG1303,Zaqaziq,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Abu Hammad,مركز أبو حماد,EG1304,Abu Hammad,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Abu Kabir,مركز أبوكبير,EG1305,Abu Kabir,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Husayniya,مركز الحسينية,EG1306,Al-Husayniya,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Salhiyya,قسم الصالحية الجديدة,EG1307,Al-Salhiyya,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Bilbis,مركز بلبيس,EG1308,Bilbis,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
10 Ramadan 1,قسم اول مدينة العاشر من رمضان,EG1309,10 Ramadan 1,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Dyarb Nigm,مركز ديرب نجم,EG1310,Dyarb Nigm,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Faqus,قسم فاقوس,EG1311,Faqus,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Faqus,مركز فاقوس,EG1312,Faqus,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kafr Saqr,مركز كفر صقر,EG1313,Kafr Saqr,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Minya al-Qamh,مركز منيا القمح,EG1314,Minya al-Qamh,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Hihya,مركز ههيا,EG1315,Hihya,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Mashtul Al-Suq,مركز مشتول السوق,EG1316,Mashtul Al-Suq,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
El-Ibrahimiya,مركز الأبراهيمية,EG1317,El-Ibrahimiya,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al-Qanayat,قسم القنايات,EG1318,Al-Qanayat,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Awlad Saqr,مركز أولاد صقر,EG1319,Awlad Saqr,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qurin,قسم القرين,EG1320,Qurin,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
10 Ramadan 2,قسم ثان مدينه العاشر من رمضان,EG1321,10 Ramadan 2,,,,,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zemam Out,خارج الزمام,EG1400,Zemam Out,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Banha,قسم بنها,EG1401,Banha,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Banha,مركز بنها,EG1402,Banha,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Khanka,مركز الخانكة,EG1403,Al Khanka,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qanatir Al-Khayriyya,مركز القناطر الخيرية,EG1404,Qanatir Al-Khayriyya,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Shibin al-Qanatir,مركز شبين القناطر,EG1405,Shibin al-Qanatir,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Shubra Al-Khayma 1,قسم أول شبرا الخيمة,EG1406,Shubra Al-Khayma 1,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Shubra Al-Khayma 2,قسم ثان شبرا الخيمة,EG1407,Shubra Al-Khayma 2,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Tukh,مركز طوخ,EG1408,Tukh,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qalyub,قسم قليوب,EG1409,Qalyub,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qalyub,مركز قليوب,EG1410,Qalyub,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kafr Shukr,مركز كفر شكر,EG1411,Kafr Shukr,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Khsos,قسم الخصوص,EG1412,Khsos,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Abour,قسم العبور,EG1413,Abour,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qaha,قسم قها,EG1414,Qaha,,,,,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kafr Al-Shaykh,قسم كفر الشيخ,EG1501,Kafr Al-Shaykh,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kafr Al-Shaykh,مركز كفر الشيخ,EG1502,Kafr Al-Shaykh,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Burullus,مركز البرلس,EG1503,Burullus,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Biyalu,مركز بيلا,EG1504,Biyalu,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Disuq,قسم دسوق,EG1505,Disuq,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Disuq,مركز دسوق,EG1506,Disuq,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Sidi Salim,مركز سيدى سالم,EG1507,Sidi Salim,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Fuwwa,مركز فوه,EG1508,Fuwwa,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qillin,مركز قلين,EG1509,Qillin,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Mitubas,مركز مطوبس,EG1510,Mitubas,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Hamul,مركز الحامول,EG1511,Al Hamul,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Riyad,مركز الرياض,EG1512,Riyad,,,,,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Tanta 1,قسم أول طنطا,EG1601,Tanta 1,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Tanta 2,قسم ثان طنطا,EG1602,Tanta 2,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Tanta,مركز طنطا,EG1603,Tanta,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Santa,مركز السنطة,EG1604,Santa,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
El Mahalla El Kobra 1,قسم أول المحلة الكبرى,EG1605,El Mahalla El Kobra 1,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
El Mahalla El Kobra 2,قسم ثان المحلة الكبرى,EG1606,El Mahalla El Kobra 2,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
El Mahalla El Kobra,مركز المحله الكبرى,EG1607,El Mahalla El Kobra,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Basyun,مركز بسيون,EG1608,Basyun,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Zifta,مركز زفتى,EG1609,Zifta,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Samannud,مركز سمنود,EG1610,Samannud,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qutur,مركز قطور,EG1611,Qutur,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kafr Al-Zayyat,مركز كفر الزيات,EG1612,Kafr Al-Zayyat,,,,,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Shibin al-Kum,قسم شبين الكوم,EG1701,Shibin al-Kum,,,,,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Shibin al-Kum,مركز شبين الكوم,EG1702,Shibin al-Kum,,,,,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2006-01-01,2017-04-21,
