admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
,طره البلد,EG010502,,,,,,Tura,قسم  طره,EG0105,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,طره الحيط,EG010503,,,,,,Tura,قسم  طره,EG0105,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,طرة الأسمنت,EG010504,,,,,,Tura,قسم  طره,EG0105,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,منشية المصري,EG010505,,,,,,Tura,قسم  طره,EG0105,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الزهراء,EG010506,,,,,,Tura,قسم  طره,EG0105,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,أبو السعود والمدابغ,EG010601,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,أثر النبي,EG010602,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الأنور وعشش البارود,EG010603,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الخوخة والقناية,EG010604,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الديورة,EG010605,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الروضة والمقياس,EG010606,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الكفور وساعي البحر,EG010607,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المنيل الشرقي,EG010608,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المنيل الغربي,EG010609,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,عين الصيرة,EG010610,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,فم الخليج ودير النحاس,EG010611,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,كوم غراب,EG010612,,,,,,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الانشا والمنيرة,EG010701,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,البغالة,EG010702,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الحنفي,EG010703,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الدرب الجديد,EG010704,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,السباعين,EG010705,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,السيدة,EG010706,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,العتريس,EG010707,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,العيني,EG010708,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الكبش,EG010709,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حدائق زينهم,EG010710,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,خيرت,EG010711,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,درب الجماميز,EG010712,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,زينهم,EG010713,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,سنقر,EG010714,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,طولون,EG010715,,,,,,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الأباجية,EG010801,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الإمامين,EG010802,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,البقلي,EG010803,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,التونسي,EG010804,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الحطابة,EG010805,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الحلمية,EG010806,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الخليفة,EG010807,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,السيدة عائشة,EG010808,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الصليبة,EG010809,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,القادرية,EG010810,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المحجر,EG010811,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,درب الحصر,EG010812,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,درب غزية,EG010813,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,عرب اليسار,EG010814,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الجيزة,EG010815,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,العبد,EG010816,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الصعيد,EG010817,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,سبعين فدان,EG010818,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,صبحى حسين,EG010819,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,أطلس ج,EG010820,,,,,,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,البلاقسة,EG010901,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الجزيرة الجديدة,EG010902,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الدواوين,EG010903,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الساحة,EG010904,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,السقايين,EG010905,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشيخ عبد الله,EG010906,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الفوالة,EG010907,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,باب اللوق,EG010908,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,رحبة عابدين,EG010909,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,غيط العدة,EG010910,,,,,,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الرملي,EG011001,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشيخ ندا,EG011002,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الطمار ,EG011003,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,العشماوي,EG011004,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,اللواء أمين الشريف,EG011005,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المناصرة,EG011006,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,النوبى,EG011007,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,درب الجنينة,EG011008,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,صفى الدين,EG011009,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,كوم الشيخ سلامة,EG011010,,,,,,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الاسماعيلية,EG011101,,,,,,Qasr Al-Nile,قسم  قصر النيل,EG0111,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,جاردن سيتي,EG011102,,,,,,Qasr Al-Nile,قسم  قصر النيل,EG0111,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,قصر الدوبارة,EG011103,,,,,,Qasr Al-Nile,قسم  قصر النيل,EG0111,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,معروف,EG011104,,,,,,Qasr Al-Nile,قسم  قصر النيل,EG0111,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,أبو العلا,EG011201,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الأحمدين,EG011202,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الترجمان,EG011203,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الجلادين,EG011204,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الجوابر,EG011205,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الخطيري,EG011206,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,السبتية,EG011207,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,السندبيسي,EG011208,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشيخ علي,EG011209,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشيخ فراج,EG011210,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,العدوية,EG011211,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,العليمى,EG011212,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,القلاية,EG011213,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حوض الزهور,EG011214,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,درب نصر,EG011215,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,سنان باشا,EG011216,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,سوق العصر ,EG011217,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,شركس,EG011218,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,عشش النخل,EG011219,,,,,,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الجيارة,EG011301,,,,,,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الريحانى,EG011302,,,,,,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الزهار,EG011303,,,,,,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الفجالة,EG011304,,,,,,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,القبيلة,EG011305,,,,,,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,القللي,EG011306,,,,,,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,عرابى,EG011307,,,,,,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,كلوت بك,EG011308,,,,,,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الباطنية,EG011401,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الداودية,EG011402,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الدرب الأحمر,EG011403,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,السروجية,EG011404,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,العمري,EG011405,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الغورية,EG011406,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,القربية,EG011407,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المغربلين,EG011408,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,باب الوزير,EG011409,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,تحت الربع,EG011410,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حارة الروم,EG011411,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,درب سعادة,EG011412,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,درب شغلان والغريب,EG011413,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,سوق السلاح,EG011414,,,,,,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الأزهر,EG011501,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,البير قدار,EG011502,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الجمالية,EG011503,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الحمزاوي,EG011504,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الخرنفش,EG011505,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الخواص,EG011506,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الدراسة,EG011507,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشعراني,EG011508,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,العطوف,EG011509,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الكردي,EG011510,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المشهد الحسيني,EG011511,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المنصورية,EG011512,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,باب الفتوح,EG011513,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,بين الصورين,EG011514,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,جوهر القائد,EG011515,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,خان الخليلي,EG011516,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,قصر الشوق,EG011517,,,,,,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,البنهاوي,EG011601,,,,,,Bab Al-Shariyya,قسم  باب الشعرية,EG0116,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشمبكي,EG011602,,,,,,Bab Al-Shariyya,قسم  باب الشعرية,EG0116,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الصوابي,EG011603,,,,,,Bab Al-Shariyya,قسم  باب الشعرية,EG0116,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
