#meta,#meta+archivum,#meta+iso3,#meta+sheets+original,#meta+sheets+new
1603.45.16:,hnd.xlsx,hnd,adm2 adm1 adm0,hnd_2 hnd_1 hnd_0
1603.45.16:,hti.xlsx,hti,hti_adm3 hti_adm2 hti_adm1 hti_adm0,hti_3 hti_2 hti_1 hti_0
1603.45.16:,idn.xlsx,idn,idn_adm4 idn_adm3 idn_adm2 idn_adm1 idn_adm0,idn_4 idn_3 idn_2 idn_1 idn_0
1603.45.16:,irn.xlsx,irn,irn_adm2 irn_adm1 irn_adm0,irn_2 irn_1 irn_0
1603.45.16:,irq.xlsx,irq,irq_adm3 irq_adm2 irq_adm1 irq_adm0,irq_3 irq_2 irq_1 irq_0
1603.45.16:,kaz.xlsx,kaz,kaz_adm2 kaz_adm1 kaz_adm0,kaz_2 kaz_1 kaz_0
1603.45.16:,ken.xlsx,ken,ken_adm2 ken_adm1 ken_adm0,ken_2 ken_1 ken_0
1603.45.16:,kgz.xlsx,kgz,kgz_adm3 kgz_adm2 kgz_adm1 kgz_adm0,kgz_3 kgz_2 kgz_1 kgz_0
1603.45.16:,khm.xlsx,khm,khm_adm3 khm_adm2 khm_adm1 khm_adm0,khm_3 khm_2 khm_1 khm_0
1603.45.16:,kir.xlsx,kir,kir_adm2 kir_adm1 kir_adm0,kir_2 kir_1 kir_0
1603.45.16:,lao.xlsx,lao,lao_adm2 lao_adm1 lao_adm0,lao_2 lao_1 lao_0
1603.45.16:,lbn.xlsx,lbn,adm3 adm2 adm1 adm0,lbn_3 lbn_2 lbn_1 lbn_0
1603.45.16:,lbr.xlsx,lbr,lbr_adm2 lbr_adm1 lbr_adm0,lbr_2 lbr_1 lbr_0
1603.45.16:,lby.xlsx,lby,lby_adm2 lby_adm1 lby_adm0,lby_2 lby_1 lby_0
1603.45.16:,lca.xlsx,lca,lca_adm2 lca_adm1 lca_adm0,lca_2 lca_1 lca_0
1603.45.16:,lka.xlsx,lka,lka_adm4 lka_adm3 lka_adm2 lka_adm1 lka_adm0,lka_4 lka_3 lka_2 lka_1 lka_0
1603.45.16:,lso.xlsx,lso,lso_adm2 lso_adm1 lso_adm0,lso_2 lso_1 lso_0
1603.45.16:,mar.xlsx,mar,adm2 adm1 adm0,mar_2 mar_1 mar_0
1603.45.16:,mda.xlsx,mda,mda_adm1 mda_adm0,mda_1 mda_0
1603.45.16:,mdg.xlsx,mdg,mdg_adm4 mdg_adm3 mdg_adm2 mdg_adm1 mdg_adm0,mdg_4 mdg_3 mdg_2 mdg_1 mdg_0
1603.45.16:,mex.xlsx,mex,adm2 adm1 adm0,mex_2 mex_1 mex_0
1603.45.16:,mkd.xlsx,mkd,mkd_adm4 mkd_adm3 mkd_adm2 mkd_adm1 mkd_adm0,mkd_4 mkd_3 mkd_2 mkd_1 mkd_0
1603.45.16:,mli.xlsx,mli,mli_adm3 mli_adm2 mli_adm1 mli_adm0,mli_3 mli_2 mli_1 mli_0
1603.45.16:,mng.xlsx,mng,adm2 adm1 adm0,mng_2 mng_1 mng_0
1603.45.16:,moz.xlsx,moz,moz_adm3 moz_adm2 moz_adm1 moz_adm0,moz_3 moz_2 moz_1 moz_0
1603.45.16:,mrt.xlsx,mrt,adm2 adm1 adm0,mrt_2 mrt_1 mrt_0
1603.45.16:,mtq.xlsx,mtq,mtq_adm2 mtq_adm1 mtq_adm0,mtq_2 mtq_1 mtq_0
1603.45.16:,mus.xlsx,mus,adm1 adm0,mus_1 mus_0
1603.45.16:,mwi.xlsx,mwi,mwi_adm3 mwi_adm2 mwi_adm1 mwi_adm0,mwi_3 mwi_2 mwi_1 mwi_0
1603.45.16:,nam.xlsx,nam,nam_adm2 nam_adm1 nam_adm0,nam_2 nam_1 nam_0
1603.45.16:,ner.xlsx,ner,ner_adm3 ner_adm2 ner_adm1 ner_adm0,ner_3 ner_2 ner_1 ner_0
1603.45.16:,nga.xlsx,nga,nga_adm3 nga_adm2 nga_adm1 nga_adm0,nga_3 nga_2 nga_1 nga_0
1603.45.16:,nic.xlsx,nic,adm2 adm1 adm0,nic_2 nic_1 nic_0
1603.45.16:,npl.xlsx,npl,adm2 adm1 adm0,npl_2 npl_1 npl_0
1603.45.16:,pak.xlsx,pak,pak_adm3 pak_adm2 pak_adm1 pak_adm0,pak_3 pak_2 pak_1 pak_0
1603.45.16:,pan.xlsx,pan,adm3 adm2 adm1 adm0,pan_3 pan_2 pan_1 pan_0
1603.45.16:,per.xlsx,per,adm3 adm2 adm1 adm0,per_3 per_2 per_1 per_0
1603.45.16:,phl.xlsx,phl,adm3 adm2 adm1 adm0,phl_3 phl_2 phl_1 phl_0
1603.45.16:,png.xlsx,png,png_adm3 png_adm2 png_adm1 png_adm0,png_3 png_2 png_1 png_0
1603.45.16:,pry.xlsx,pry,adm2 adm1 adm0,pry_2 pry_1 pry_0
1603.45.16:,pse.xlsx,pse,adm2 adm1 adm0,pse_2 pse_1 pse_0
1603.45.16:,rwa.xlsx,rwa,rwa_adm4 rwa_adm3 rwa_adm2 rwa_adm1 rwa_adm0,rwa_4 rwa_3 rwa_2 rwa_1 rwa_0
1603.45.16:,sdn.xlsx,sdn,adm2 adm1 adm0,sdn_2 sdn_1 sdn_0
1603.45.16:,sen.xlsx,sen,sen_adm3 sen_adm2 sen_adm1 sen_adm0,sen_3 sen_2 sen_1 sen_0
1603.45.16:,slb.xlsx,slb,slb_adm3 slb_adm2 slb_adm1 slb_adm0,slb_3 slb_2 slb_1 slb_0
1603.45.16:,sle.xlsx,sle,sle_adm4 sle_adm3 sle_adm2 sle_adm1 sle_adm0,sle_4 sle_3 sle_2 sle_1 sle_0
1603.45.16:,slv.xlsx,slv,adm2 adm1 adm0,slv_2 slv_1 slv_0
1603.45.16:,som.xlsx,som,som_adm2 som_adm1 som_adm0,som_2 som_1 som_0
1603.45.16:,ssd.xlsx,ssd,adm2 adm1 adm0,ssd_2 ssd_1 ssd_0
1603.45.16:,stp.xlsx,stp,adm2 adm1 adm0,stp_2 stp_1 stp_0
1603.45.16:,swz.xlsx,swz,swz_adm2 swz_adm1 swz_adm0,swz_2 swz_1 swz_0
1603.45.16:,sxm.xlsx,sxm,sxm_adm2 sxm_adm1 sxm_adm0,sxm_2 sxm_1 sxm_0
1603.45.16:,syc.xlsx,syc,adm3 adm2 adm1 adm0,syc_3 syc_2 syc_1 syc_0
1603.45.16:,syr.xlsx,syr,Admin3 Admin2 Admin1 Admin0,syr_3 syr_2 syr_1 syr_0
1603.45.16:,tcd.xlsx,tcd,adm3 adm2 adm1 adm0,tcd_3 tcd_2 tcd_1 tcd_0
1603.45.16:,tgo.xlsx,tgo,Admin3 Admin2 Admin1 Admin0,tgo_3 tgo_2 tgo_1 tgo_0
1603.45.16:,tha.xlsx,tha,tha_adm3 tha_adm2 tha_adm1 tha_adm0,tha_3 tha_2 tha_1 tha_0
1603.45.16:,tls.xlsx,tls,adm3 adm2 adm1 adm0,tls_3 tls_2 tls_1 tls_0
1603.45.16:,ton.xlsx,ton,ton_adm3 ton_adm2 ton_adm1 ton_adm0,ton_3 ton_2 ton_1 ton_0
1603.45.16:,tur.xlsx,tur,tur_adm4 tur_adm3 tur_adm2 tur_adm1 tur_adm0,tur_4 tur_3 tur_2 tur_1 tur_0
1603.45.16:,tza.xlsx,tza,tza_adm3 tza_adm2 tza_adm1 tza_adm0,tza_3 tza_2 tza_1 tza_0
1603.45.16:,uga.xlsx,uga,adm4 adm3 adm2 adm1 adm0,uga_4 uga_3 uga_2 uga_1 uga_0
1603.45.16:,ukr.xlsx,ukr,ukr_adm4 ukr_adm3 ukr_adm2 ukr_adm1 ukr_adm0,ukr_4 ukr_3 ukr_2 ukr_1 ukr_0
1603.45.16:,ury.xlsx,ury,adm2 adm1 adm0,ury_2 ury_1 ury_0
1603.45.16:,uzb.xlsx,uzb,adm2 adm1 adm0,uzb_2 uzb_1 uzb_0
1603.45.16:,ven.xlsx,ven,ven_adm3 ven_adm2 ven_adm1 ven_adm0,ven_3 ven_2 ven_1 ven_0
1603.45.16:,vnm.xlsx,vnm,adm2 adm1 adm0,vnm_2 vnm_1 vnm_0
1603.45.16:,vut.xlsx,vut,vut_adm2 vut_adm1 vut_adm0,vut_2 vut_1 vut_0
1603.45.16:,yem.xlsx,yem,yem_adm3 yem_adm2 yem_adm1 yem_adm0,yem_3 yem_2 yem_1 yem_0
1603.45.16:,zaf.xlsx,zaf,adm4 adm3 adm2 adm1 adm0,zaf_4 zaf_3 zaf_2 zaf_1 zaf_0
1603.45.16:,zmb.xlsx,zmb,adm2 adm1 adm0,zmb_2 zmb_1 zmb_0
1603.45.16:,zwe.xlsx,zwe,zwe_adm3 zwe_adm2 zwe_adm1 zwe_adm0,zwe_3 zwe_2 zwe_1 zwe_0
