#meta,#meta+archivum,#meta+iso3,#meta+sheets+original,#meta+sheets+new
1603.45.16:,idn.xlsx,idn,idn_adm4 idn_adm3 idn_adm2 idn_adm1 idn_adm0 ,
1603.45.16:,irn.xlsx,irn,irn_adm2 irn_adm1 irn_adm0 ,
1603.45.16:,irq.xlsx,irq,irq_adm3 irq_adm2 irq_adm1 irq_adm0 ,
1603.45.16:,kaz.xlsx,kaz,kaz_adm2 kaz_adm1 kaz_adm0 ,
1603.45.16:,ken.xlsx,ken,ken_adm2 ken_adm1 ken_adm0 ,
1603.45.16:,kgz.xlsx,kgz,kgz_adm3 kgz_adm2 kgz_adm1 kgz_adm0 ,
1603.45.16:,khm.xlsx,khm,khm_adm3 khm_adm2 khm_adm1 khm_adm0 ,
1603.45.16:,kir.xlsx,kir,kir_adm2 kir_adm1 kir_adm0 ,
1603.45.16:,lao.xlsx,lao,lao_adm2 lao_adm1 lao_adm0 ,
1603.45.16:,lbn.xlsx,lbn,adm3 adm2 adm1 adm0 ,
1603.45.16:,lbr.xlsx,lbr,lbr_adm2 lbr_adm1 lbr_adm0 ,
1603.45.16:,lby.xlsx,lby,lby_adm2 lby_adm1 lby_adm0 ,
1603.45.16:,lca.xlsx,lca,lca_adm2 lca_adm1 lca_adm0 ,
1603.45.16:,lka.xlsx,lka,lka_adm4 lka_adm3 lka_adm2 lka_adm1 lka_adm0 ,
1603.45.16:,lso.xlsx,lso,lso_adm2 lso_adm1 lso_adm0 ,
1603.45.16:,mar.xlsx,mar,adm2 adm1 adm0 ,
1603.45.16:,mda.xlsx,mda,mda_adm1 mda_adm0 ,
1603.45.16:,mdg.xlsx,mdg,mdg_adm4 mdg_adm3 mdg_adm2 mdg_adm1 mdg_adm0 ,
1603.45.16:,mex.xlsx,mex,adm2 adm1 adm0 ,
1603.45.16:,mkd.xlsx,mkd,mkd_adm4 mkd_adm3 mkd_adm2 mkd_adm1 mkd_adm0 ,
1603.45.16:,mli.xlsx,mli,mli_adm3 mli_adm2 mli_adm1 mli_adm0 ,
1603.45.16:,mng.xlsx,mng,adm2 adm1 adm0 ,
1603.45.16:,moz.xlsx,moz,moz_adm3 moz_adm2 moz_adm1 moz_adm0 ,
1603.45.16:,mrt.xlsx,mrt,adm2 adm1 adm0 ,
1603.45.16:,mtq.xlsx,mtq,mtq_adm2 mtq_adm1 mtq_adm0 ,
1603.45.16:,mus.xlsx,mus,adm1 adm0 ,
1603.45.16:,mwi.xlsx,mwi,mwi_adm3 mwi_adm2 mwi_adm1 mwi_adm0 ,
1603.45.16:,nam.xlsx,nam,nam_adm2 nam_adm1 nam_adm0 ,
1603.45.16:,ner.xlsx,ner,ner_adm3 ner_adm2 ner_adm1 ner_adm0 ,
1603.45.16:,nga.xlsx,nga,nga_adm3 nga_adm2 nga_adm1 nga_adm0 ,
1603.45.16:,nic.xlsx,nic,adm2 adm1 adm0 ,
1603.45.16:,npl.xlsx,npl,adm2 adm1 adm0 ,
1603.45.16:,pak.xlsx,pak,pak_adm3 pak_adm2 pak_adm1 pak_adm0 ,
1603.45.16:,pan.xlsx,pan,adm3 adm2 adm1 adm0 ,
1603.45.16:,per.xlsx,per,adm3 adm2 adm1 adm0 ,
1603.45.16:,phl.xlsx,phl,adm3 adm2 adm1 adm0 ,
1603.45.16:,png.xlsx,png,png_adm3 png_adm2 png_adm1 png_adm0 ,
1603.45.16:,pry.xlsx,pry,adm2 adm1 adm0 ,
1603.45.16:,pse.xlsx,pse,adm2 adm1 adm0 ,
1603.45.16:,rwa.xlsx,rwa,rwa_adm4 rwa_adm3 rwa_adm2 rwa_adm1 rwa_adm0 ,
1603.45.16:,sdn.xlsx,sdn,adm2 adm1 adm0 ,
1603.45.16:,sen.xlsx,sen,sen_adm3 sen_adm2 sen_adm1 sen_adm0 ,
1603.45.16:,slb.xlsx,slb,slb_adm3 slb_adm2 slb_adm1 slb_adm0 ,
1603.45.16:,sle.xlsx,sle,sle_adm4 sle_adm3 sle_adm2 sle_adm1 sle_adm0 ,
1603.45.16:,slv.xlsx,slv,adm2 adm1 adm0 ,
1603.45.16:,som.xlsx,som,som_adm2 som_adm1 som_adm0 ,
1603.45.16:,ssd.xlsx,ssd,adm2 adm1 adm0 ,
1603.45.16:,stp.xlsx,stp,adm2 adm1 adm0 ,
1603.45.16:,swz.xlsx,swz,swz_adm2 swz_adm1 swz_adm0 ,
1603.45.16:,sxm.xlsx,sxm,sxm_adm2 sxm_adm1 sxm_adm0 ,
1603.45.16:,syc.xlsx,syc,adm3 adm2 adm1 adm0 ,
1603.45.16:,syr.xlsx,syr,Admin3 Admin2 Admin1 Admin0 ,
1603.45.16:,tcd.xlsx,tcd,adm3 adm2 adm1 adm0 ,
1603.45.16:,tgo.xlsx,tgo,Admin3 Admin2 Admin1 Admin0 ,
1603.45.16:,tha.xlsx,tha,tha_adm3 tha_adm2 tha_adm1 tha_adm0 ,
1603.45.16:,tls.xlsx,tls,adm3 adm2 adm1 adm0 ,
1603.45.16:,ton.xlsx,ton,ton_adm3 ton_adm2 ton_adm1 ton_adm0 ,
1603.45.16:,tur.xlsx,tur,tur_adm4 tur_adm3 tur_adm2 tur_adm1 tur_adm0 ,
1603.45.16:,tza.xlsx,tza,tza_adm3 tza_adm2 tza_adm1 tza_adm0 ,
1603.45.16:,uga.xlsx,uga,adm4 adm3 adm2 adm1 adm0 ,
1603.45.16:,ukr.xlsx,ukr,ukr_adm4 ukr_adm3 ukr_adm2 ukr_adm1 ukr_adm0 ,
1603.45.16:,ury.xlsx,ury,adm2 adm1 adm0 ,
1603.45.16:,uzb.xlsx,uzb,adm2 adm1 adm0 ,
1603.45.16:,ven.xlsx,ven,ven_adm3 ven_adm2 ven_adm1 ven_adm0 ,
1603.45.16:,vnm.xlsx,vnm,adm2 adm1 adm0 ,
1603.45.16:,vut.xlsx,vut,vut_adm2 vut_adm1 vut_adm0 ,
1603.45.16:,yem.xlsx,yem,yem_adm3 yem_adm2 yem_adm1 yem_adm0 ,
1603.45.16:,zaf.xlsx,zaf,adm4 adm3 adm2 adm1 adm0 ,
1603.45.16:,zmb.xlsx,zmb,adm2 adm1 adm0 ,
1603.45.16:,zwe.xlsx,zwe,zwe_adm3 zwe_adm2 zwe_adm1 zwe_adm0 ,
