id,iso_3,adm0_name,adm0_name1,src_lvl,src_date,src_update,src_name,src_name1,src_lic,src_url,e_gpkg,e_shp,e_xlsx,o_gpkg,o_shp,o_xlsx
bgr,BGR,Bulgaria,Bulgaria,2,2019-09-16,2019-09-16,UNICEF,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bgr,https://data.fieldmaps.io/cod/extended/bgr.gpkg.zip,https://data.fieldmaps.io/cod/extended/bgr.shp.zip,https://data.fieldmaps.io/cod/extended/bgr.xlsx,https://data.fieldmaps.io/cod/originals/bgr.gpkg.zip,https://data.fieldmaps.io/cod/originals/bgr.shp.zip,https://data.fieldmaps.io/cod/originals/bgr.xlsx
bhs,BHS,Bahamas,Bahamas,1,2009-01-30,2020-11-13,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bhs,https://data.fieldmaps.io/cod/extended/bhs.gpkg.zip,https://data.fieldmaps.io/cod/extended/bhs.shp.zip,https://data.fieldmaps.io/cod/extended/bhs.xlsx,https://data.fieldmaps.io/cod/originals/bhs.gpkg.zip,https://data.fieldmaps.io/cod/originals/bhs.shp.zip,https://data.fieldmaps.io/cod/originals/bhs.xlsx
blr,BLR,Belarus,Belarus,2,2019-07-30,2019-07-31,UNICEF,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-blr,https://data.fieldmaps.io/cod/extended/blr.gpkg.zip,https://data.fieldmaps.io/cod/extended/blr.shp.zip,https://data.fieldmaps.io/cod/extended/blr.xlsx,https://data.fieldmaps.io/cod/originals/blr.gpkg.zip,https://data.fieldmaps.io/cod/originals/blr.shp.zip,https://data.fieldmaps.io/cod/originals/blr.xlsx
blz,BLZ,Belize,Belize,1,2017-09-08,2021-09-14,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-blz,https://data.fieldmaps.io/cod/extended/blz.gpkg.zip,https://data.fieldmaps.io/cod/extended/blz.shp.zip,https://data.fieldmaps.io/cod/extended/blz.xlsx,https://data.fieldmaps.io/cod/originals/blz.gpkg.zip,https://data.fieldmaps.io/cod/originals/blz.shp.zip,https://data.fieldmaps.io/cod/originals/blz.xlsx
bmu,BMU,Bermuda (UK),Bermuda,2,2017-09-21,2019-05-22,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bmu,https://data.fieldmaps.io/cod/extended/bmu.gpkg.zip,https://data.fieldmaps.io/cod/extended/bmu.shp.zip,https://data.fieldmaps.io/cod/extended/bmu.xlsx,https://data.fieldmaps.io/cod/originals/bmu.gpkg.zip,https://data.fieldmaps.io/cod/originals/bmu.shp.zip,https://data.fieldmaps.io/cod/originals/bmu.xlsx
bol,BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),3,2019-01-29,2021-09-21,GeoBolivia: la Infraestructura de Datos Espaciales del Estado Plurinacional de Bolivia,OCHA Latin America and the Caribbean (ROLAC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bol,https://data.fieldmaps.io/cod/extended/bol.gpkg.zip,https://data.fieldmaps.io/cod/extended/bol.shp.zip,https://data.fieldmaps.io/cod/extended/bol.xlsx,https://data.fieldmaps.io/cod/originals/bol.gpkg.zip,https://data.fieldmaps.io/cod/originals/bol.shp.zip,https://data.fieldmaps.io/cod/originals/bol.xlsx
bra,BRA,Brazil,Brazil,2,2020-09-30,2020-09-30,Instituto Brasileiro de Geografia e Estatística (IBGE),OCHA Latin America and the Caribbean (ROLAC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bra,https://data.fieldmaps.io/cod/extended/bra.gpkg.zip,https://data.fieldmaps.io/cod/extended/bra.shp.zip,https://data.fieldmaps.io/cod/extended/bra.xlsx,https://data.fieldmaps.io/cod/originals/bra.gpkg.zip,https://data.fieldmaps.io/cod/originals/bra.shp.zip,https://data.fieldmaps.io/cod/originals/bra.xlsx
brb,BRB,Barbados,Barbados,1,2017-09-07,2019-11-28,GADM database of Global Administrative Areas (www.gadm.org),OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-brb,https://data.fieldmaps.io/cod/extended/brb.gpkg.zip,https://data.fieldmaps.io/cod/extended/brb.shp.zip,https://data.fieldmaps.io/cod/extended/brb.xlsx,https://data.fieldmaps.io/cod/originals/brb.gpkg.zip,https://data.fieldmaps.io/cod/originals/brb.shp.zip,https://data.fieldmaps.io/cod/originals/brb.xlsx
btn,BTN,Bhutan,Bhutan,2,2019-02-01,2020-10-30,OCHA ROAP,OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-btn,https://data.fieldmaps.io/cod/extended/btn.gpkg.zip,https://data.fieldmaps.io/cod/extended/btn.shp.zip,https://data.fieldmaps.io/cod/extended/btn.xlsx,https://data.fieldmaps.io/cod/originals/btn.gpkg.zip,https://data.fieldmaps.io/cod/originals/btn.shp.zip,https://data.fieldmaps.io/cod/originals/btn.xlsx
bwa,BWA,Botswana,Botswana,3,2021-05-18,2021-05-18,UNFPA,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-bwa,https://data.fieldmaps.io/cod/extended/bwa.gpkg.zip,https://data.fieldmaps.io/cod/extended/bwa.shp.zip,https://data.fieldmaps.io/cod/extended/bwa.xlsx,https://data.fieldmaps.io/cod/originals/bwa.gpkg.zip,https://data.fieldmaps.io/cod/originals/bwa.shp.zip,https://data.fieldmaps.io/cod/originals/bwa.xlsx
caf,CAF,Central African Republic,Central African Republic,3,2014-08-02,2020-12-01, Agency for Technical Cooperation and Development(ACTED),OCHA Central African Republic,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-caf,https://data.fieldmaps.io/cod/extended/caf.gpkg.zip,https://data.fieldmaps.io/cod/extended/caf.shp.zip,https://data.fieldmaps.io/cod/extended/caf.xlsx,https://data.fieldmaps.io/cod/originals/caf.gpkg.zip,https://data.fieldmaps.io/cod/originals/caf.shp.zip,https://data.fieldmaps.io/cod/originals/caf.xlsx
chl,CHL,Chile,Chile,3,2021-08-03,2021-11-13,La Biblioteca del Congreso Nacional de Chile (BCN),OCHA Latin America and the Caribbean (ROLAC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-chl,https://data.fieldmaps.io/cod/extended/chl.gpkg.zip,https://data.fieldmaps.io/cod/extended/chl.shp.zip,https://data.fieldmaps.io/cod/extended/chl.xlsx,https://data.fieldmaps.io/cod/originals/chl.gpkg.zip,https://data.fieldmaps.io/cod/originals/chl.shp.zip,https://data.fieldmaps.io/cod/originals/chl.xlsx
chn,CHN,China,China,2,2020-09-10,2020-09-10,publicly available online sources,OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-chn,https://data.fieldmaps.io/cod/extended/chn.gpkg.zip,https://data.fieldmaps.io/cod/extended/chn.shp.zip,https://data.fieldmaps.io/cod/extended/chn.xlsx,https://data.fieldmaps.io/cod/originals/chn.gpkg.zip,https://data.fieldmaps.io/cod/originals/chn.shp.zip,https://data.fieldmaps.io/cod/originals/chn.xlsx
chn_1,CHN,China,China,2,2020-09-10,2020-09-10,publicly available online sources,OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-chn,https://data.fieldmaps.io/cod/extended/chn_1.gpkg.zip,https://data.fieldmaps.io/cod/extended/chn_1.shp.zip,https://data.fieldmaps.io/cod/extended/chn_1.xlsx,https://data.fieldmaps.io/cod/originals/chn.gpkg.zip,https://data.fieldmaps.io/cod/originals/chn.shp.zip,https://data.fieldmaps.io/cod/originals/chn.xlsx
civ,CIV,Côte d'Ivoire,Côte d'Ivoire,3,2018-08-06,2022-03-29,Comité National de Télédétection et d'Information Géographique (CNTIG),OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-civ,https://data.fieldmaps.io/cod/extended/civ.gpkg.zip,https://data.fieldmaps.io/cod/extended/civ.shp.zip,https://data.fieldmaps.io/cod/extended/civ.xlsx,https://data.fieldmaps.io/cod/originals/civ.gpkg.zip,https://data.fieldmaps.io/cod/originals/civ.shp.zip,https://data.fieldmaps.io/cod/originals/civ.xlsx
cmr,CMR,Cameroon,Cameroon,3,2018-12-17,2019-02-27,Institut National de Cartographie (INC) provided by OSM,OCHA Cameroon,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-cmr,https://data.fieldmaps.io/cod/extended/cmr.gpkg.zip,https://data.fieldmaps.io/cod/extended/cmr.shp.zip,https://data.fieldmaps.io/cod/extended/cmr.xlsx,https://data.fieldmaps.io/cod/originals/cmr.gpkg.zip,https://data.fieldmaps.io/cod/originals/cmr.shp.zip,https://data.fieldmaps.io/cod/originals/cmr.xlsx
cod,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,2,2019-09-12,2019-09-13,Referenciel Géographique Commun,OCHA Democratic Republic of the Congo (DRC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-cod,https://data.fieldmaps.io/cod/extended/cod.gpkg.zip,https://data.fieldmaps.io/cod/extended/cod.shp.zip,https://data.fieldmaps.io/cod/extended/cod.xlsx,https://data.fieldmaps.io/cod/originals/cod.gpkg.zip,https://data.fieldmaps.io/cod/originals/cod.shp.zip,https://data.fieldmaps.io/cod/originals/cod.xlsx
cog,COG,Congo,Congo,2,2017-07-06,2021-12-31, Global Administrative Unit Layers (GAUL),OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-cog,https://data.fieldmaps.io/cod/extended/cog.gpkg.zip,https://data.fieldmaps.io/cod/extended/cog.shp.zip,https://data.fieldmaps.io/cod/extended/cog.xlsx,https://data.fieldmaps.io/cod/originals/cog.gpkg.zip,https://data.fieldmaps.io/cod/originals/cog.shp.zip,https://data.fieldmaps.io/cod/originals/cog.xlsx
col,COL,Colombia,Colombia,2,2020-01-01,2021-02-11,Departamento Administrativo Nacional de Estadística (DANE),OCHA Latin America and the Caribbean (ROLAC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-col,https://data.fieldmaps.io/cod/extended/col.gpkg.zip,https://data.fieldmaps.io/cod/extended/col.shp.zip,https://data.fieldmaps.io/cod/extended/col.xlsx,https://data.fieldmaps.io/cod/originals/col.gpkg.zip,https://data.fieldmaps.io/cod/originals/col.shp.zip,https://data.fieldmaps.io/cod/originals/col.xlsx
com,COM,Comoros,Comoros,3,2018-12-28,2019-12-12,Comoros National Disaster Management Agency (COSEP-Centre des secours et de la protection civil),OCHA Regional Office for Southern and Eastern Africa (ROSEA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-com,https://data.fieldmaps.io/cod/extended/com.gpkg.zip,https://data.fieldmaps.io/cod/extended/com.shp.zip,https://data.fieldmaps.io/cod/extended/com.xlsx,https://data.fieldmaps.io/cod/originals/com.gpkg.zip,https://data.fieldmaps.io/cod/originals/com.shp.zip,https://data.fieldmaps.io/cod/originals/com.xlsx
cpv,CPV,Cabo Verde,Cabo Verde,2,2017-12-27,2022-03-24,Second Administrative Level Boundaries (SALB) Project,OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-cpv,https://data.fieldmaps.io/cod/extended/cpv.gpkg.zip,https://data.fieldmaps.io/cod/extended/cpv.shp.zip,https://data.fieldmaps.io/cod/extended/cpv.xlsx,https://data.fieldmaps.io/cod/originals/cpv.gpkg.zip,https://data.fieldmaps.io/cod/originals/cpv.shp.zip,https://data.fieldmaps.io/cod/originals/cpv.xlsx
cri,CRI,Costa Rica,Costa Rica,3,2022-01-13,2022-02-09,Costa Rica National Statistics Office (NSO),OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-cri,https://data.fieldmaps.io/cod/extended/cri.gpkg.zip,https://data.fieldmaps.io/cod/extended/cri.shp.zip,https://data.fieldmaps.io/cod/extended/cri.xlsx,https://data.fieldmaps.io/cod/originals/cri.gpkg.zip,https://data.fieldmaps.io/cod/originals/cri.shp.zip,https://data.fieldmaps.io/cod/originals/cri.xlsx
cub,CUB,Cuba,Cuba,2,2017-09-07,2020-11-18,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-cub,https://data.fieldmaps.io/cod/extended/cub.gpkg.zip,https://data.fieldmaps.io/cod/extended/cub.shp.zip,https://data.fieldmaps.io/cod/extended/cub.xlsx,https://data.fieldmaps.io/cod/originals/cub.gpkg.zip,https://data.fieldmaps.io/cod/originals/cub.shp.zip,https://data.fieldmaps.io/cod/originals/cub.xlsx
cym,CYM,Cayman Islands (UK),Cayman Islands,1,2020-03-24,2020-03-24,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-cym,https://data.fieldmaps.io/cod/extended/cym.gpkg.zip,https://data.fieldmaps.io/cod/extended/cym.shp.zip,https://data.fieldmaps.io/cod/extended/cym.xlsx,https://data.fieldmaps.io/cod/originals/cym.gpkg.zip,https://data.fieldmaps.io/cod/originals/cym.shp.zip,https://data.fieldmaps.io/cod/originals/cym.xlsx
dji,DJI,Djibouti,Djibouti,2,2018-10-26,2020-02-20,FEWS,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-dji,https://data.fieldmaps.io/cod/extended/dji.gpkg.zip,https://data.fieldmaps.io/cod/extended/dji.shp.zip,https://data.fieldmaps.io/cod/extended/dji.xlsx,https://data.fieldmaps.io/cod/originals/dji.gpkg.zip,https://data.fieldmaps.io/cod/originals/dji.shp.zip,https://data.fieldmaps.io/cod/originals/dji.xlsx
dma,DMA,Dominica,Dominica,1,2017-09-07,2021-12-02,(Source to be clarified.),OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-dma,https://data.fieldmaps.io/cod/extended/dma.gpkg.zip,https://data.fieldmaps.io/cod/extended/dma.shp.zip,https://data.fieldmaps.io/cod/extended/dma.xlsx,https://data.fieldmaps.io/cod/originals/dma.gpkg.zip,https://data.fieldmaps.io/cod/originals/dma.shp.zip,https://data.fieldmaps.io/cod/originals/dma.xlsx
dom,DOM,Dominican Republic,Dominican Republic,4,2017-09-06,2021-07-01,Oficina Nacional de Estadística,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-dom,https://data.fieldmaps.io/cod/extended/dom.gpkg.zip,https://data.fieldmaps.io/cod/extended/dom.shp.zip,https://data.fieldmaps.io/cod/extended/dom.xlsx,https://data.fieldmaps.io/cod/originals/dom.gpkg.zip,https://data.fieldmaps.io/cod/originals/dom.shp.zip,https://data.fieldmaps.io/cod/originals/dom.xlsx
dza,DZA,Algeria,Algeria,2,2020-04-28,2021-01-26,UNHCR (from GAUL),OCHA Middle East and North Africa (ROMENA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-dza,https://data.fieldmaps.io/cod/extended/dza.gpkg.zip,https://data.fieldmaps.io/cod/extended/dza.shp.zip,https://data.fieldmaps.io/cod/extended/dza.xlsx,https://data.fieldmaps.io/cod/originals/dza.gpkg.zip,https://data.fieldmaps.io/cod/originals/dza.shp.zip,https://data.fieldmaps.io/cod/originals/dza.xlsx
ecu,ECU,Ecuador,Ecuador,3,2018-12-17,2019-07-31,INEC - Instituto Nacional de Estadística y Censos,OCHA Latin America and the Caribbean (ROLAC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-ecu,https://data.fieldmaps.io/cod/extended/ecu.gpkg.zip,https://data.fieldmaps.io/cod/extended/ecu.shp.zip,https://data.fieldmaps.io/cod/extended/ecu.xlsx,https://data.fieldmaps.io/cod/originals/ecu.gpkg.zip,https://data.fieldmaps.io/cod/originals/ecu.shp.zip,https://data.fieldmaps.io/cod/originals/ecu.xlsx
egy,EGY,Egypt,Egypt,2,2017-08-14,2020-12-01,Central Agency for Public Mobilization and Statistics (CAPMAS),OCHA Middle East and North Africa (ROMENA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-egy,https://data.fieldmaps.io/cod/extended/egy.gpkg.zip,https://data.fieldmaps.io/cod/extended/egy.shp.zip,https://data.fieldmaps.io/cod/extended/egy.xlsx,https://data.fieldmaps.io/cod/originals/egy.gpkg.zip,https://data.fieldmaps.io/cod/originals/egy.shp.zip,https://data.fieldmaps.io/cod/originals/egy.xlsx
eri,ERI,Eritrea,Eritrea,2,2020-04-29,2020-04-29,OCHA ROSEA,OCHA Regional Office for Southern and Eastern Africa (ROSEA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-eri,https://data.fieldmaps.io/cod/extended/eri.gpkg.zip,https://data.fieldmaps.io/cod/extended/eri.shp.zip,https://data.fieldmaps.io/cod/extended/eri.xlsx,https://data.fieldmaps.io/cod/originals/eri.gpkg.zip,https://data.fieldmaps.io/cod/originals/eri.shp.zip,https://data.fieldmaps.io/cod/originals/eri.xlsx
esh,ESH,Western Sahara,Western Sahara,1,2021-04-08,2021-04-08,www.gadm.org,OCHA Middle East and North Africa (ROMENA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-esh,https://data.fieldmaps.io/cod/extended/esh.gpkg.zip,https://data.fieldmaps.io/cod/extended/esh.shp.zip,https://data.fieldmaps.io/cod/extended/esh.xlsx,https://data.fieldmaps.io/cod/originals/esh.gpkg.zip,https://data.fieldmaps.io/cod/originals/esh.shp.zip,https://data.fieldmaps.io/cod/originals/esh.xlsx
eth,ETH,Ethiopia,Ethiopia,3,2020-10-13,2021-12-16,CSA (Central Statistics Agency) + Regional Bureau of Finance and Economic Development (BoFED),OCHA Ethiopia,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-eth,https://data.fieldmaps.io/cod/extended/eth.gpkg.zip,https://data.fieldmaps.io/cod/extended/eth.shp.zip,https://data.fieldmaps.io/cod/extended/eth.xlsx,https://data.fieldmaps.io/cod/originals/eth.gpkg.zip,https://data.fieldmaps.io/cod/originals/eth.shp.zip,https://data.fieldmaps.io/cod/originals/eth.xlsx
fji,FJI,Fiji,Fiji,3,2018-01-15,2021-09-24,"POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fji,https://data.fieldmaps.io/cod/extended/fji.gpkg.zip,https://data.fieldmaps.io/cod/extended/fji.shp.zip,https://data.fieldmaps.io/cod/extended/fji.xlsx,https://data.fieldmaps.io/cod/originals/fji.gpkg.zip,https://data.fieldmaps.io/cod/originals/fji.shp.zip,https://data.fieldmaps.io/cod/originals/fji.xlsx
fsm,FSM,Micronesia (Federated States of),Micronesia (Federated States of),2,2019-06-17,2019-06-17,"Federated States of Micronesia Division of Statistics,  2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",OCHA Office of the Pacific Islands,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-fsm,https://data.fieldmaps.io/cod/extended/fsm.gpkg.zip,https://data.fieldmaps.io/cod/extended/fsm.shp.zip,https://data.fieldmaps.io/cod/extended/fsm.xlsx,https://data.fieldmaps.io/cod/originals/fsm.gpkg.zip,https://data.fieldmaps.io/cod/originals/fsm.shp.zip,https://data.fieldmaps.io/cod/originals/fsm.xlsx
gab,GAB,Gabon,Gabon,2,2015-02-17,2021-12-31,Second Administrative Level Boundaries (SALB),OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-gab,https://data.fieldmaps.io/cod/extended/gab.gpkg.zip,https://data.fieldmaps.io/cod/extended/gab.shp.zip,https://data.fieldmaps.io/cod/extended/gab.xlsx,https://data.fieldmaps.io/cod/originals/gab.gpkg.zip,https://data.fieldmaps.io/cod/originals/gab.shp.zip,https://data.fieldmaps.io/cod/originals/gab.xlsx
geo,GEO,Georgia,Georgia,1,2019-08-28,2020-05-20,National Statistics Office of Georgia [Administraciuli erTeulebi] ,OCHA ROCCA (Closed),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-geo,https://data.fieldmaps.io/cod/extended/geo.gpkg.zip,https://data.fieldmaps.io/cod/extended/geo.shp.zip,https://data.fieldmaps.io/cod/extended/geo.xlsx,https://data.fieldmaps.io/cod/originals/geo.gpkg.zip,https://data.fieldmaps.io/cod/originals/geo.shp.zip,https://data.fieldmaps.io/cod/originals/geo.xlsx
