Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Numerordinatio,//Cōdex annotātiōnibus internālibus//,Regex,//opus papȳrō ex 1603//,Wikidata QID,Multiple languages,"Multiple languages, meta",Trivia,Trivia,"IRI to book, if any","IRI to book, if any, meta",Latinitatis Vivae,"Latinitatis Vivae, meta",Lingua Arabica,Lingua Arabica (meta),Lingua Russica (Abecedarium Cyrillicum),Lingua Russica (Abecedarium Cyrillicum); meta,Lingua Bengali ,Lingua Bengali ; meta,Cōdex factō,Cōdex factō; meta
44,50,50,1603:44,,,,Q495304,Forēnsis scientiae,https://www.wikidata.org/wiki/Q495304,"[42] Antistius ex Caesar post mortī, circa 42-03-15 BC",,,,,,,,,,,,,
44_1,70,70,1603:44:1,,,21,Q99312209,//dictiōnāria de post mortis condici//,,,,,,,,,,,,,,,
44_86,20,20,1603:44:86,,,22,Q132781,//Dictiōnāria basibus dē tortūrīs//,[86] Foundation of Physicians for Human Rights 1986,,,,,,,,,,,,,,
44_101,20,20,1603:44:101,publicum-30|victionarium_q-50,,23,,/Dictiōnāria basibus dē sceleribus contrā persōnam/,,,,,,,,,,,,,,,
44_111,20,20,1603:44:111,publicum-30|victionarium_q-50,,24,,/Dictiōnāria basibus dē sceleribus contrā ūnam commūnitātem ab rēctōribus/,,,,,,,,,,,,,,,
44_142,70,70,1603:44:142,,,25,,//dictiōnāria de vulnera ab arma ignifera//,,[142] 魏伯陽 ,,,,,,,,,,,,,
45,20,20,1603:45,,,,,Normās interimperia,,[1945-10-24] Fundatio de Nationes Unitae,,,,(Interimperia) Locus cōdicī,,,,,,,,,
45_1,20,20,1603:45:1,emphasis-50|publicum-70|victionarium_q-50,,26,,//dictiōnāria de hūmānitātēs interimperia//,TODO needs review on latin term; https://en.wiktionary.org/wiki/humanitas#Latin,,,,,,,,,,,,,,
45_16,20,20,1603:45:16,,,,Q7200235,(Interimperia) Locus cōdicī,https://www.wikidata.org/wiki/Q7200235,[16] P,,https://en.wikipedia.org/wiki/Common_Operational_Datasets#P-codes,,,,,,,,,,,
45_16_?,20,20,1603:45:16:?,,\1=[1603:45:49],,,,,,,,,,,,,,,,,,
45_16_?_0,20,20,1603:45:16:?:0,,\1=[1603:45:49],,,//imperium territōrium//,,,,,,//imperium territōrium//,,,,,,,,,
45_16_?_1,20,20,1603:45:16:?:1,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 1//,,,,,,//Infraimperium territōria ōrdō 1//,,,,,,,,,
45_16_?_2,20,20,1603:45:16:?:2,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 2//,,,,,,//Infraimperium territōria ōrdō 2//,,,,,,,,,
45_16_?_3,20,20,1603:45:16:?:3,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 3//,,,,,,//Infraimperium territōria ōrdō 3//,,,,,,,,,
45_16_?_4,20,20,1603:45:16:?:4,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 4//,,,,,,//Infraimperium territōria ōrdō 4//,,,,,,,,,
45_16_?_5,20,20,1603:45:16:?:5,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 5//,,,,,,//Infraimperium territōria ōrdō 5//,,,,,,,,,
45_16_?_6,20,20,1603:45:16:?:6,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 6//,,,,,,//Infraimperium territōria ōrdō 6//,,,,,,,,,
45_16_?_21_?,20,20,1603:45:16:?:21:?,,\1=[1603:45:49] \2=[1603:45:16:916] ,,,(Interimperia) Locus cōdicī; exāctō (A1...A6),,[21] (0 + 1 + 2 + 3 + 4 + 5 + 6),,,,(Interimperia) Locus cōdicī; exāctō (A1...A6),,,,,,,,,
45_16_900,20,20,1603:45:16:900,,,,,[private use] Entire world public P-Codes Adm 0 (>110),,,,,,,,,,,,,,,
45_16_901,20,20,1603:45:16:901,,,,,[private use] Entire world public P-Codes A.1 (>2500),,,,,,,,,,,,,,,
45_16_902,20,20,1603:45:16:902,,,,,[private use] Entire world public P-Codes A.2 (>33700),,,,,,,,,,,,,,,
45_16_903,20,20,1603:45:16:903,,,,,[private use] Entire world public P-Codes A.3 (>130500),,,,,,,,,,,,,,,
45_16_904,20,20,1603:45:16:904,,,,,[private use] Entire world public P-Codes A.4 (>265000),,,,,,,,,,,,,,,
45_16_905,20,20,1603:45:16:905,,,,,[private use] Entire world public P-Codes A.5,,,,,,,,,,,,,,,
45_16_906,20,20,1603:45:16:906,,,,,[private use] Entire world public P-Codes A.6,,,,,,,,,,,,,,,
45_16_916,20,20,1603:45:16:916,,,,,[meta] UN OCHA P-Code *WITHOUT* ISO 3166-1 prefix,,,,,,,,,,,,,,,
45_16_921,20,20,1603:45:16:921,,,,,"[private use] Entire world public P-Codes A.0 + A1, +A.2 + A.3 + A.4 + A5 + A.6 (> 430000)",,[921] (0 + 1 + 2 + 3 + 4 + 5 + 6 + 900),,,,,,,,,,,,,
45_19,25,25,1603:45:19,publicum-30|victionarium_q-50,,27,,Dictiōnāria dē locī generibus,[19] L=12 + G=7 ... 19,,,,,,,,,,,,,,
45_31,20,20,1603:45:31,emphasis-50|publicum-70|victionarium_q-50,,28,,Dictiōnāria de calamitātibus,[31] 1931年江淮水灾,,,,,,,,,,,,,,
45_49,20,20,1603:45:49,,,,,//Imperia et regiōnēs territōria cōdicēs//,UN M49; Standard country or area codes for statistical use (M49),[49] UN M49,,https://unstats.un.org/unsd/publication/SeriesM/Series_M49_(1970)_en-fr.pdf,,//Imperia et regiōnēs territōria cōdicēs//,,,,,,,,,
45_95,20,20,1603:45:95,,,29,,//Dictiōnāria dē abūsīs interimperiīs contrā cīvēs ex auxiliātiō//,[95] 1995 IRIN News,,,,,,,,,,,,,,
45_994,10,10,1603:45:994,,,,,//Dictiōnāria dē Development aid//,,,,,,,,,,,,,,,
47,50,50,1603:47,,,,Q1334738,Normās interindustriās,https://www.wikidata.org/wiki/Q1334738,[1947-02-23] ISO,https://en.wikipedia.org/wiki/International_standard ; https://en.wikipedia.org/wiki/World_Standards_Cooperation,,,Normās interindustriās,,/معايير دولية/,,,,,,,
63,50,50,1603:63,,,,,//Librārium hūmānitātī strictae//,[63] Motus internationalis Crucis Rubrae et Lunae Rubrae 1863; 1863 - 1800 = 63,,,,,,,,,,,,,,
63_1,50,50,1603:63:1,,,30,,//Dictiōnāria basibus dē auxiliīs hūmānitātibus strictīs//,,,,,,,,,,,,,,,
63_101,50,50,1603:63:101,emphasis-50|publicum-70|victionarium_q-50,,31,,//Dictiōnāria basibus dē rēbus vītālibus necessāriīs//,,,,,,,,,,,,,,,
64,20,20,1603:64,,,,,/Dictiōnāria de aquīs et aliae/,"[604] puquios: aquae ductus in Peruvia, UN m49 604; 604 - 540 = 64",,,,,,,,,,,,,,
64_41,20,20,1603:64:41,publicum-30|victionarium_q-50,,32,,//Dictiōnāria basibus dē perītiae per susurrōs vītālēs//,"[41] BioTechnoSwarm; B=2, T=20, S=19; 2 + 20 + 19 = 41",,,,,,,,,,,,,,
64_604,20,20,1603:64:604,publicum-30|victionarium_q-50,,33,Q2552246,//Dictiōnāria de aquīs et sānātiōnibus ex līmpidīs//,"[604] puquios: aquae ductus in Peruvia, UN m49 604",,,,,,,,,,,,,,
84,70,70,1603:84,,,,,Dentālis scientiae,,,,,,Dentālis scientiae,,طب الأسنان,,,,,,,
84_1,70,70,1603:84:1,publicum-30|victionarium_q-50,,34,Q10627714,/Dictiōnāria dentālium/,,,,,,/Dictiōnāria dentālium/,,,,,,,,,
87,9,9,1603:87,,,,,[Non-publicum] Unicode; suggested base namespace for related queries,,[1987] Unicode,,,,,,,,,,,,,
99,10,10,1603:99,,,,,/Temporary public numeric namespace/,,,,,,,,,,,,,,,
99_876,9,9,1603:99:876,,,35,,//Human sexuality (meta dictionaries)//,,,,,,,,,,,,,,,
99_876_1,9,9,1603:99:876:1,experimentum-90,,,,"//Glossary of biological sex, gender identify, grammatical gender and third-person pronouns//",Extract work from here https://github.com/HXL-CPLP/forum/issues/50,,,,,,,,,,,,,,
99_876_2,9,9,1603:99:876:2,experimentum-90,,,,//Dictionaries of human biological sex//,Extract work from here https://github.com/HXL-CPLP/forum/issues/50,,,,,,,,,,,,,,
99_876_3,9,9,1603:99:876:3,experimentum-90,,,,//Dictionaries of human gender identity//,,,,,,,,,,,,,,,
99_876_4,9,9,1603:99:876:4,experimentum-90,,,,//Dictionaries of grammatical gender//,,,,,,,,,,,,,,,
99_876_5,9,9,1603:99:876:5,experimentum-90,,,,//Dictionaries of third-person pronouns//,,,,,,,,,,,,,,,
99_987,10,10,1603:99:987,experimentum-90,,36,,//Personal name nomenclature//,https://en.wikipedia.org/wiki/Template:Personal_names,,,,,,,,,,,,,,
2600,2,2,1603:2600,deprecatum-50,,,,(DEPRECATED) Multiplication tables,,,,,,,,,,,,,,,
2600_1,2,2,1603:2600:1,deprecatum-50,,,,(DEPRECATED) Pre build tables with equivalence between numeric systems,,,,,,,,,,,,,,,
2600_2,2,2,1603:2600:2,deprecatum-50,,,,(DEPRECATED) Prebuild equivalence betewn number and base 60 custom table used on 1603,,,,,,,,,,,,,,,
999999,11,11,1603:999999,,,,,Data temporāriīs,,,,,,Data temporāriīs,,,,,,,,,
999999999,11,11,1603:999999999,,,,,/Non data files (used for software which generate data)/,,,,,,,,,,,,,,,
