#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_eng+is_latn,#adm3+name+i_fra+is_latn,#adm3+name+i_kin+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm3+name+alt1+i_kin+is_latn,#adm3+name+alt2+i_kin+is_latn,#adm2+name+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_kin+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_kin+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_kin+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:646:3:1304,1304,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1304,Kagarama,,,RW1304,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1305,1305,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1305,Kanombe,,,RW1305,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1306,1306,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1306,Kicukiro,,,RW1306,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1307,1307,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1307,Kigarama,,,RW1307,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1308,1308,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1308,Masaka,,,RW1308,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1309,1309,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1309,Niboye,,,RW1309,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1310,1310,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1310,Nyarugunga,,,RW1310,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2101,2101,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2101,Busasamana,,,RW2101,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2102,2102,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2102,Busoro,,,RW2102,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2103,2103,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2103,Cyabakamyi,,,RW2103,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2104,2104,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2104,Kibilizi,,,RW2104,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2105,2105,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2105,Kigoma,,,RW2105,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2106,2106,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2106,Mukingo,,,RW2106,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2107,2107,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2107,Muyira,,,RW2107,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2108,2108,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2108,Ntyazo,,,RW2108,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2109,2109,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2109,Nyagisozi,,,RW2109,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2110,2110,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,1603:45:16:646:3:2110,Rwabicuma,,,RW2110,,,,,,,,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2201,2201,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2201,Gikonko,,,RW2201,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2202,2202,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2202,Gishubi,,,RW2202,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2203,2203,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2203,Kansi,,,RW2203,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2204,2204,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2204,Kibirizi,,,RW2204,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2205,2205,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2205,Kigembe,,,RW2205,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2206,2206,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2206,Mamba,,,RW2206,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2207,2207,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2207,Muganza,,,RW2207,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2208,2208,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2208,Mugombwa,,,RW2208,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2209,2209,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2209,Mukindo,,,RW2209,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2210,2210,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2210,Musha,,,RW2210,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2211,2211,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2211,Ndora,,,RW2211,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2212,2212,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2212,Nyanza,,,RW2212,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2213,2213,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,1603:45:16:646:3:2213,Save,,,RW2213,,,,,,,,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2301,2301,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2301,Busanze,,,RW2301,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2302,2302,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2302,Cyahinda,,,RW2302,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2303,2303,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2303,Kibeho,,,RW2303,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2304,2304,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2304,Kivu,,,RW2304,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2305,2305,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2305,Mata,,,RW2305,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2306,2306,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2306,Muganza,,,RW2306,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2307,2307,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2307,Munini,,,RW2307,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2308,2308,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2308,Ngera,,,RW2308,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2309,2309,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2309,Ngoma,,,RW2309,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2310,2310,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2310,Nyabimata,,,RW2310,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2311,2311,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2311,Nyagisozi,,,RW2311,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2312,2312,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2312,Ruheru,,,RW2312,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2313,2313,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2313,Ruramba,,,RW2313,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2314,2314,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,1603:45:16:646:3:2314,Rusenge,,,RW2314,,,,,,,,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2401,2401,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:24,1603:45:16:646:3:2401,Gishamvu,,,RW2401,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2402,2402,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:24,1603:45:16:646:3:2402,Huye,,,RW2402,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2403,2403,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:24,1603:45:16:646:3:2403,Karama,,,RW2403,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:2404,2404,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:24,1603:45:16:646:3:2404,Kigoma,,,RW2404,,,,,,,,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
