qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,fra-Latn-r-pSKOS-pprefLabel-ps5002,hat-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,fra-Latn-r-pSKOS-pprefLabel-ps5001,hat-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,fra-Latn-r-pSKOS-pprefLabel-ps5000,hat-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:332:2:123,123,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:123,Grand-Goave,Grand-Goâve,,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:131,131,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:131,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:132,132,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:132,Thomazeau,Thomazeau,,HT0132,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:133,133,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:133,Ganthier,Ganthier,,HT0133,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:134,134,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:134,Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:135,135,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:135,Fonds-Verrettes,Fonds-Verrettes,,HT0135,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:141,141,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:141,Arcahaie,Arcahaie,,HT0141,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:142,142,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:142,Cabaret,Cabaret,,HT0142,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:151,151,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:151,Anse a Galets,Anse à Galets,,HT0151,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:152,152,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:152,Pointe a Raquette,Pointe à Raquette,,HT0152,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:211,211,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:211,Jacmel,Jacmel,,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:212,212,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:212,Marigot,Marigot,,HT0212,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:213,213,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:213,Cayes-Jacmel,Cayes-Jacmel,,HT0213,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:214,214,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:214,La Vallee,La Vallée,,HT0214,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:221,221,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:221,Bainet,Bainet,,HT0221,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:222,222,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:222,Cotes de Fer,Côtes de Fer,,HT0222,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:231,231,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:231,Belle Anse,Belle Anse,,HT0231,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:232,232,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:232,Grand Gosier,Grand Gosier,,HT0232,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:233,233,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:233,Thiotte,Thiotte,,HT0233,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:234,234,1603:45:16:332:0,1603:45:16:332:1:2,1603:45:16:332:2:234,Anse-a-Pitre,Anse-à-Pître,,HT0234,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:311,311,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:311,Cap-Haitien,Cap-Haïtien,,HT0311,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:312,312,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:312,Quartier Morin,Quartier Morin,,HT0312,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:313,313,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:313,Limonade,Limonade,,HT0313,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:321,321,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:321,Acul du Nord,Acul du Nord,,HT0321,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:322,322,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:322,Plaine du Nord,Plaine du Nord,,HT0322,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:323,323,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:323,Milot,Milot,,HT0323,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:331,331,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:331,Grande Riviere Du Nord,Grande Riviere Du Nord,,HT0331,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:332,332,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:332,Bahon,Bahon,,HT0332,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:341,341,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:341,Saint-Raphael,Saint-Raphaël,,HT0341,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:342,342,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:342,Dondon,Dondon,,HT0342,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:343,343,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:343,Ranquitte,Ranquitte,,HT0343,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:344,344,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:344,Pignon,Pignon,,HT0344,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:345,345,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:345,La Victoire,La Victoire,,HT0345,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:351,351,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:351,Borgne,Borgne,,HT0351,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:352,352,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:352,Port-Margot,Port-Margot,,HT0352,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:361,361,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:361,Limbe,Limbé,,HT0361,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:362,362,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:362,Bas Limbe,Bas Limbé,,HT0362,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:371,371,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:371,Plaisance,Plaisance,,HT0371,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:372,372,1603:45:16:332:0,1603:45:16:332:1:3,1603:45:16:332:2:372,Pilate,Pilate,,HT0372,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:411,411,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:411,Fort-Liberte,Fort-Liberté,,HT0411,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:412,412,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:412,Ferrier,Ferrier,,HT0412,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:413,413,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:413,Perches,Perches,,HT0413,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:421,421,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:421,Ouanaminthe,Ouanaminthe,,HT0421,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:422,422,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:422,Capotille,Capotille,,HT0422,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:423,423,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:423,Mont-Organise,Mont-Organisé,,HT0423,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:431,431,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:431,Trou du Nord,Trou du Nord,,HT0431,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:432,432,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:432,Sainte Suzanne,Sainte Suzanne,,HT0432,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:433,433,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:433,Terrier Rouge,Terrier Rouge,,HT0433,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:434,434,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:434,Caracol,Caracol,,HT0434,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:441,441,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:441,Vallieres,Vallières,,HT0441,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:442,442,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:442,Carice,Carice,,HT0442,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:443,443,1603:45:16:332:0,1603:45:16:332:1:4,1603:45:16:332:2:443,Mombin Crochu,Mombin Crochu,,HT0443,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:511,511,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:511,Gonaives,Gonaïves,,HT0511,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:512,512,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:512,Ennery,Ennery,,HT0512,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:513,513,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:513,L'Estere,L'Estère,,HT0513,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:521,521,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:521,Gros Morne,Gros Morne,,HT0521,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:522,522,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:522,Terre Neuve,Terre Neuve,,HT0522,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:523,523,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:523,Anse Rouge,Anse Rouge,,HT0523,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:531,531,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:531,Saint-Marc,Saint-Marc,,HT0531,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:532,532,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:532,Verrettes,Verrettes,,HT0532,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:533,533,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:533,La Chapelle,La Chapelle,,HT0533,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:541,541,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:541,Dessalines,Dessalines,,HT0541,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:542,542,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:542,Petite Riviere de l'Artibonite,Petite Rivière de l'Artibonite,,HT0542,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:543,543,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:543,Grande Saline,Grande Saline,,HT0543,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:544,544,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:544,Desdunes,Desdunes,,HT0544,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:551,551,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:551,Saint-Michel de l'Attalaye,Saint-Michel de l'Attalaye,,HT0551,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:552,552,1603:45:16:332:0,1603:45:16:332:1:5,1603:45:16:332:2:552,Marmelade,Marmelade,,HT0552,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:611,611,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:611,Hinche,Hinche,,HT0611,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:612,612,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:612,Maissade,Maïssade,,HT0612,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:613,613,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:613,Thomonde,Thomonde,,HT0613,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:614,614,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:614,Cerca Carvajal,Cerca Carvajal,,HT0614,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:621,621,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:621,Mirebalais,Mirebalais,,HT0621,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:622,622,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:622,Saut d'Eau,Saut d'Eau,,HT0622,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:623,623,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:623,Boucan Carre,Boucan Carré,,HT0623,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:631,631,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:631,Lascahobas,Lascahobas,,HT0631,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:632,632,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:632,Belladere,Belladère,,HT0632,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:633,633,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:633,Savanette,Savanette,,HT0633,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:641,641,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:641,Cerca La Source,Cerca La Source,,HT0641,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:642,642,1603:45:16:332:0,1603:45:16:332:1:6,1603:45:16:332:2:642,Thomassique,Thomassique,,HT0642,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:711,711,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:711,Les Cayes,Les Cayes,,HT0711,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:712,712,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:712,Torbeck,Torbeck,,HT0712,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:713,713,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:713,Chantal,Chantal,,HT0713,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:714,714,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:714,Camp-Perrin,Camp-Perrin,,HT0714,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:715,715,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:715,Maniche,Maniche,,HT0715,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:716,716,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:716,Ile a Vache,Île à Vache,,HT0716,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:721,721,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:721,Port-Salut,Port-Salut,,HT0721,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:722,722,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:722,Saint Jean du Sud,Saint Jean du Sud,,HT0722,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:723,723,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:723,Arniquet,Arniquet,,HT0723,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:731,731,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:731,Aquin,Aquin,,HT0731,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:732,732,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:732,Saint Louis du Sud,Saint Louis du Sud,,HT0732,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:733,733,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:733,Cavaillon,Cavaillon,,HT0733,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:741,741,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:741,Coteaux,Côteaux,,HT0741,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:742,742,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:742,Port-a-Piment,Port-à-Piment,,HT0742,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:743,743,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:743,Roche a Bateau,Roche à Bâteau,,HT0743,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
