qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:12:1:20,20,1603:45:16:12:0,1603:45:16:12:1:20,Ghardaia,غرداية,DZ020,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:21,21,1603:45:16:12:0,1603:45:16:12:1:21,Guelma,قالمة,DZ021,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:22,22,1603:45:16:12:0,1603:45:16:12:1:22,Illizi,اليزي,DZ022,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:23,23,1603:45:16:12:0,1603:45:16:12:1:23,Jijel,جيجل,DZ023,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:24,24,1603:45:16:12:0,1603:45:16:12:1:24,Khenchela,خنشلة,DZ024,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:25,25,1603:45:16:12:0,1603:45:16:12:1:25,Laghouat,الأغواط,DZ025,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:26,26,1603:45:16:12:0,1603:45:16:12:1:26,Mascara,معسكر,DZ026,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:27,27,1603:45:16:12:0,1603:45:16:12:1:27,Medea,المدية,DZ027,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:28,28,1603:45:16:12:0,1603:45:16:12:1:28,Mila,ميلة,DZ028,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:29,29,1603:45:16:12:0,1603:45:16:12:1:29,Mostaganem,مستغانم,DZ029,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:30,30,1603:45:16:12:0,1603:45:16:12:1:30,M'Sila,المسيلة,DZ030,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:31,31,1603:45:16:12:0,1603:45:16:12:1:31,Naama,النعامة,DZ031,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:32,32,1603:45:16:12:0,1603:45:16:12:1:32,Oran,وهران,DZ032,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:33,33,1603:45:16:12:0,1603:45:16:12:1:33,Ouargla,ورقلة,DZ033,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:34,34,1603:45:16:12:0,1603:45:16:12:1:34,Oum El Bouaghi,أم البواقي,DZ034,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:35,35,1603:45:16:12:0,1603:45:16:12:1:35,Relizane,غليزان,DZ035,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:36,36,1603:45:16:12:0,1603:45:16:12:1:36,Saida,سعيدة,DZ036,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:37,37,1603:45:16:12:0,1603:45:16:12:1:37,Setif,سطيف,DZ037,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:38,38,1603:45:16:12:0,1603:45:16:12:1:38,Sidi Bel Abbes,سيدي بلعباس,DZ038,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:39,39,1603:45:16:12:0,1603:45:16:12:1:39,Skikda,سكيكدة,DZ039,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:40,40,1603:45:16:12:0,1603:45:16:12:1:40,Souk-Ahras,سوق أهراس,DZ040,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:41,41,1603:45:16:12:0,1603:45:16:12:1:41,Tamanrasset,تمنراست,DZ041,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:42,42,1603:45:16:12:0,1603:45:16:12:1:42,Tebessa,تبسة,DZ042,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:43,43,1603:45:16:12:0,1603:45:16:12:1:43,Tiaret,تيارت,DZ043,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:44,44,1603:45:16:12:0,1603:45:16:12:1:44,Tindouf,تندوف,DZ044,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:45,45,1603:45:16:12:0,1603:45:16:12:1:45,Tipaza,تيبازة,DZ045,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:46,46,1603:45:16:12:0,1603:45:16:12:1:46,Tissemsilt,تسمسيلت,DZ046,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:47,47,1603:45:16:12:0,1603:45:16:12:1:47,Tizi Ouzou,تيزي وزو,DZ047,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:48,48,1603:45:16:12:0,1603:45:16:12:1:48,Tlemcen,تلمسان,DZ048,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
