Codicem,Unique identifier (Latin script),Linguae multiplīs (Scrīptum incognitō),Lingua Lusitana (Abecedarium Latinum),"Wikidata QID, meta",Cōdex factō,Cōdex factō; meta,h,i,j,k,l,m,n,o
1_4,,/dicionários internacionalizáveis/@por-Latn,"Nossa prática lexicográfica usa como chaveamento conceito abstrato (sentido imediatamente perceptível: uso de números para organizar ideias). Isso otimiza criação por padrão de simultaneamente dicionários multilíngues, e/ou dicionários de nomenclaturas científicas e/ou dicionários de códigos interlinguais (sentido: identificadores controlados por entidades externas) e/ou dicionários com anexos (exemplos: atlas de anatomia e atlas de ciência forense). Mesmo usos mais simples, como conversão de informações em outras mídias (como livros, exemplos de formulários de dados, sugestões de especialistas da área) feitas em uma língua (tipicamente a que tem mais especialistas ajudando) para formato de arquivos que usamos está otimizada para internacionalização (sentido: facilidade para ser traduzida/localizada em outra regiões do mundo).",,,,,,,,,,,
1_5,,/dicionários especializados/@por-Latn,"O resultado de um dicionário típico que que ficamos é mais próximo do que pessoa leiga esperaria de uma tabela de códigos de uma ISO (poucos conceitos; porém potencialmente altíssima quantidade de informações associadas, como traduções de voluntários) do que um dicionário tradicional monolingual ou bilingual (milhares de termos; muito complexo associar mais que duas línguas). Extrair glossários (monolingual e linguais) ou código de troca de dados (como o que seria armazenado em banco de dados) e a respectiva legenda na língua natural para uso em formulários de troca de dados são exemplos de uso. Até mesmo um dicionário com média completude (até 100 línguas) que somos capazes de compilar contém muito mais informações do que ferramentas que desenvolvedor médio da áreas de tecnologia conseguiriam usar, o que explica nossa intenção de cooperar também com intermediários.",,,,,,,,,,,
5,,/foco/@por-Latn,,,,,,,,,,,,
5_1,,,"Nosso foco são conceitos em que ao menos o grupo de dicionários que os contém haveria pelo menos em teoria uma demanda para troca de dados internacional, e a compilação lexicográfica, mesmo antes de chamada pública, tem chance de atrair colaboração de voluntários de todo mundo caso seja viável estarem minimamente prontos.",,,,,,,,,,,
5_1_1,,esse quam vidērī,Cada grupo de dicionários não precisa ter _nome chamativo_ ou perder tempo (que deveria ser empregado preparando os conceitos e explicações para desambiguá-lo de outros) tentando provar sua necessidade para quem já não é especialista ou trabalha diretamente com tais trocas de dados.,,,,,,,,,,,
10,,/organização de conceitos/@por-Latn,Da organização de conceitos,,,,,,,,,,,
10_1,,numerordĭnātĭo,"Numerordĭnātĭo (latim contemporâneo; tradução literal: ordenamento/organização numérica) é a ação de aplicar taxonomia (sentido: método de organizar ideias) usando números. Nossa implementação é uma alternativa ao uso de latim em nomenclatura científica: permite organizar nossa biblioteca de grupos de dicionários e, opcionalmente, subdivisões adicionais em cada dicionário de forma ágil. Isso minimiza o estresse de dar nome às coisas antes de ficar claro o que são, enquanto é facilmente conversível outros sistemas numéricos mesmo que colaboradores ao redor do mundo não entendem sistemas de escrita das informações iniciais.",,,,,,,,,,,
10_1_1,,,"Na lógica numerordĭnātĭo, conceitos dentro de um mesmo agrupamento (isto é, tem exatamente os mesmos ancestrais em comum) obrigatoriamente devem ter alguma razão lógica para estarem juntos baseada no que era conhecido no momento dessa decisão. Tal escolha não pode ser arbitrária. Porém o número de descendentes e quantos níveis de descendentes não é algo que precisa ser perfeitamente distribuído.",,,,,,,,,,,
10_1_2,,,"Na lógica numerordĭnātĭo, por padrão deve-se assumir que os números escolhidos para conceitos dos mesmos ancestrais (isto é, conceitos irmãos) não são relevantes para ordem de importância entre os seus pares. Por exemplo: identificadores 9, 90 e 900, mesmo que tipicamente ferramentas mostrem um ordenamento (algo que aconteceria em um dicionário chaveado por palavras) não deve assumir que 900 é _melhor_ que 9, nem que 9 é mais antigo que 900. Pessoa responsável de catalogar pode documentar para si e para futuros responsáveis como foi feita escolhas anteriores e até sugestões de como distribuir novos números, porém, semelhante à abordagem em nomenclatura científica, é algo que pouco importa para usuários finais.",,,,,,,,,,,
99,,/Informações triviais/@por-Latn,,,,,,,,,,,,
99_1,,,O padrão é usar plural de dicionário para cada agrupamento porque cada agrupamento pode conter outros dicionários. Uma forma em português de usar singular é chamar de _o grupo de dicionário_.,,,,,,,,,,,
99_2,,,"/Cōdex/@lat-Latn, em tradução literal _livro_, é singular. Porém essa abordagem é usada para formatos textuais, _impressos_, que além do grupo de dicionários em foco, também usa outros dicionários para se explicar.",,,,,,,,,,,
