,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#item+conceptum+codicem,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zzzz,#item+rem+i_zho+is_zzzz,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zzzz,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zzzz,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zzzz,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
Q22728,حليب الثدي,Կրծքի կաթ,বুকের দুধ,женское молоко,,,,모유,,חלב אם,,,తల్లిపాలు,นมจากเต้านม,,母乳,leite materno,human breast milk,lait maternel humain,moedermelk,Muttermilch,leche materna,latte materno,Bainne cíche,bröstmjölk,,,mleko matki,äidinmaito,Lapte matern,Sữa mẹ,llet materna,грудне молоко,Кърма,Materino mleko,gatas han iroy,morsmelk,mateřské mléko,modermælk,母乳,morsmjølk,മുലപ്പാൽ,Air susu ibu,شیر مادر,Anyatej,Ama-esne,Llaeth y fron,Leite humano,,homa lakto,susu ibu,rinnapiim,,Anne sütü,Tittmelk,,,,,,Spënn,,,,,,,,,,,,,,,,,,,,,,,,,,,母乳,мајчино млеко,ماں کا دودھ,,Motinos pienas,,,,,,,Banyu susu ibu,Μητρικό γάλα,Cai Susu Indung,,,,,жаночае малако,,,,,,,,,,,,,,,
Q41861,ارتفاع ضغط الدم,գերճնշում,উচ্চ রক্তচাপ,артериальная гипертензия,उच्च रक्तचाप,,ಅಧಿಕ ರಕ್ತದೊತ್ತಡ,고혈압,,יתר לחץ דם,Hypertensio arterialis,உயர் இரத்த அழுத்தம்,అధిక రక్తపోటు,ความดันโลหิตสูง,,高血壓,hipertensão arterial,arterial hypertension,hypertension artérielle,Hypertensie,arterielle Hypertonie,hipertensión arterial,ipertensione,Hipirtheannas,högt blodtryck,Alta presyon,Hipertensioni,nadciśnienie tętnicze,kohonnut verenpaine,Hipertensiune arterială,cao huyết áp,hipertensió arterial,артеріальна гіпертензія,Артериална хипертония,hipertenzija,Altapresyon,Arteriell hypertensjon,arteriální hypertenze,Hypertension,動脈性高血圧,hypertensjon,രക്താതിമർദ്ദം,Tekanan darah tinggi,زیادی فشار خون,magas vérnyomás,hipertentsio,gordensiwn,Hipertensión arterial,arteriálná hypertenzia,arteria hipertensio,Darah tinggi,Hüpertensioon,Hipertenzija,Yüksek tansiyon,,,,,,Hipertensie,,,Bluadhochdruck,,高血壓,,,,Háþrýstingur,,,,,,,,,,,,,,,,,,,高血压,хипертензија,فرط تناؤ,,Hipertenzija,,Hipertenzija,Hipertensīvā sirds slimība,Hipertenzija,,,Blegudreg,Αρτηριακή υπέρταση,Hiperténsi,,,,,Артэрыяльная гіпертэнзія,,,,,,,,उच्च रक्तदाब,,,,,,,
Q42982,حساسية,ալերգիա,অতিপ্রতিক্রিয়া,аллергия,एलर्जी,,ಅಲರ್ಜಿ,알레르기,,אלרגיה,Allergia,ஒவ்வாமை,,ภูมิแพ้,,过敏,alergia,allergy,allergie,allergie,Allergie,alergia,allergia,Ailléirge,allergi,,,alergia,allergia,Alergie,dị ứng,al·lèrgia,алергія,Алергия,preobčutljivost tipa I,Alerhiya,allergi,alergie,allergi,アレルギー,allergi,അലർജി,alergi,آلرژی,allergia,Alergia,alergedd,Alerxia,Alergia,alergio,Alergi,allergia,alergija,alerji,,allergia,,,,Allergie,,,,Alerchia,,,,,Ofnæmi,Alergi,,Ałergia,,Allirgìa,,,,,,,,,,,,,,过敏,алергија,الرجی,,Alergija,,Alergija,Alerģija,Alergija,,آلرژی,Alèrgi,Αλλεργία,Alergi,,,,,алергія,Urnan,,,,,,,,,Allergia,,,,,
Q57055,باراسيتامول,Պարացետամոլ,প্যারাসিটামল,парацетамол,पेरासिटामोल,,ಪ್ಯಾರಾಸಿಟಮಾಲ್,아세트아미노펜,,פרצטמול,paracetamolum,பாராசித்தமோல்,పారాసిటమాల్,พาราเซตามอล,,对乙酰氨基酚,paracetamol,paracetamol,paracétamol,paracetamol,Paracetamol,paracetamol,paracetamolo,paraicéiteamól,paracetamol,,,paracetamol,parasetamoli,acetaminofen,paracetamol,paracetamol,парацетамол,Парацетамол,paracetamol,,paracetamol,paracetamol,paracetamol,パラセタモール,paracetamol,പാരസെറ്റമോൾ,parasetamol,استامینوفن,paracetamol,parazetamol,parasetamol,paracetamol,paracetamol,paracetamolo,asetaminofen,paratsetamool,paracetamol,parasetamol,,paracetamòl,,,,parasetamol,,paracetamol,,,乙醯胺酚,,,,parasetamól,,,,,,,,,,,,,,,,,,,对乙酰氨基酚,парацетамол,پیراسٹامول,,Paracetamolis,,paracetamol,paracetamols,paracetamol,,استامینوفن,parasétamol,παρακεταμόλη,parasetamol,,,,,,,,,,,,,,,,,i-paracetamol,,,
Q81938,الألم,ցավ,ব্যথা,боль,दर्द,,ನೋವು,고통,,כאב,Dolor,வலி,నొప్పి,ความเจ็บปวด,,疼痛,dor,pain,douleur,pijn,Schmerz,dolor,dolore,pian,smärta,,Dhimbja,ból,kipu,durere,đau,dolor,біль,Болка,bolečina,Ul-ol,smerte,bolest,smerte,疼痛,smerte,വേദന,Rasa sakit,درد,Fájdalom,Min,poen,dor,Bolesť,doloro,sakit,valu,bol,ağrı,Wehdaag,dolor,,Poan,الم,,,,,,,,,,Sársauki,,,dołore,,Dogghia,,,,,bol,,,,,,,,,痛,бол,,,Skausmas,,bol,sāpes,bol,,آغری(درد),,πόνος,,Pine,,,Лазам,боль,takma,,,,,,,वेदना,,,,,,,
Q82642,ضغط الدم,Արյան ճնշում,রক্তচাপ,кровяное давление,रक्तचाप,,ರಕ್ತದೊತ್ತಡ,혈압,,לחץ דם,Sanguinis pressio,குருதி அழுத்தம்,రక్తపోటు,ความดันเลือด,,血壓,pressão sangüínea,blood pressure,pression sanguine,bloeddruk,Blutdruck,presión sanguínea,pressione del sangue,Brú fola,blodtryck,Kasaysayan sa pagsukod sa presyon sa dugo,,ciśnienie tętnicze,verenpaine,tensiune sanguină,Huyết áp,pressió sanguínia,кров'яний тиск,Кръвно налягане,Krvni tlak,,blodtrykk,krevní tlak,blodtryk,血圧,blodtrykk,രക്തസമ്മർദ്ദം,tekanan darah,فشار خون,Vérnyomás,Odol-presio,pwysedd gwaed,,Krvný tlak,sangopremo,Tekanan darah,Vererõhk,Krvni tlak,kan basıncı,Blooddruck,,,,,Bloeddruk,,,,,,,,,Blóðþrýstingur,,,,,,,,,,,,,,,,,,,血压,крвни притисак,فشار خون,,Kraujospūdis,,Krvni pritisak,Asinsspiediens,Krvni pritisak,,,,Πίεση αίματος,,,,,,крывяны ціск,,,,,,,,रक्तदाब,,,,,,,
Q83364,النباتية,բուսակերություն,,вегетарианство,शाकाहार,,ಸಸ್ಯಾಹಾರ,채식주의,素食主義,צמחונות,vegetarismus,தாவர உணவு முறை,శాకాహార ఉద్యమం,ลัทธิมังสวิรัติ,,素食主義,vegetarianismo,vegetarianism,végétarisme,vegetarisme,Vegetarismus,vegetarianismo,vegetarianismo,An feoilséanadh,vegetarianism,,,wegetarianizm,kasvisruokavalio,Vegetarianism,Ăn chay,vegetarianisme,Вегетаріанство,Вегетарианство,Vegetarijanstvo,,vegetarianisme,vegetariánství,Vegetarisme,菜食主義,vegetarianisme,,Vegetarian,گیاهخواری,vegetarianizmus,barazkizaletasun,Llysieuaeth,vexetarianismo,Vegetariánstvo,vegetarismo,vegetarianisme,Taimetoitlus,Vegetarijanska prehrana,Vejetaryenlik,,Vegetarisme,,,,Vegetarisme,Vegetarissem,vegetarianism,,,素食主義,,,,Grænmetishyggja,,,,,,,Glasraicheachd,,,,,,,,,,,,素食主义,вегетаријанство,سبزی خوری,,Vegetarizmas,,Vegetarijanstvo,veģetārisms,vegetarijanstvo,,,Vegetarian,Χορτοφαγία,,Fegetarisme,,,,Вегетарыянства,,,,,,,,शाकाहारी,,,,,,,
Q105726,تبول,Միզագոյացում,,мочеиспускание,अपमूत्रण,,ಮೂತ್ರ ವಿಸರ್ಜನೆ,배뇨,溲溺,השתנה,,சிறுநீர்க் கழிப்பு,,การถ่ายปัสสาวะ,,排尿,micção,urination,miction,urineren,Miktion,micción,minzione,,urinering,,,Mikcja,Virtsaaminen,Micțiune,Tiểu tiện,micció,Сечовипускання,Уриниране,,,urinering,močení,,排尿,vasslating,,buang air kecil,ادرار کردن,vizelés,Gernu-egite,Piso,Micción,močenie,urinado,Kencing,Kusemine,Mokrenje,İşeme,Waterlaten,,,Troazhañ,,,,urination,Soicha,,排尿,,,,Þvaglát,,,,,,,,,,mokrenje,,,,,,,,,,мокрење,,屙尿,Šlapinimasis,,Mokrenje,,Mokrenje,,,Nguyuh,,,Pisje,,,,,,,,,,,,,,,,,,,
Q124407,سكري النوع الأول,1-ին տիպի շաքարային դիաբետ,টাইপ ১ ডায়াবেটিস,Сахарный диабет 1-го типа,टाईप १ मधुमेह मेलिटस,,ಟೈಪ್ ೧ ಮಧುಮೇಹದ ಮೆಲ್ಲಿಟಸ್,인슐린 의존형 당뇨병,,סוכרת מסוג 1,,,డయాబెటిస్ మెల్లిటస్ రకం 1,,प्रकार १ मधुमेह,1型糖尿病,diabetes mellitus tipo 1,type-1 diabetes,diabète de type 1,diabetes type 1,Typ-1-Diabetes,diabetes mellitus tipo 1,diabete mellito di tipo 1,,typ 1-diabetes,,Diabetes mellitus tip I,cukrzyca typu 1,ykköstyypin diabetes,,Bệnh tiểu đường loại 1,diabetis mellitus tipus 1,Цукровий діабет тип 1,,Sladkorna bolezen tipa 1,,,diabetes mellitus typ 1,type 1-diabetes mellitus,1型糖尿病,diabetes mellitus type 1,,Diabetes melitus tipe 1,دیابت نوع یک,,1. motako diabetes mellitus,y clefyd melys teip 1,,,unuatipa sukera diabeto,Diabetis melitus jenis 1,I tüüpi diabeet,,Tip 1 diabetes mellitus,,,,,,,,teep 1 diabetes mellitus,,,1型糖尿病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dijabetes melitus tip 1,,,,Σακχαρώδης διαβήτης τύπου 1,,,,,,,,,,,,,,,,,,,,,
Q126691,سكري حملي,Հղիության դիաբետ,গর্ভকালীন ডায়াবেটিস,Сахарный диабет беременных,गर्भकालीन मधुमेह,,ಗರ್ಭಧಾರಣೆಯ ಮಧುಮೇಹ,,,סוכרת הריונית,Diabetes mellitus in graviditate,கருத்தரிப்புக்கால நீரிழிவு நோய்,,เบาหวานระหว่างตั้งครรภ์,,妊娠糖尿病,diabetes gestacional,gestational diabetes,diabète gestationnel,Zwangerschapsdiabetes,Schwangerschaftsdiabetes,diabetes mellitus gestacional,diabete mellito gestazionale,,graviditetsdiabetes,,,Cukrzyca ciężarnych,,,Bệnh tiểu đường thai kỳ,diabetis mellitus gestacional,Гестаційний цукровий діабет,,Nosečnostna sladkorna bolezen,,,,,妊娠糖尿病,svangerskapsdiabetes,,Diabetes gestasional,دیابت بارداری,Terhességi cukorbetegség,,,,,graveda diabeto,gestational diabetes mellitus,,Gestacijski dijabetes,Gestasyonel diyabet,,,,,,,,,,,,,,,Meðgöngusykursýki,,,,,,,,,,,,,,,,,,,,Гестациони дијабетес,,,,,Gestacijski dijabetes,Gestācijas diabēts,,,,,σακχαρώδης διαβήτης κύησης,,,,,,,,,,,,,,,,,,,,,
Q131696,منشفة,Սրբիչ,,полотенце,,,ಟವಲ್,수건,巾,מגבת,,துண்டு,తువ్వాలు,,,毛巾,toalha,towel,serviette de bain,handdoek,Handtuch,toalla,asciugamano,,handduk,Towalya,,ręcznik,pyyhe,Prosop,Khăn,tovallola,Рушник,Хавлия,Brisača,,håndkle,ručník,håndklæde,タオル,,,Handuk,حوله,,Eskuoihal,,Toalla,Uterák,Mantuko,Tuala,Rätik,Ručnik,Havlu,Handdook,,,,,,,touel,Handduach,Tovalla,毛巾,,,,Handklæði,,,,,,,,,,peškir,,,,,,,,,毛巾,пешкир,تولیہ,,Rankšluostis,,,dvielis,,,,Andhuk,πετσέτα,Anduk,,,,,,,,,,,,,,,,,,,,
Q133981,إسعاف أولي,Առաջին օգնություն,প্রাথমিক চিকিৎসা,первая помощь,प्राथमिक चिकित्सा,,ಪ್ರಥಮ ಚಿಕಿತ್ಡೆ,응급처치,,עזרה ראשונה,Primum auxilium,முதலுதவி,ప్రధమచికిత్స,ปฐมพยาบาล,आकस्मिक चिकित्सा,急救,primeiros socorros,first aid,premiers secours,Eerste Hulp bij Ongevallen,Erste Hilfe,primeros auxilios,primo soccorso,Garchabhair,första hjälpen,,,pierwsza pomoc,Ensiapu,Primul ajutor,sơ cứu,primers auxilis,перша медична допомога,Първа помощ,Prva pomoč,,førstehjelp,první pomoc,førstehjælp,応急処置,førstehjelp,പ്രഥമശുശ്രൂഷ,Pertolongan Pertama,کمکهای اولیه,elsősegélynyújtás,Lehen laguntza,Cymorth cyntaf,,Prvá pomoc,sukuro,Pertolongan cemas,Esmaabi,Prva pomoć,İlk yardım,,,,,,noodhulp,Éischt Hëllef,,,,急救,,,,Skyndihjálp,,,primo socorso,,,,,,,Prva pomoć,,,,,,,,,急救,прва помоћ,ابتدائی طبی امداد,,Pirmoji pagalba,,Prva pomoć,pirmā palīdzība,,,,,πρώτες βοήθειες,,,,,,,,,,,,,,प्रथमोपचार,,Prime auxilio,,,,,
Q162297,نظافة,Հիգիենա,স্বাস্থ্যবিধি,гигиена,स्वास्थ्य विज्ञान,,ಆರೋಗ್ಯಶಾಸ್ತ್ರ,위생,,היגיינה,sanitatis cura,சுகாதாரம்,,สุขศาสตร์,,卫生学,higiene,hygiene,hygiène,hygiëne,Hygiene,higiene,igiene,,hygien,,Higjiena,higiena,hygienia,igienă,vệ sinh,higiene,гігієна,Хигиена,Higiena,,hygiene,hygiena,hygiejne,衛生,hygiene,ശുചിത്വം,Higienitas,بهداشت,higiénia,Higiene,Hylendid,Hixiene,hygiena,higieno,kebersihan,Hügieen,Higijena,hijyen,,,,,,higiëne,,hygiene,,,衛生學,,,Hygiene,Hreinlæti,,,,,,Igiene,,,,Higijena,,,,,,,,,卫生学,Хигијена,حفظان صحت,,Higiena,,Higijena,higiēna,Higiena,,,,υγειινή,,,,Aijiin,,гігіена,,,,,,,,,,Hygiene,,,,,
Q164509,قارت,,সর্বভূক প্রাণী,всеядное животное,सर्वाहारी,,,잡식성,,אוכל-כול,Omnivora,அனைத்துண்ணி,,สิ่งมีชีวิตกินทั้งพืชและสัตว์,,雜食動物,omnívoro,omnivore,omnivore,omnivoor,Allesfresser,omnívoro,onnivoro,uiliteach,allätare,,,wszystkożerca,kaikkiruokaisuus,omnivor,Động vật ăn tạp,omnívor,всеїдні,всеядни животни,vsejed,Omniboro,alteter,všežravec,omnivor,雑食動物,altetar,മിശ്രഭുക്ക്,omnivora,همهچیزخوار,mindenevő,orojale,hollysydd,omnívoro,všežravec,ĉiomanĝanto,maserba,omnivoor,svežderi,hepçil,,,,,,omnivoor,Allesfrësser,,,omnivoro,雜食動物,,,,alæta,,,,,,,,Omnivoor,Magneu did tot,omnivor,,,,,,,,,杂食动物,сваштојед,ہمہ خور,,,,omnivor,visēdāji,svežderi,,,omnivor,,Omnivora,Omnivoar,,,,,Aramma,,,,,,,,,omnivore,,,,,
Q165947,جوع,,ক্ষুধা,Голодание,भूख,,ಹಸಿವು,배고픔,,רעב,Fames,,ఆకలి,,,饥饿,fome,hunger,faim,honger,Welthunger,hambre,fame,ocras,hunger,,,głód,Nälkä,Foame,đói,gana,голод,глад,lakota,,sult,hlad,sult,飢え,svolt,വിശപ്പ്,kelaparan,گرسنگی,,Gose,,fame,Hlad,malsato,,nälg,Glad,Açlık,,Fam,,,جوع,Honger,,hunger,,,飢餓,,,,Hungur,,,,,Fami,,,,Fwin,Glad,,,,,,,,,饥饿,глад,بھوک,,Alkis,,Glad,izsalkums,Glad,,,,Πείνα,,,,,,Голад,,,,,,,,,,,,,,,
Q166019,نزف,արյունահոսություն,রক্তক্ষরণ,кровотечение,रक्तस्राव,,ರಕ್ತಸ್ರಾವ,출혈,,דימום,Haemorrhagia,குருதிப்பெருக்கு,రక్తస్రావం,เลือดออก,,出血,hemorragia,bleeding,hémorragie,versterkte bloedingsneiging,Blutung,hemorragia,emorragia,Rith fola,blödning,,,krwotok,verenvuoto,Hemoragie,xuất huyết,hemorràgia,кровотеча,Кръвоизлив,krvavitev,,blødning,krvácení,blødning,出血,bløding,,pendarahan,خونریزی,Vérzés,Odoljario,Gwaedu,Hemorraxia,,hemoragio,Pendarahan,,Krvarenje,kanama,,,,,,Bloeding,,,,,出血,,,,Blæðing,,,,,,,,,,krvarenje,,,,,,,,,出血,крварење,خون بہنا,,Kraujavimas,,Krvarenje,asiņošana,Krvarenje,,قاناخما,,Αιμορραγία,,,,Bliidin,,Крывацёк,,,,,,,,,,Hemorrhagia,,,,,
Q170518,حرق,Այրվածքներ,পোড়া,ожог,जलना,,,화상,,כווייה,,தீக்காயம்,,แผลไหม้,,烧伤,queimadura,burn,brûlure,brandwond,Verbrennung,quemadura,ustione,dó,brännskada,,djegia,oparzenie,palovamma,arsură,bỏng,cremada,опік,изгаряне,opeklina,,brannskade,popálenina,brandsår,熱傷,brannskade,പൊള്ളൽ,luka bakar,سوختگی,égési sérülés,erredura,llosgiad,queimadura,popálenina,brulvundo,lecur,Põletus,opeklina,yanık,,cremadura,,,,,,,,,燒傷,,,,,,,,,,,,,,opekotina,,,,,,,,,灼伤,опекотина,آتش زدگی,,nudegimas,,opekotina,apdegums,,,,,Έγκαυμα,,,,bon,,апёк,,,,,,,,,,,,,,,
Q173235,مسكن ألم,Ցավազրկող դեղամիջոցներ,,анальгетики,पीड़ाहारी,,,진통제,止痛藥,משכך כאבים,,வலிநீக்கி,,ยาระงับปวด,,镇痛药,analgésico,analgesic,antalgique,pijnstiller,Analgetikum,analgésico,analgesico,Pianmhúcháin,analgetika,,,analgetyk,analgeetti,analgezic,thuốc giảm đau,analgèsic,анальгетики,аналгетик,Analgetik,,analgetika,analgetikum,analgetikum,鎮痛剤,analgetikum,അനാൽജീസിയ,Analgesik,ضد درد,Fájdalomcsillapító,Analgesiko,Poenliniarydd,Analxésico,,kontraŭdolorilo,Analgesik,Valuvaigistid,analgetik,analjezik,,Analgesic,,,,analgetika,,,,,鎮痛藥,,,,,,,,,,,,,,Analgetik,,,,,,,,,解热镇痛药,аналгетик,مُسَـکِّن,,Analgetikai,,Analgetik,pretsāpju līdzeklis,analgetik,,آغری کسیجی,,Αναλγητικά,Analgesik,,,,,анальгетыкі,,,,,,,,,,,,,,,
Q181138,نباتية صرفة,վեգանություն,নিরামিষবাদ,веганство,वीगनवाद,,,비거니즘,,טבעונות,veganismus,நனிசைவம்,,วีแกน,,純素主義,veganismo,veganism,véganisme,veganisme,Veganismus,veganismo,veganismo,Veigeánachas,veganism,Beganismo,,weganizm,veganismi,Veganism,Chủ nghĩa thuần chay,veganisme,веганізм,Веганство,Veganstvo,,veganisme,veganství,Veganisme,ヴィーガニズム,,,veganisme,وگنیسم,veganizmus,Beganismo,Llyswr,Veganismo,Vegánstvo,veganismo,veganisme,veganlus,Veganstvo,veganizm,,,,,,Veganisme,Veganismus,veganism,,,純素主義,,,,,,,,,,,,Veganisjme,,Веганизам,,,,,,,,,维根主义,веганство,نبات خوری,,Veganizmas,,Veganstvo,vegānisms,,,,Veganisme,Αυστηρή χορτοφαγία,,,,,,веганства,,,,,,,,,,Veganismo,,,,,
Q184753,جرح,Վերք,,рана,घाव,,ಗಾಯ,부상,,פצע,Vulnus,புண்,,บาดแผล,,傷口,ferida,wound,plaie,wond,Wunde,herida,ferita,Créacht,sår,,,rana,haava,Plagă,Vết thương,ferida,рана,Рана,rana,,sår,rána,sår,創傷,sår,മുറിവ്,,زخم,Seb,Zauri,clwyf,Ferida,Rana,vundo,Luka,haav,Rana,Yara,,Plaga,,,,,,wound,,Nafra,傷口,,,,,,,,,Chiaia,,,,,Rana,,,,,,,,,伤口,рана,,,Žaizda,,Rana,Brūce,Rana,,یارا,,Πληγή,Raheut,Ferwûning,,,,рана,,,,,,,,,,Vulnere,,,,,
Q188008,ضيق النفس,հևոց,শ্বাসকষ্ট,одышка,श्वास कष्ट,,ಕಟ್ಟುಸಿರು,호흡곤란,,קוצר נשימה,,,ఆయాసం,อาการหายใจลำบาก,,呼吸困难,dispneia,dyspnea,dyspnée,benauwdheid,Dyspnoe,disnea,dispnea,,dyspné,,Dispnea,duszność,hengenahdistus,dispnee,khó thở,dispnea,задишка,задух,dispneja,,dyspné,dušnost,Åndenød,呼吸困難,dyspné,,dispnea,تنگی نفس,légszomj,Arnasestu,dyspnoea,Dispnea,dyspnoe,dispneo,Sesak nafas,,,Dispne,,,,,,,,,,,呼吸困難,,,,Mæði,,,,,,,,,Tanfla,dispneja,,,,,,,,,呼吸困难,диспнеја,,,,,Dispneja,Aizdusa,,,,,δύσπνοια,,,,,,Дыхавіца,Buneggaf,,,,,,,,,,,,,,
Q188724,مضادات التهاب لاستيرويدية,Ոչ ստերոիդային հակաբորբոքային դեղամիջոցներ,,Нестероидные противовоспалительные препараты,ननस्टेरोइडल एन्टी इन्फ़्लामेटरी औषधि,,,비스테로이드 항염증제,,נוגדי דלקת שאינם סטרואידים,Antiinflammatorium nonsteroidale,அழற்சிக்கு எதிரான இயக்க ஊக்கிகள் இல்லாத மருந்துகள்,,ยาแก้อักเสบชนิดไม่ใช่สเตอรอยด์,,非甾体抗炎药,anti-inflamatório não esteroides,non-steroidal anti-inflammatory drug,anti-inflammatoire non stéroïdien,niet-steroïdale ontstekingsremmer,nichtsteroidales Antirheumatikum,antiinflamatorio no esteroideo,FANS,Druga Frith-athlastach Neamhstéaróideach,NSAID,,,niesteroidowy lek przeciwzapalny,tulehduskipulääke,Antiinflamatoare non-steroidiene,thuốc chống viêm không steroid,antiinflamatori no esteroidal,нестероїдні протизапальні засоби,НСПВС,Nesteroidna protivnetna učinkovina,,ikkesteroid antiinflammatorisk middel,nesteroidní antiflogistikum,NSAID,非ステロイド性抗炎症薬,ikkje-steroid antiinflammatorisk middel,,Obat anti-inflamasi nonsteroid,داروهای ضد التهاب غیر استروئیدی,nem-szteroid gyulladáscsökkentő gyógyszer,Antiinflamatorio ez esteroideo,cyffur gwrthlid ansteroidol,Antiinflamatorios non esteroideos,Nesteroidné antiflogistikum,nesteroida kontraŭinflama medikamento,Ubat antiradang bukan steroid,Mittesteroidsed põletikuvastased ravimid,nesteroidni protuupalni lijek,Non steroidal antienflamatuar ilaçlar,,,,,,,,,,,非類固醇消炎止痛藥,,,,,,,,,,,,,,Nesteroidni antiinflamatorni lek,,,,,,,,,,нестероидни антиинфламаторни лек,لااسٹیرودی مانع سوزش دوا,,,,Nesteroidni antiupalni lijekovi,,Nesteroidni antiupalni lijekovi,,,,Μη στεροειδή αντιφλεγμονώδη φάρμακα,,,,,,,,,,,,,,,,,,,,,
Q191768,لحم الخنزير,խոզի միս,শূকরের মাংস,свинина,सुअर का मांस,,,돼지고기,豚肉,בשר חזיר,Suilla,,,เนื้อหมู,,豬肉,carne de porco,pork meat,viande de porc,varkensvlees,Schweinefleisch,carne de cerdo,carne di maiale,muiceoil,fläskkött,,,wieprzowina,sianliha,carne de porc,thịt lợn,carn de porc,Свинина,Свинско месо,,Karne han baktin,svinekjøtt,vepřové maso,svinekød,豚肉,,പന്നിയിറച്ചി,Daging babi,گوشت خوک,sertéshús,Txerriki,,carne de porco,Bravčové mäso,porkaĵo,Daging babi,sealiha,,Domuz eti,,,,kig-moc'h,,Varkvleis,Schwéngefleesch,Pork,,,豬肉,,,,,,,carne de porseło,,,,,,,svinjetina,,,,,,,,,猪肉,свињетина,سور کا گوشت,,Kiauliena,,Svinjetina,cūkgaļa,Svinjetina,,,Daging babi,χοιρινό κρέας,,,,,,Свініна,,,,,,,,,,,,,,,
