#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikip7535,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:63:101:0:1603:1:7:2616:98,0_1603_1_7_2616_98,,,,,,,EticaAI
1603:63:101:1:2,1_2,,,Q474187,/thirst || craving for fluids/@eng-Latn,,,
1603:63:101:1:3,1_3,,,Q165947,"/hunger || state in which a person, for a sustained period, is unable to eat sufficient food to meet basic nutritional needs/@eng-Latn",,,
1603:63:101:1:4,1_4,,,Q105726,/urination || activity of emptying of the urinary bladder/@eng-Latn,,,
1603:63:101:1:5,1_5,,,Q12171,"/menstruation || cyclic, physiologic discharge through the vagina of blood and endometrial tissues from the nonpregnant uterus/@eng-Latn",,,
1603:63:101:1:6,1_6,,,Q204015,/defecation || expulsion of feces from the rectum/@eng-Latn,,,
1603:63:101:1:7,1_7,,,Q103191,/homeostasis || the state of steady internal conditions maintained by living things/@eng-Latn,,,
1603:63:101:1:8:1,1_8_1,,,Q242165,/hyperthermia || elevated body temperature due to failed thermoregulation that occurs when a body produces or absorbs more heat than it dissipates/@eng-Latn,,,
1603:63:101:1:8:2,1_8_2,,,Q1036696,/hypothermia || condition in which core temperature drops below the required temperature for normal metabolism and body functions/@eng-Latn,,,
1603:63:101:2,2,,,,/acute need/@eng-Latn,"@TODO https://en.wikipedia.org/wiki/Signs_and_symptoms , https://en.wikipedia.org/wiki/List_of_medical_symptoms, (...)",,
1603:63:101:2:2,2_2,,,Q81938,/pain || type of unpleasant feeling/@eng-Latn,,,
1603:63:101:2:2:1,2_2_1,,,Q1088113,/chronic pain || acute pain extending beyond the usual healing process; >3-12+ months/@eng-Latn,,,
1603:63:101:2:3,2_3,,,Q184753,"/wound || type of injury which happens relatively quickly in which skin is torn, cut, or punctured (an open wound), or where blunt force trauma causes a contusion (a closed wound)/@eng-Latn",,,
1603:63:101:2:3:1,2_3_1,,,Q166019,/bleeding || loss of blood escaping from the circulatory system/@eng-Latn,,,
1603:63:101:2:3:2,2_3_2,,,Q170518,"/burn || type of injury to skin, or other tissues, caused by heat, cold, electricity, chemicals, friction, or ultraviolet radiation (like sunburn)/@eng-Latn",,,
1603:63:101:2:3:2:1,2_3_2_1,,,Q649717,"/sunburn || inflammatory reaction from ultraviolet radiation characterized by transient redness, tenderness and occasional blistering/@eng-Latn",,,
1603:63:101:2:4,2_4,,,Q38933,/fever || common medical sign characterized by elevated body temperature/@eng-Latn,,,
1603:63:101:2:5,2_5,,,Q86,/headache || pain in the head or neck/@eng-Latn,,,
1603:63:101:2:6,2_6,,,Q10916362,/dizziness || general term for a number of types of impairment in spatial perception and stability/@eng-Latn,,,
1603:63:101:2:7,2_7,,,Q186889,/nausea || medical symptom or condition/@eng-Latn,,,
1603:63:101:2:8,2_8,,,Q127076,/vomiting || forcible expulsion of the contents of the stomach through the mouth/@eng-Latn,,,
1603:63:101:2:10,2_10,,,Q1077823,"/somnolence || state of strong desire for sleep, or sleeping for unusually long periods/@eng-Latn",,,
1603:63:101:2:11,2_11,,,Q188008,/dyspnea || feelings associated with impaired breathing/@eng-Latn,,,
1603:63:101:2:12,2_12,,,Q9690,/fatigue || medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep/@eng-Latn,,,
1603:63:101:2:13,2_13,,,Q272002,"/foodborne illness || illness resulting from food that is spoiled or contaminated by pathogenic bacteria, viruses, parasites or toxins/@eng-Latn",,,
1603:63:101:2:14,2_14,,,Q40878,/diarrhea || loose or liquid bowel movements/@eng-Latn,,,
1603:63:101:2:15:1,2_15_1,,,Q138885,/traveler's diarrhea/@eng-Latn,,,
1603:63:101:2:16,2_16,,,Q284343,/Irritant diaper dermatitis || generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants/@eng-Latn,,,
1603:63:101:2:99,2_99,,,Q246809,/list of cutaneous conditions (TODO: create dedicated Cōdex)/@eng-Latn,,,
1603:63:101:2:137,2_137,,,Q336938,/radiation exposure/@eng-Latn,,,
1603:63:101:2:137:1,2_137_1,,,Q275459,/radiation syndrome || health problems caused by exposure to very high levels of ionizing radiation/@eng-Latn,,,
1603:63:101:2:137:2,2_137_2,,,Q256348,/chronic radiation syndrome/@eng-Latn,,,
1603:63:101:2:999,2_999,,,Q3254810,/list of medical symptoms/@eng-Latn,Hint: the wikipedia pages worth a quick check. Translations there are welcome!,,
1603:63:101:3,3,,,,/chronic conditio/,,,
1603:63:101:3:2,3_2,,,Q82642,/blood pressure || pressure exerted by circulating blood upon the walls of blood vessels/@eng-Latn,,,
1603:63:101:3:2:1,3_2_1,,,Q41861,/arterial hypertension || long term medical condition with elevated arterial blood pressure/@eng-Latn,,,
1603:63:101:3:2:2,3_2_2,,,Q275419,/hypotension || abnormally low blood pressure/@eng-Latn,,,
1603:63:101:3:3,3_3,,,Q12206,/diabetes || group of metabolic disorders characterized by high blood sugar levels over a prolonged period/@eng-Latn,,,
1603:63:101:3:3:1,3_3_1,,,Q124407,/type-1 diabetes || form of diabetes mellitus/@eng-Latn,,,
1603:63:101:3:3:2,3_3_2,,,Q3025883,/type 2 diabetes || type of diabetes mellitus with high blood sugar and insulin resistance/@eng-Latn,,,
1603:63:101:3:3:9,3_3_9,,,Q126691,/gestational diabetes || condition in which a woman without diabetes develops high blood sugar levels during pregnancy/@eng-Latn,,,
1603:63:101:3:4,3_4,,,Q8084905,/autoimmune disease || type of human disease/@eng-Latn,,,
1603:63:101:3:4:1,3_4_1,,,Q11088,/coeliac disease || long term autoimmune disorder caused by a reaction to gluten/@eng-Latn,,,
1603:63:101:3:99,3_99,,,,/chronic condition etc (temporary; needs to be categorized)/@eng-Latn,,,
1603:63:101:3:99:1,3_99_1,,,Q475510,/intestinal parasite infection || infections of the intestines with parasites/@eng-Latn,,,
1603:63:101:3:99:2,3_99_2,,,Q281490,/urinary incontinence || uncontrolled leakage of urine/@eng-Latn,,,
1603:63:101:4,4,,,,"/Relevant conditions related to water, food or medicine/@eng-Latn","#@TODO this section needs rework on how to be described as standalone (good practices of terminology means not explaining an item for that it's not). Currently it's ""what's already not mentioned on previous sections but still relevant to decision making"".#",,
1603:63:101:4:2,4_2,,,Q1144913,/hyperhydration || excessive intake of water/@eng-Latn,,,
1603:63:101:4:3,4_3,,,Q194290,/hypohydration || deficit of total body water/@eng-Latn,,,
1603:63:101:4:5,4_5,,,Q42982,/allergy || immune system response to a substance that most people tolerate well/@eng-Latn,,,
1603:63:101:4:5:1,4_5_1,,,Q769815,"/food allergy || hypersensitivity reaction type I disease that is an abnormal response to a food, triggered by the body's immune system/@eng-Latn",,,
1603:63:101:4:5:1:1,4_5_1_1,,,Q576179,"/egg allergy || food allergy that is an allergy or hypersensitivity to dietary substances from the yolk or whites of eggs, causing an overreaction of the immune system which may lead to severe physical symptoms/@eng-Latn",,,
1603:63:101:5,5,,,Q2349446,/hūmānae diaetīs/,"Since a large portion of the base group of dictionaries are related to food items (and we explicitly have animal products), the human diet is a common request on needs assessment. Some individual preference for items can exist (and which are not intolerances or allergies),  however is very important not offer product outside the range individuals want.\n\n**Trivia**: while is out of scope of shared dictionaries get into specific implementations, in general _large scale humanitarian food_ do not contain animal products, mostly for lack of money to cover costs and then logistics of transportation and storage (person cook own food, which is fully vegan by lack of options). A contrast would be typical _meal center_ on large cities with income inequality, which not only is likely to have animal products to meet the taste of locals, but variations along the week. While both cases meet the ideal of humanitarianism (alleviate suffering _in extremis_, this case hunger), clearly not all use cases would need to take in account all options on the Cōdex.",,
1603:63:101:5:2,5_2,,,Q164509,"/omnivore || organism consuming a variety of foods, usually including both plants and animals/@eng-Latn",,,
1603:63:101:5:3,5_3,,,Q181138,/veganism || philosophy that rejects the use of animals/@eng-Latn,,,
1603:63:101:5:4,5_4,,,Q83364,/vegetarianism || practice of abstaining from the consumption of meat/@eng-Latn,,,
1603:63:101:5:5,5_5,,,Q101112673,/pollotarianism/@eng-Latn,,,
1603:63:101:5:6,5_6,,,Q1500138,/pescetarianism/@eng-Latn,,,
1603:63:101:5:7,5_7,,,Q108882835,/lacto-ovo vegetarianism/@eng-Latn,,,
1603:63:101:5:8,5_8,,,Q3496076,/lacto vegetarianism/@eng-Latn,,,
1603:63:101:5:40,5_40,,,Q620663,/food or drink taboo || substances considered taboo in certain cultures or religions/@eng-Latn,,,
1603:63:101:5:40:1,5_40_1,,,Q263058,"/unclean animal || non-human animal, the handling or consumption of which is considered taboo in a given religion; e.g. pigs in Judaism or Islam/@eng-Latn",,,
1603:63:101:5:40:2,5_40_2,,,Q7311393,/religious restrictions on the consumption of pork/@eng-Latn,,,
1603:63:101:5:50,5_50,,,Q8581167,/religion-based diets/@eng-Latn,,,
1603:63:101:5:50:10,5_50_10,,,Q1329066,/Islamic dietary laws || religious dietary restrictions/@eng-Latn,,,
1603:63:101:6,6,,,Q2347178,/development of the human body || process of growing to maturity; growth from a one-celled zygote to an adult human being/@eng-Latn,"Use case: term/code to group persons by age group. Ideally. If you need exact age group, just anotate the number",,
1603:63:101:6:1,6_1,,,,not known (human development)/@eng-Latn,,,
1603:63:101:6:2,6_2,,,Q26513,/fetus || fetus sive foetus in vita humana est homo antenatalis inter stationem embryonicam et partum/@eng-Latn,,,
1603:63:101:6:3,6_3,,,Q998,"/infans || est puer vel puella minimae aetatis, sic dictus, quia nondum fari coepit. Plurimi pueri prima verba circiter duodecim menses nati loquuntur/@lat-Latn",,,
1603:63:101:6:4,6_4,,,Q131774,/adulescentia || statio evolutionariae et psychologicae vitae humanae quae plerumque per tempus a pubertate ad legitimum adulti statum (aetatem maioritatis) fit/@lat-Latn,,,
1603:63:101:6:5,6_5,,,Q80994,adultum,,,
1603:63:101:6:6,6_6,,,Q191089,"/senectus || Senectus (-utis, f.) consistit in aetatibus quae spem vitae hominum approprinquant vel excedunt, et ergo finem circuli vitae humanae attingit/@lat-Latn",,,
1603:63:101:6:9,6_9,,,,/not applicable (human development)/@eng-Latn,,,
1603:63:101:7,7,,,Q468801,/pronomen personale || pronomina quae describunt personas grammaticale/@lat-Latn,Use case: have a code to group on data exchange the concept. **Trivia**: The 0 (not known) and 9 (not applicable) are reused on several concept groups like this one. This convention is roungly based on ISO/IEC 5218 (and that's the decision for 1 tend to represent masculinity and 2 femininity),,
1603:63:101:7:0,7_0,,,,/not known (personal pronoun)/@eng-Latn,,,
1603:63:101:7:1,7_1,,,,/masculine-like personal pronoun (for languages that allow it)/@eng-Latn,"Note: is not viable to add to this superficial Codex every group of personal pronouns. However, we recommend reserve 1 for this case. The strategy used here is based on _intent_ of the person instead of hardcoded values.",,
1603:63:101:7:2,7_2,,,,/feminine-like personal pronoun (for languages that allow it)/@eng-Latn,"Note: is not viable to add to this superficial Codex every group of personal pronouns. However, we recommend reserve 2 for this case.  The strategy used here is based on _intent_ of the person instead of hardcoded values.",,
1603:63:101:7:5,7_5,,,,/neuter personal pronoun (for languages that allow it)/@eng-Latn,"Note: is not viable to add to this superficial Codex every group of personal pronouns. However, we recommend reserve 5 for this case. The strategy used here is based on _intent_ of the person instead of hardcoded values.",,
1603:63:101:7:5:999,7_5_999,,,Q1189745,/gender-neutral pronoun || pronouns that don't specify gender or sex of someone/@eng-Latn,/#Note: this _999 is only a link for Wikipedia with more discussion on the topic. The labels are not really reusable#/@eng-Latn,,
1603:63:101:7:9,7_9,,,,/not applicable (personal pronoun)/@eng-Latn,,,
1603:63:101:8,8,,,Q48277,/genus (societas) || genus est vocabulum Anglicum quod in usu multorum est ad finem distinguendi aspectum socialem qualitatis feminae (puellae) ac viri (pueri) ab aspectum biologicum (quod in eo casu dicitur sex - sexus/@lat-Latn,**Trivia**: The 0 (not known) and 9 (not applicable) are reused on several concept groups like this one. This convention is roungly based on ISO/IEC 5218 (and that's the decision for 1 tend to represent masculinity and 2 femininity),,
1603:63:101:8:0,8_0,,,,/not known (gender)/@eng-Latn,,,
1603:63:101:8:1,8_1,,,Q1076509,/masculine/@eng-Latn,,,
1603:63:101:8:2,8_2,,,Q866081,/feminine/@eng-Latn,,,
1603:63:101:8:5,8_5,,,,/feminine/@eng-Latn,,,
1603:63:101:8:9,8_9,,,,/not applicable (gender)/@eng-Latn,,,
1603:63:101:9,9,,,Q290,"/sexus || in biologia est modus geneticas proprietates coniunctandi et miscendi, qui praecipuum organismorum in virili et muliebri generibus (vel sexibus) saepe requirit/@lat-Latn","Recommendation: unless your use case is for **really require know biological sex (use case: medical purposes), it is strongly recommended use the <<8>> instead of this group.\n\n**Trivia**: The 0 (not known) and 9 (not applicable) are reused on several concept groups like this one. This convention is roungly based on ISO/IEC 5218 (and that's the decision for 1 tend to represent masculinity and 2 femininity)",,
1603:63:101:9:0,9_0,,,,/not known (sex)/@eng-Latn,,,
1603:63:101:9:1,9_1,,,Q44148,/male/@eng-Latn,,,
1603:63:101:9:2,9_2,,,Q43445,/female/@eng-Latn,,,
1603:63:101:9:5,9_5,,,Q1097630,"/intersex || ndividuals born with any of several sex characteristics including chromosome patterns, gonads, or genitals/@eng-Latn",,,
1603:63:101:9:9,9_9,,,,/not applicable (sex)/@eng-Latn,,,
1603:63:101:10,10,,,Q48264,"/gender identity || person's private sense of, and subjective experience of, their own gender/@eng-Latn",,,
1603:63:101:10:0,10_0,,,,/not known (gender identity)/@eng-Latn,,,
1603:63:101:10:1,10_1,,,Q1093205,/cisgender person || a person whose gender identity matches their assigned sex/@eng-Latn,,,
1603:63:101:10:2,10_2,,,Q189125,/transgender person || person whose gender identity is different from the gender they were assigned at birth/@eng-Latn,,,
1603:63:101:10:9,10_9,,,,/not applicable (gender identity)/@eng-Latn,,,
1603:63:101:11,11,,,Q11920938,"/marital status || indicates whether the person is married (examples: married, single, divorced, and widowed)/@eng-Latn",,,
1603:63:101:11:0,11_0,,,,/not known (marital status)/@eng-Latn,,,
1603:63:101:11:1,11_1,,,Q908826,/single person || person not in a marital relationship/@eng-Latn,,,
1603:63:101:11:2,11_2,,,Q8445,/marriage || social union or legal contract between people called spouses that creates kinship/@eng-Latn,,,
1603:63:101:11:3,11_3,,,Q93190,/divorce || termination of a marital union/@eng-Latn,,,
1603:63:101:11:4,11_4,,,Q16675060,/widowhood || state of having lost one's spouse to death/@eng-Latn,,,
1603:63:101:11:9,11_9,,,,/not applicable (marital status)/@eng-Latn,,,
1603:63:101:12,12,,,Q1326354,/parenting || process of promoting and supporting the development of a child; refers to the aspects of raising a child aside from the biological relationship/@eng-Latn,Common use case for this group: annotating if the person is or not a parent of one or more individuals (not necessarily biological children).,,
1603:63:101:12:0,12_0,,,,/not known (parenting)/@eng-Latn,,,
1603:63:101:12:1,12_1,,,,/no (parenting)/@eng-Latn,,,
1603:63:101:12:2,12_2,,,,/yes (parenting)/@eng-Latn,,,
1603:63:101:12:3,12_3,,,,/not applicable (parenting)/@eng-Latn,,,
1603:63:101:13,13,,,,/refugee status/@eng-Latn,/#No dedicated Wikidata Q concept exists at the moment of last edition! Could some good heart person do it?#/eng-Latn,,
1603:63:101:13:0,13_0,,,,/not known (refugee status)/@eng-Latn,,,
1603:63:101:13:1,13_1,,,Q1145466,/internally displaced person || person forced to leave their home who remains within their country/@eng-Latn,,,
1603:63:101:13:2,13_2,,,Q564811,"/asylum seeker || individual who seeks refuge, esp. political asylum, in a foreign country/@eng-Latn",,,
1603:63:101:13:3,13_3,,,Q131572,/refugee || (short definition required)/@eng-Latn,,,
1603:63:101:13:9,13_9,,,,/not applicable (refugee status)/@eng-Latn,,,
1603:63:101:101,101,,,Q133981,/first aid || first and immediate assistance given to any person suffering from either a minor or serious illness or injury/@eng-Latn,"Finally, here starts the groups with _things_ (tangible objects) which can be organized and given.\n\nThis group contains concepts grouped under the idea of general _use first aid kit_. While it may contain some items not found on a civilian medical first aid kit (as the idea of what a first kit should have is not uniform at world level), the intent is to avoid too specialized items.",,
1603:63:101:101:1,101_1,,,Q815867,/first aid kit || Collection of supplies and equipment that is used to give medical treatment/@eng-Latn,,,
1603:63:101:101:2,101_2,,,Q520181,"/hand sanitizer || liquid, gel or foam generally used to kill many viruses/bacteria/microorganisms on the hands/@eng-Latn",,,
1603:63:101:101:3,101_3,,,Q178541,/medical glove || single-use glove worn during medical examinations and procedures/@eng-Latn,,,
1603:63:101:101:4,101_4,,,Q523536,/dressing || sterile pad or compress applied to a wound/@eng-Latn,,,
1603:63:101:101:5,101_5,,,Q216054,/adhesive bandage || a small self-adhesive medical dressing used for injuries not serious enough to require a full-size bandage/@eng-Latn,,,
1603:63:101:101:6,101_6,,,Q376724,/bandage || piece of material used either to support a medical device such as a dressing or splint/@eng-Latn,,,
1603:63:101:101:7,101_7,,,Q275792,"/saline solution || saline water for medical purposes, including both normal saline (isotonic saline solution) and hypertonic saline solution/@eng-Latn",,,
1603:63:101:101:20,101_20,,,Q173235,/analgesic || drugs used to relieve pain/@eng-Latn,,,
1603:63:101:101:20:1,101_20_1,,,Q57055,"/paracetamol || also known as acetaminophen, is a medication used to treat fever and mild to moderate pain/@eng-Latn",,,
1603:63:101:101:20:2,101_20_2,,,Q18216,"/aspirin || medication used to reduce pain, fever, or inflammation/@eng-Latn",,,
1603:63:101:101:30,101_30,,,Q188724,/non-steroidal anti-inflammatory drug/@eng-Latn,,,
1603:63:101:101:40,101_40,,,Q324089,"/histamine antagonist || drug that binds to but does not activate histamine receptors, thereby blocking the actions of histamine or histamine agonists/@eng-Latn",,,
1603:63:101:101:50,101_50,,,Q274493,/antiseptic || antimicrobial substance/@eng-Latn,,,
1603:63:101:101:50:1,101_50_1,,,Q171877,/hydrogen peroxide/@eng-Latn,,,
1603:63:101:101:60,101_60,,,,/anti-diarrhea/@eng-Latn,,,
1603:63:101:101:60:1,101_60_1,,,Q81890,"/bismuth subsalicylate || antacid elixir medication used to treat temporary discomforts of the stomach and gastrointestinal tract, such as nausea, heartburn, indigestion, upset stomach, and diarrhea/@eng-Latn",,,
1603:63:101:102,102,,,Q53467,/blood donation || occurs when a person or other mammal voluntarily has blood drawn/@eng-Latn,"This section contains concepts related to blood donation in general. We still need to investigate additional items we can link with Wikipédia/Wikidata.\n\n*""Know issue**: as 2022-03-27, Wikidata do not have specific blood types with both ABO group and Rh (A+, A-, B+, ... O-). We may need to investigate further what action to do.",,
1603:63:101:102:1,102_1,,,Q188010,/ABO blood group system/@eng-Latn,,,
1603:63:101:102:1:1,102_1_1,,,Q19831453,/A || human blood type/@eng-Latn,,,
1603:63:101:102:1:2,102_1_2,,,Q19831454,/B || human blood type/@eng-Latn,,,
1603:63:101:102:1:15,102_1_15,,,Q19831451,/O || human blood type/@eng-Latn,,,
1603:63:101:102:1:28,102_1_28,,,Q19831455,/AB || human blood type/@eng-Latn,,,
1603:63:101:102:2,102_2,,,Q425832,/Rh blood group system/@eng-Latn,,,
1603:63:101:102:10,102_10,,,Q7997549,/whole blood || unseparated donated human blood/@eng-Latn,,,
1603:63:101:102:10:1,102_10_1,,,Q1363810,/packed red blood cells || red blood cells separated for blood transfusion/@eng-Latn,,,
1603:63:101:102:10:2,102_10_2,,,Q952508,"/plateletpheresis || /method of collecting the platelets, which is performed by a device used in blood donation that separates the platelets and returns other portions of the blood to the donor/@eng-Latn",,,
1603:63:101:102:11,102_11,,,Q183605,/blood transfusion || generally the process of receiving blood or blood products into one's circulation intravenously/@eng-Latn,,,
1603:63:101:102:12,102_12,,,Q1303067,"/autologous blood donation || blood donation marked for use by the donor, typically for a scheduled surgery/@eng-Latn",,,
1603:63:101:137,137,,,Q186161,/ionizing radiation || radiation that carries enough energy to liberate electrons from atoms or molecules/@eng-Latn,"Group contains items to be used related to ionizing radiation. In practice, this means both solar protection and radiation (accidents from exposure of Cesium-137 of X-rays, toxic waste mismanagement or, extremely rare, nuclear disasters).",,
1603:63:101:137:1,137_1,,,Q11391,"/ultraviolet radiation || electromagnetic radiation with a wavelength shorter than that of visible light, but longer than X-rays/@eng-Latn",,,
1603:63:101:137:1:1,137_1_1,,,Q827658,/sunscreen || topical skin product that helps protect against sunburn/@eng-Latn,,,
1603:63:101:137:1:2,137_1_2,,,Q919290,/thanaka || yellowish-white cosmetic paste made from ground bark/@eng-Latn,,,
1603:63:101:137:1:3,137_1_3,,,Q110760891,/borak || cosmetic face powder or paste that is applied on the face for protection from the sun/@eng-Latn,,,
1603:63:101:137:2,137_2,,,Q736634,"/particle detector || device used to detect, track, and/or identify ionising particles/@eng-Latn",,,
1603:63:101:137:2:1,137_2_1,,,Q303665,/dosimeter || device that measures exposure to ionizing radiation/@eng-Latn,,,
1603:63:101:137:2:2,137_2_2,,,Q48171,/Geiger counter || instrument used for measuring ionizing radiation/@eng-Latn,,,
1603:63:101:137:9,137_9,,,,/radiological emergencies involving radioactive iodine/@eng-Latn,,,
1603:63:101:137:9:1,137_9_1,,,Q414599,/potassium iodate || chemical compound/@eng-Latn,,,
1603:63:101:180,180,,,Q134808,/vaccines/@eng-Latn,This section has at least the most common world vaccines. Initially based this UNICEF list +++https://www.unicef.org/parenting/health/vaccines-and-diseases-they-prevent+++,,
1603:63:101:180:1,180_1,,,Q798309,/BCG vaccine/@eng-Latn,,,
1603:63:101:180:2,180_2,,,Q117749,/Hepatitis B vaccine/,,,
1603:63:101:180:3,180_3,,,Q1519099,/polio vaccine/@eng-Latn,,,
1603:63:101:180:4,180_4,,,Q4007175,/diphtheria vaccine/@eng-Latn,,,
1603:63:101:180:5,180_5,,,Q5861101,/tetanus vaccine/@eng-Latn,,,
1603:63:101:180:6,180_6,,,Q7170955,/pertussis vaccine/@eng-Latn,,,
1603:63:101:180:7,180_7,,,Q368134,/Haemophilus influenzae type B vaccine/@eng-Latn,,,
1603:63:101:180:8,180_8,,,Q14538008,/pneumococcal vaccine/@eng-Latn,,,
1603:63:101:180:9,180_9,,,Q4411598,/rotavirus vaccine/@eng-Latn,,,
1603:63:101:180:10,180_10,,,Q908104,"/MMR vaccine (measles, mumps, rubella)/@eng-Latn",,,
1603:63:101:180:11,180_11,,,Q900189,/HPV vaccine/@eng-Latn,,,
1603:63:101:200,200,,,Q162297,/Hygiene || generic/@eng-Latn,"Concepts on 200 to 299 are focused on items related to personal hygiene. The ones on 200 are generice, without further division.",,
1603:63:101:200:1,200_1,,,Q34396,"/soap || salt of fatty acids (long-chain carboxylic acids), used for washing and cleaning/@eng-Latn","/#Know issue: generic term _soap_ have more variants, such as when for wash clothes and when used for clean own body.#/@eng-Latn",,
1603:63:101:200:10,200_10,,,Q309035,/deodorant || substance exerted in the groin or armpits to lessen the smell of body odour/@eng-Latn,,,
1603:63:101:205,205,,,Q13445028,/oral hygiene || practice of keeping the mouth and teeth clean to prevent dental problems/@eng-Latn,,,
1603:63:101:205:1,205_1,,,Q35855,/toothpaste || paste or gel dentifrice used to clean and maintain the health of teeth/@eng-Latn,,,
1603:63:101:205:2,205_2,,,Q134205,"/toothbrush || oral hygiene instrument used to clean the teeth, gums, and tongue/@eng-Latn",,,
1603:63:101:205:3,205_3,,,Q143978,/dental floss || cord of thin filaments used to remove food and dental plaque from between teeth in areas a toothbrush is unable to reach/@eng-Latn,,,
1603:63:101:210,210,,,Q484807,/anal cleansing || hygienic practice that a person performs on the anal area of themselves after defecation/@eng-Latn,"This section contains products used for _external_ anal hygiene. \n\n**Trivia**: different cultures use different techniques, and this topic is a taboo. One significant difference is that some use water instead of paper and this is necessary to take in account how much water each person needs in a low water environment.\n\nNote: this section, despite including water, explicitly not include _enema_ (sense: _injection of fluid into the lower bowel by way of the rectum_). Even when a bidet (sense: _bowl or receptacle designed to be sat on in order to wash one's genitalia, perineum, inner buttocks, and anus_) is not available, the portable itens used for anal hygiene are different.",,
1603:63:101:210:1,210_1,,,Q283,/water || anal cleansing/@eng-Latn,,,
