#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_hye+is_armn,#adm2+name+i_rus+is_cyrl,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_hye+is_armn,#adm2+name+alt2+i_hye+is_armn,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm1+name+i_eng+is_latn,#adm1+name+i_hye+is_armn,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_hye+is_armn,#country+name+i_rus+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:51:2:11,11,1603:45:16:51:0,1603:45:16:51:1:1,1603:45:16:51:2:11,Yerevan,Երևան,Ереван,AM011,,,,,,,,Yerevan,Երևան,Ереван,AM01,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:62,62,1603:45:16:51:0,1603:45:16:51:1:6,1603:45:16:51:2:62,Tumanian,Թումանյան,Туманян,AM062,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:63,63,1603:45:16:51:0,1603:45:16:51:1:6,1603:45:16:51:2:63,Spitak,Սպիտակ,Спитак,AM063,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:64,64,1603:45:16:51:0,1603:45:16:51:1:6,1603:45:16:51:2:64,Stepanavan,Ստեփանավան,Степанаван,AM064,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:65,65,1603:45:16:51:0,1603:45:16:51:1:6,1603:45:16:51:2:65,Tashir,Տաշիր,Ташир,AM065,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:71,71,1603:45:16:51:0,1603:45:16:51:1:7,1603:45:16:51:2:71,Kotayk,Կոտայք,Котайк,AM071,,,,,,,,Kotayk,Կոտայք,Котайкская,AM07,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:72,72,1603:45:16:51:0,1603:45:16:51:1:7,1603:45:16:51:2:72,Hrazdan,Հրազդան,Раздан,AM072,,,,,,,,Kotayk,Կոտայք,Котайкская,AM07,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:73,73,1603:45:16:51:0,1603:45:16:51:1:7,1603:45:16:51:2:73,Nairi,Նաիրի,Наири,AM073,,,,,,,,Kotayk,Կոտայք,Котайкская,AM07,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:81,81,1603:45:16:51:0,1603:45:16:51:1:8,1603:45:16:51:2:81,Akhuryan,Ախուրյան,Ахурян,AM081,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:82,82,1603:45:16:51:0,1603:45:16:51:1:8,1603:45:16:51:2:82,Amasia,Ամասիա,Амасиа,AM082,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:83,83,1603:45:16:51:0,1603:45:16:51:1:8,1603:45:16:51:2:83,Ani,Անի,Ани,AM083,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:84,84,1603:45:16:51:0,1603:45:16:51:1:8,1603:45:16:51:2:84,Ashotck,Աշոցք,Ашотцк,AM084,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:85,85,1603:45:16:51:0,1603:45:16:51:1:8,1603:45:16:51:2:85,Artik,Արթիկ,Артик,AM085,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:91,91,1603:45:16:51:0,1603:45:16:51:1:9,1603:45:16:51:2:91,Goris,Գորիս,Горис,AM091,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:92,92,1603:45:16:51:0,1603:45:16:51:1:9,1603:45:16:51:2:92,Kapan,Կապան,Капан,AM092,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:93,93,1603:45:16:51:0,1603:45:16:51:1:9,1603:45:16:51:2:93,Meghri,Մեղրի,Мегри,AM093,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:94,94,1603:45:16:51:0,1603:45:16:51:1:9,1603:45:16:51:2:94,Sisian,Սիսիան,Сисиан,AM094,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:101,101,1603:45:16:51:0,1603:45:16:51:1:10,1603:45:16:51:2:101,Yeghegnadzor,Եղեգնաձոր,Егегнадзор,AM101,,,,,,,,Vayots Dzor,Վայոց Ձոր,Вайоцдзорская,AM10,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:102,102,1603:45:16:51:0,1603:45:16:51:1:10,1603:45:16:51:2:102,Vayk,Վայք,Вайк,AM102,,,,,,,,Vayots Dzor,Վայոց Ձոր,Вайоцдзорская,AM10,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:111,111,1603:45:16:51:0,1603:45:16:51:1:11,1603:45:16:51:2:111,Idjevan,Իջևան,Иджеван,AM111,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:112,112,1603:45:16:51:0,1603:45:16:51:1:11,1603:45:16:51:2:112,Noyemberyan,Նոյեմբերյան,Ноемберян,AM112,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:113,113,1603:45:16:51:0,1603:45:16:51:1:11,1603:45:16:51:2:113,Tavush,Տավուշ,Тавуш,AM113,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:114,114,1603:45:16:51:0,1603:45:16:51:1:11,1603:45:16:51:2:114,Dilidjan,Դիլիջան,Дилиджан,AM114,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
