#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_eng+is_latn,#item+rem+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_codexfacto,,,,,,,,,,,,
1603:1:99:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,EticaAI,,,,,,,,,,,,
1603:1:99:10:2,10_2,,"**Context information**: ignoring for a moment the fact of having several translations (and optimized to receive contributions on a regular basis, not _just_ a static work), then the actual groundbreaking difference on the workflow used to generate every group of dictionaries on a Cōdex such as this one is the following fact: **we provide machine-readable structured file formats even when the equivalents on _international languages_, such as English, don't have for areas such as humanitarian aid, development aid and human rights**. The closest to such multilingualism (outside Wikimedia) are European Union SEMICeu (up to 24 languages), but even then have issues while sharing translations on all languages. United Nations translations (up to 6 languages, rarely more) are not available by humanitarian agencies to help with use cases such, for example, the need to collect and exchange data accurately.\n\n**Practical implication**: the text documents on _Archīa prō cōdice_ (literal English translation: _File for book_) are alternatives to this book format which are heavily automated using only the data format. However, the machine-readable formats on _Archīa prō dictiōnāriīs_ (literal English translation: _Files for dictionaries_) are the focus and recommended for derived works and intended for mitigating additional human errors. We can even create new formats by request! The goal here is both to allow terminology translators and production usage where it makes an positive impact.","**Informações de contexto**: ignorando por um momento o fato de ter várias traduções (e otimizadas para receber contribuições regularmente, não _apenas_ um trabalho estático), então a diferença real no fluxo de trabalho usado para gerar cada grupo de dicionários em um Cōdex como este é o seguinte fato: **fornecemos formatos de arquivos estruturados legíveis por máquina mesmo quando os equivalentes em _idiomas internacionais_, como o inglês, não possuem para áreas como ajuda humanitária, ajuda ao desenvolvimento e direitos humanos**. Os mais próximos desse multilinguismo (fora da Wikimedia) são o SEMIeu da União Europeia (até 24 idiomas), mas mesmo assim têm problemas ao compartilhar traduções em todos os idiomas. As traduções das Nações Unidas (até 6 idiomas, raramente mais) não estão disponíveis por agências humanitárias para ajudar nas traduções de terminologia.\n\n**Implicação prática**: os documentos de texto em _Archīa prō cōdice_ (tradução literal em inglês: _File for book_) são alternativas a este formato de livro que são altamente automatizados usando apenas o formato de dados. No entanto, os formatos legíveis por máquina em _Archīa prō dictiōnāriīs_ (tradução literal em inglês: _Arquivos para dicionários_) são o foco e recomendados para trabalhos derivados e destinados a mitigar erros humanos adicionais. Podemos até criar novos formatos a pedido! O objetivo aqui é permitir tradutores de terminologia e uso de produção onde isso tenha um impacto positivo.",,,,,,,,,,,,,
1603:1:99:10:2:0,10_2_0,,"Every book comes with several files both for book format (with (Abecedarium additional information) and machine-readable formats with Latinum) documentation of how to process them. If you receive this file and cannot find the alternatives, ask the human who provide this file.",,,,,,,,,,,,,,
1603:1:99:10:3,10_3,,"WARNING: Unless you are working with a natural language you understand it\'s letters and symbols, it is strongly advised to use automation to generate derived works. Keep manual human steps at minimum: if something goes wrong at least one or more languages can be used to verify mistakes. It's not at all necessary _know all languages_, but working with writing systems you don't understand is risky: copy and paste strategy can cause _additional_ human errors and is unlikely to get human review as fast as you would need.",,,,,,,,,,,,,,
1603:1:99:10:4,10_4,,TIP: The Asciidoctor (.adoc) is better at copy and pasting! It can be converted to other text formats.,,,,,,,,,,,,,,
1603:1:99:10:5,10_5,,"NOTE: /At the moment, there is no workflow to use https://www.wikidata.org/wiki/Wikidata:Lexicographical_data[Wikidata lexicographical data], which actually could be used as storage for stricter nomenclature. The current implementations use only Wikidata concepts, the Q-items./@eng-Latn","NOTE: /No momento, não há fluxo de trabalho para usar https://www.wikidata.org/wiki/Wikidata:Lexicographical_data[Wikidata lexicographical data], que na verdade poderia ser usado como armazenamento para nomenclatura mais rigorosa. As implementações atuais usam apenas conceitos do Wikidata, os Q-items./@eng-Latn",,,,,,,,,,,,,
1603:1:99:10:6,10_6,,"The ***[{1}] {2}*** uses Wikidata as one strategy to conciliate language terms for one or more of its concepts.\n\nThis means that this book, and related dictionaries data files require periodic updates to, at bare minimum, synchronize and re-share up-to-date translations.","O ***[{1}] {2}*** usa o Wikidata como uma estratégia para conciliar termos linguísticos para um ou mais de seus conceitos.\n\nIsso significa que este livro e os arquivos de dados de dicionários relacionados requerem atualizações periódicas para , no mínimo, sincronize e compartilhe novamente as traduções atualizadas.",,,,,,,,,,,,,
1603:1:99:10:7,10_7,,"**How reliable are the community translations (Wikidata source)?**\n\nThe short, default answer is: **they are reliable**, even in cases of no official translations for each subject.\n\nAs reference, it is likely a professional translator (without access to Wikipedia or Internal terminology bases of the control organizations) would deliver lower quality results if you do blind tests. This is possible because not just the average public, but even terminologists and professional translators help Wikipedia (and implicitly Wikidata).\n\nHowever, even when the result is correct, the current version needs improved differentiation, at minimum, acronym and long form. For major organizations, features such as __P1813 short names__ exist, but are not yet compiled with the current dataset.","**Qual a confiabilidade das traduções da comunidade (fonte Wikidata)?**\n\nA resposta curta padrão é: **elas são confiáveis**, mesmo nos casos de não haver traduções oficiais para cada assunto.\n\nComo referência, é provável que um tradutor profissional (sem acesso à Wikipedia ou bases de terminologia interna das organizações de controle) forneça resultados de qualidade inferior se você fizer testes cegos. Isso é possível porque não apenas o público médio, mas também terminólogos e tradutores profissionais ajudam a Wikipédia (e implicitamente o Wikidata).\n\nNo entanto, mesmo quando o resultado está correto, a versão atual precisa de diferenciação aprimorada, no mínimo, sigla e forma longa . Para grandes organizações, existem recursos como __P1813 nomes curtos__, mas ainda não foram compilados com o conjunto de dados atual.",,,,,,,,,,,,,
1603:1:99:10:8,10_8,,"**Major reasons for ""wrong translations"" are not translators fault**\n\nTIP: As a rule of thumb, for already very defined concepts where you, as a human, can manually verify one or more translated terms as a decent result, the other translations are likely to be acceptable. Dictionaries with edge cases (such as disputed territory names) would have further explanation.\n\nThe main reason for ""wrong translations"" are poorly defined concepts used to explain for community translators how to generate terminology translations. This would make existing translations from Wikidata (used not just by us) inconsistent. The second reason is if the dictionaries use translations for concepts without a strict match; in other words, if we make stricter definitions of what concept means but reuse Wikidada less exact terms. There are also issues when entire languages are encoded with wrong codes. Note that all these cases **wrong translations are strictly NOT translators fault, but lexicography fault**.\n\nIt is still possible to have strict translation level errors. But even if we point users how to correct Wikidata/Wikipedia (based on better contextual explanation of a concept, such as this book), the requirements to say the previous term was objectively a wrong human translation error (if following our seriousness on dictionary-building) are very high.","**Os principais motivos para ""traduções erradas"" não são culpa dos tradutores**\n\nDICA: Como regra geral, para conceitos já muito definidos em que você, como humano, pode verificar manualmente um ou mais termos traduzidos como um resultado decente, as outras traduções provavelmente serão aceitáveis. Dicionários com casos extremos (como nomes de territórios em disputa) teriam mais explicações.\n\nA principal razão para ""traduções erradas"" são conceitos mal definidos usados ​​para explicar aos tradutores da comunidade como gerar traduções de terminologia. Isso tornaria as traduções existentes do Wikidata (usadas não apenas por nós) inconsistentes. A segunda razão é se os dicionários usam traduções para conceitos sem uma correspondência estrita; em outras palavras, se fizermos definições mais estritas do que significa conceito, mas reutilizarmos termos menos exatos da Wikidada. Também há problemas quando idiomas inteiros são codificados com códigos errados. Observe que todos esses casos **traduções erradas NÃO são estritamente culpa do tradutor, mas sim da lexicografia**.\n\nAinda é possível ter erros estritos no nível de tradução. Mas mesmo que indiquemos aos usuários como corrigir o Wikidata/Wikipedia (com base na melhor explicação contextual de um conceito, como este livro), os requisitos para dizer que o termo anterior foi objetivamente um erro de tradução humana errado (se seguir nossa seriedade na construção de dicionário) são muito elevados.",,,,,,,,,,,,,
1603:1:99:10:9,10_9,,"From the point of view of data conciliation, the following methodology is used to publish the terminology translations with the main concept table.\n\n. The main handcrafted lexicographical table (explained on previous topic), also provided on `{0}.no1.tm.hxl.csv`, may reference Wiki QID.\n. Every unique QID of  `{0}.no1.tm.hxl.csv`, together with language codes from [`1603:1:51`] (which requires knowing human languages), is used to prepare an SPARQL query optimized to run on https://query.wikidata.org/[Wikidata Query Service]. The query is so huge that it is not viable to ""Try it"" links (URL overlong), such https://www.wikidata.org/wiki/Wikidata:SPARQL_query_service/queries/examples[as what you would find on Wikidata Tutorials], ***but*** it works!\n.. Note that the knowledge is free, the translations are there, but the multilingual humanitarian needs may lack people to prepare the files and shares than for general use.\n. The query result, with all QIDs and term labels, is shared as `{0}.wikiq.tm.hxl.csv`\n. The community reviewed translations of each singular QID is pre-compiled on an individual file `{0}.wikiq.tm.hxl.csv`\n. `{0}.no1.tm.hxl.csv` plus `{0}.wikiq.tm.hxl.csv` created `{0}.no11.tm.hxl.csv`","Do ponto de vista da conciliação de dados, a seguinte metodologia é utilizada para publicar as traduções da terminologia com a tabela de conceitos principais.\n\n. A principal tabela lexicográfica artesanal (explicada no tópico anterior), também fornecida em `{0}.no1.tm.hxl.csv`, pode fazer referência ao Wiki QID.\n. Cada QID exclusivo de `{0}.no1.tm.hxl.csv`, juntamente com códigos de idioma de [`1603:1:51`] (que requer conhecimento de idiomas humanos), é usado para preparar uma consulta SPARQL otimizada para execução em https://query.wikidata.org/[Wikidata Query Service]. A consulta é tão grande que não é viável para links ""Try it"" (URL longo), como https://www.wikidata.org/wiki/Wikidata:SPARQL_query_service/queries/examples[como o que você encontraria nos Tutoriais Wikidata ], ***mas*** funciona!\n.. Note que o conhecimento é gratuito, as traduções estão lá, mas as necessidades humanitárias multilíngues podem faltar pessoas para preparar os arquivos e compartilhar do que para uso geral.\n. O resultado da consulta, com todos os QIDs e rótulos de termos, é compartilhado como `{0}.wikiq.tm.hxl.csv`\n. As traduções revisadas pela comunidade de cada QID singular são pré-compiladas em um arquivo individual `{0}.wikiq.tm.hxl.csv`\n. `{0}.no1.tm.hxl.csv` mais `{0}.wikiq.tm.hxl.csv` criado `{0}.no11.tm.hxl.csv`",,,,,,,,,,,,,
1603:1:99:10:10,10_10,,"This section explains the methodology of this book, and its machine-readable structured data formats. For your convenience, the information used to explain the concepts (such as natural language and interlingual codes) which appears in this book are also summarized here. This approach is done both for reviews not needing to open other books (or deal with machine-readable files) and also to spot errors on other dictionaries. +++<br><br>+++ About how the book and the dictionaries are compiled, a division of ""baseline concept table"" and (when relevant for a codex) ""translations conciliation"" is given different methodologies. +++<br><br>+++ Every book contains at minimum the baseline concept table and explanation of the used fields. This approach helps to release dictionaries faster while ensuring both humans and machines can know what to expect even when they are not ready to receive translations.","Esta seção explica a metodologia deste livro e seus formatos de dados estruturados legíveis por máquina. Para sua conveniência, as informações usadas para explicar os conceitos (como linguagem natural e códigos interlinguais) que aparecem neste livro também estão resumidas aqui. Essa abordagem é feita tanto para revisões que não precisam abrir outros livros (ou lidar com arquivos legíveis por máquina) quanto para detectar erros em outros dicionários. +++<br><br>+++ Sobre como o livro e os dicionários são compilados, uma divisão de ""quadro de conceitos básicos"" e (quando relevante para um códice) ""conciliação de traduções"" é dada por diferentes metodologias. +++<br><br>+++ Todo livro contém no mínimo a tabela de conceitos básicos e a explicação dos campos usados. Essa abordagem ajuda a liberar dicionários mais rapidamente, garantindo que humanos e máquinas saibam o que esperar, mesmo quando não estiverem prontos para receber traduções.",,,,,,,,,,,,,
1603:1:99:10:11,10_11,,"While the previous section presented the linguistic information (e.g. natural languages list) from [[1603:1:51]] restricted to what this book edition de facto has, this section gives a quick summary of Interlinguistic Information of [[1603:1:7]]. By Interlinguistic, it can be either true, language neutral codes (such as numbers) or computer codes which actually are mnemonics using some non-neutral writing system. Interlinguistic, in the worst case, means some sort of _external identifier_ likely to be usable as a machine-readable identifier.\n\nThe next section, **Archīa** (literal English translation: Files) will only show [[{0}]] direct related files. But the complete [[1603:1:51]] and [[1603:1:7]] are available and licensed under public domain, which makes them very friendly to derived works while mitigating implementers _additional_ errors.","Enquanto a seção anterior apresentou a informação linguística (por exemplo, lista de línguas naturais) de [[1603:1:51]] restrita ao que esta edição do livro de fato tem, esta seção fornece um rápido resumo da Informação Interlinguística de [[1603:1:7]]. Por interlinguística, pode ser verdadeiro, códigos neutros de linguagem (como números) ou códigos de computador que na verdade são mnemônicos usando algum sistema de escrita não neutro. Interlinguístico, na pior das hipóteses, significa algum tipo de _identificador externo_ provavelmente utilizável como um identificador legível por máquina.\n\nA próxima seção, **Archīa** (tradução literal em inglês: Arquivos) mostrará apenas [[{0 }]] arquivos relacionados diretos. Mas os [[1603:1:51]] e [[1603:1:7]] completos estão disponíveis e licenciados sob domínio público, o que os torna muito amigáveis para trabalhos derivados enquanto mitiga erros _adicionais_ dos implementadores.",,,,,,,,,,,,,
1603:1:99:10:12,10_12,,"Ignoring for a moment the fact of having several translations (and optimized to receive contributions on a regular basis), then the actual groundbreaking difference to every dictionary on Cōdex such as this one is the following fact: **we provide well documented machine-readable formats** even when the equivalents in English don't have.","Ignorando por um momento o fato de ter várias traduções (e otimizadas para receber contribuições regularmente), então a verdadeira diferença inovadora para cada dicionário no Cōdex como este é o seguinte fato: **fornecemos documentos legíveis por máquina bem documentados formatos** mesmo quando os equivalentes em inglês não possuem.",,,,,,,,,,,,,
1603:1:99:20,20,,Disambiguation between dictionaries,Desambiguação entre dicionários,,,,,,,,,,,,,
1603:1:99:20:1,20_1,,"\n\n**RELATED DICTIONARIES**\n\n\nThis namespace of dictionaries have related (but not equal) actors which may _help_ other humans using different strategies. The differentiation between then is **very** relevant as this affects perception of neutrality when _help_ is done.\n\n\n**1603:63:1** //Dictiōnāria basibus dē auxiliīs hūmānitātibus strictīs//\n\nThis is stricter and more well know type of humanitarian aid. It MUST focus on immediate needs, which differentiate them from development aid.\n\n\n**[1603:26:21]** //Dictiōnāria dē Iurum humanorum defensor//\n\nThis is the most generic type of human rights defender. In addition to defend some type of human rights, MUST not cause intentional harm to other human beings unless in self defense and not disproportional immediate to the danger.\n\n\n**[1603:26:36]** //Dictiōnāria dē intraimperiīs lēgisperītīs per lēgēs certiōrātū//\n\nThis is a very strict type of **1603:26:21**. The main difference are the modi operandi : uses own country laws or it's signed international treaties to defend specific cases or reforms on country judicial system.\n\n**[1603:45:997]** //(needs be boostrapped)//\n\nDevelopment aid, while may be practiced as part of humanitarian operations to reduce likelihood of future need from foreigner help to do humanitarian aid, is not the same as humanitarian aid. \n\n\n**[1603:14:997]** //Dictiōnāria dē relevāminibus per bellīs//\n\nMilitary relief is a type of intervention on a foreign country justified on reduce individual human suffering which already is not considered a formal peacekeeping operation.",,,,,,,,,,,,,,
1603:1:99:50,50,,Quotes and other messages,Citações e outras mensagens,,,,,,,,,,,,,
1603:1:99:50:1,50_1,,**Public domain means that each major common issue only needs to be resolved once**,**Dedicação ao Domínio Público significa que cada grande problema comum só precisa ser resolvido uma vez**,,,,,,,,,,,,,
1603:1:99:100,100,,Notāte bene,,,,,,,,,,,,,,
1603:1:99:100:1,100_1,,[HELP WANTED] Generated PDF don't have right fonts for all languages,[PRECISAMOS DE AJUDA] O PDF gerado não tem as fontes corretas para todos os idiomas,,,,,,,,,,,,,
1603:1:99:100:1:1,100_1_1,,"First, sorry if this affects your loved language :(. We're working on this, but we are still not perfected book generation in so many languages at same time.\nIf you have fonts installed on your computer, you very likely can still copy and paste from the eBook version.\nPlease note that all formats intended for machine processing will work fine.","Primeiro, desculpe se isso afeta seu idioma favorito :(. Estamos trabalhando nisso, mas ainda não estamos aperfeiçoando a geração de livros em tantos idiomas ao mesmo tempo.\nSe você tiver fontes instaladas em seu computador, provavelmente ainda poderá copiar e colar da versão eBook.\nObserve que todos os formatos destinados ao processamento de máquina funcionarão bem.",,,,,,,,,,,,,
1603:1:99:100:2,100_2,,[eBook with Wikidata Q] I want to help! Some translation is missing or is wrong! How to change it?,[eBook com Wikidata Q] Quero ajudar! Alguma tradução está faltando ou está errada! Como muda-la?,,,,,,,,,,,,,
1603:1:99:100:2:1,100_2_1,,"Most (but not all) concepts are using Wikidata Q. In fact, most of the time we improve Wikidata while preparing the dictionaries! Please check if the exact concept you want have a Q ID then click. There you can add translations.\nThe next release (likely weekly) will have your submissions without need to contact us directly.","A maioria (mas não todos) os conceitos estão usando o Wikidata Q. Na verdade, na maioria das vezes melhoramos o Wikidata enquanto preparamos os dicionários! Verifique se o conceito exato que você deseja tem um Q ID e clique nele. Lá você pode adicionar traduções.\nA próxima versão (provavelmente semanal) terá seus envios sem a necessidade de nos contatar diretamente.",,,,,,,,,,,,,
1603:1:99:100:3,100_3,,"[eBook with Wikidata Q] I can find the Wikidata concept, but I'm unable to edit!","[eBook com Wikidata Q] Posso encontrar o conceito Wikidata, mas não consigo editar!",,,,,,,,,,,,,
1603:1:99:100:3:1,100_3_1,,"While Wikidata is more flexible than Wikipedia's (for example, it allows concepts without need to create Wikipedia pages) even Wikidata can have concepts which require creating an account and don't allow anonymous editing. Creating such an account and confirming email is faster than asking someone else's do it for you.\nHowever, while vandalism on Wikidata is rare, very few concepts will require an account with more contributions and not created very recently. If this is your case, help with the ones you can do alone and the rest ask someone else to add to you.","Embora o Wikidata seja mais flexível do que o da Wikipedia (por exemplo, permite conceitos sem a necessidade de criar páginas da Wikipedia), mesmo o Wikidata pode ter conceitos que exigem a criação de uma conta e não permitem edição anônima. Criar tal conta e confirmar e-mail é mais rápido do que pedir que outra pessoa faça isso por você.\nNo entanto, embora o vandalismo no Wikidata seja raro, muito poucos conceitos exigirão uma conta com mais contribuições e não criada muito recentemente. Se este for o seu caso, ajude com os que você pode fazer sozinho e o resto peça para outra pessoa adicionar a você.",,,,,,,,,,,,,
1603:1:99:100:4,100_4,,I heard there is an interest in having Cōdex beyond Latin language! How to do it?!,Ouvi dizer que há interesse em ter o Cōdex além da língua latina! Como fazer?!,,,,,,,,,,,,,
