#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Timimoun,,DZ001023,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Timokten,,DZ001024,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tinerkouk,,DZ001025,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tit,,DZ001026,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tsabit,,DZ001027,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Zaouiet Kounta,,DZ001028,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Benian,,DZ002001,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Bouyahia,,DZ002002,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Lechiakh,,DZ002003,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Soltane,,DZ002004,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Torki,,DZ002005,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain-Defla,,DZ002006,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Arib,,DZ002007,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Barbouche,,DZ002008,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bathia,,DZ002009,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Belaas,,DZ002010,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ben Allal,,DZ002011,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bir Ouled Khelifa,,DZ002012,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bordj Emir Khaled,,DZ002013,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Boumedfaa,,DZ002014,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bourached,,DZ002015,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Djelida,,DZ002016,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Djemaa Ouled Cheikh,,DZ002017,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Djendel,,DZ002018,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Abbadia,,DZ002019,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Amra,,DZ002020,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Attaf,,DZ002021,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Hassania,,DZ002022,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Hoceinia,,DZ002023,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Mayene,,DZ002024,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Hammam Righa,,DZ002025,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Khemis Miliana,,DZ002026,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Mekhatria,,DZ002027,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Miliana,,DZ002028,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued Chorfa,,DZ002029,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued Djemaa,,DZ002030,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Rouina,,DZ002031,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sidi Lakhdar,,DZ002032,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tachta Zegarra,,DZ002033,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tarik Ibn Ziad,,DZ002034,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tiberkanine,,DZ002035,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Zeddine,,DZ002036,,,,,,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Aghlal,,DZ003001,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain El Arbaa,,DZ003002,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Kihel,,DZ003003,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Tolba,,DZ003004,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain-Temouchent,,DZ003005,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Beni Saf,,DZ003006,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bouzedjar,,DZ003007,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Chaabet El Ham,,DZ003008,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Chentouf,,DZ003009,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Amria,,DZ003010,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Emir Abdelkader,,DZ003011,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Malah,,DZ003012,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El M'Said,,DZ003013,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Hammam Bouhadjar,,DZ003014,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Hassasna,,DZ003015,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Hassi El Ghella,,DZ003016,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued Berkeche,,DZ003017,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued Sebbah,,DZ003018,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ougbellil,,DZ003019,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Boudjemaa,,DZ003020,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Kihal,,DZ003021,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oulhaca Gherraba,,DZ003022,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sidi Ben Adda,,DZ003023,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sidi Boumediene,,DZ003024,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sidi Safi,,DZ003025,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tadmaya,,DZ003026,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tamzougha,,DZ003027,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Terga,,DZ003028,,,,,,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Benian,,DZ004001,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Taya,,DZ004002,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Alger,,DZ004003,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bab El Oued,,DZ004004,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Baba Hassen,,DZ004005,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bach Djerrah,,DZ004006,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bains Romains,,DZ004007,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Baraki,,DZ004008,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bab Ezzouar,,DZ004009,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ben Aknoun,,DZ004010,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Beni Messous,,DZ004011,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bir Khadem,,DZ004012,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bir Mourad Rais,,DZ004013,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Birtouta,,DZ004014,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bologhine Ibn Ziri,,DZ004015,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bordj El Bahri,,DZ004016,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bordj El Kiffan,,DZ004017,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bourouba,,DZ004018,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bouzareah,,DZ004019,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Casbah,,DZ004020,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Cheraga,,DZ004021,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Dar El Beida,,DZ004022,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Dely Brahim,,DZ004023,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Djisr Ksentina,,DZ004024,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Douera,,DZ004025,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Draria,,DZ004026,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Achour,,DZ004027,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Biar,,DZ004028,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Harrach,,DZ004029,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Madania,,DZ004030,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Magharia,,DZ004031,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Marsa,,DZ004032,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Mouradia,,DZ004033,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Hamma Anassers,,DZ004034,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Haraoua,,DZ004035,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Hussein Dey,,DZ004036,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Hydra,,DZ004037,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Khraissia,,DZ004038,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Kouba,,DZ004039,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Les Eucalyptus,,DZ004040,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Mahelma,,DZ004041,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Mohammadia,,DZ004042,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued Koriche,,DZ004043,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued Smar,,DZ004044,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Chebel,,DZ004045,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Fayet,,DZ004046,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Rahmania,,DZ004047,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Rais Hamidou,,DZ004048,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Reghaia,,DZ004049,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Rouiba,,DZ004050,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Saoula,,DZ004051,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sidi M'Hamed,,DZ004052,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sidi Moussa,,DZ004053,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Souidania,,DZ004054,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Staoueli,,DZ004055,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tassala El Merdja,,DZ004056,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Zeralda,,DZ004057,,,,,,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Berda,,DZ005001,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Annaba,,DZ005002,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Berrahel,,DZ005003,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Chetaibi,,DZ005004,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Cheurfa,,DZ005005,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Bouni,,DZ005006,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Hadjar,,DZ005007,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Eulma,,DZ005008,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued El Aneb,,DZ005009,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Seraidi,,DZ005010,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sidi Amer,,DZ005011,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Treat,,DZ005012,,,,,,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Djasser,,DZ006001,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Touta,,DZ006002,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain Yagout,,DZ006003,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Arris,,DZ006004,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Barika,,DZ006005,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Batna,,DZ006006,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Beni Foudhala El Hakania,,DZ006007,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bitam,,DZ006008,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Boulehilet,,DZ006009,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Boumaguer,,DZ006010,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Boumia,,DZ006011,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bouzina,,DZ006012,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Chemora,,DZ006013,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Chir,,DZ006014,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Djerma,,DZ006015,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Djezzar,,DZ006016,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Hassi,,DZ006017,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Madher,,DZ006018,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Fesdis,,DZ006019,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Foum Toub,,DZ006020,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ghassira,,DZ006021,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Gosbat,,DZ006022,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Guigba,,DZ006023,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Hidoussa,,DZ006024,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ichemoul,,DZ006025,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Inoughissene,,DZ006026,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Kimmel,,DZ006027,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ksar Belezma,,DZ006028,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Larbaa,,DZ006029,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Lazrou,,DZ006030,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Lemcen,,DZ006031,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Maafa,,DZ006032,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
M'Doukal,,DZ006033,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Menaa,,DZ006034,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Merouana,,DZ006035,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Metkaouak,,DZ006036,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
N'Gaous,,DZ006037,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued Chaaba,,DZ006038,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued El Ma,,DZ006039,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oued Taga,,DZ006040,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Ammar,,DZ006041,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Aouf,,DZ006042,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Fadel,,DZ006043,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Sellam,,DZ006044,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Si Slimane,,DZ006045,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouyoun El Assafir,,DZ006046,,,,,,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
