#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Al-Zibar,الزيبار,IQG11Q01,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Erbil,اربيل,IQG11Q02,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Koysinjaq,كويسنجق,IQG11Q03,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Makhmour,مخمور,IQG11Q04,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Rawanduz,راوندوز,IQG11Q05,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Shaqlawa,شقلاوة,IQG11Q06,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Ain Al-Tamur,عين التمر,IQG12Q01,,,,,,Kerbala,كربلاء,IQG12,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Hindiya,الهندية,IQG12Q02,,,,,,Kerbala,كربلاء,IQG12,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Kerbela,كربلاء,IQG12Q03,,,,,,Kerbala,كربلاء,IQG12,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Hawiga,الحويجة,IQG13Q01,,,,,,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Daquq,داقوق,IQG13Q02,,,,,,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Dibis,دبس,IQG13Q03,,,,,,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Kirkuk,كركوك,IQG13Q04,,,,,,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Amara,العمارة,IQG14Q01,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Ali Al-Gharbi,علي الغربي,IQG14Q02,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Kahla,الكحلاء,IQG14Q03,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Maimouna,الميمونة,IQG14Q04,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Mejar Al-Kabir,المجر الكبير,IQG14Q05,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Qalat Saleh,قلعة صالح,IQG14Q06,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Aqra,عقرة,IQG15Q01,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Baaj,البعاج,IQG15Q02,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Hamdaniya,الحمدانية,IQG15Q03,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Hatra,الحضر,IQG15Q04,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Mosul,الموصل,IQG15Q05,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Shikhan,الشيخان,IQG15Q06,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Sinjar,سنجار,IQG15Q07,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Telafar,تلعفر,IQG15Q08,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Tilkaef,تلكيف,IQG15Q09,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Daur,الدور,IQG16Q01,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Shirqat,الشرقاط,IQG16Q02,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Beygee,بيجي,IQG16Q03,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Balad,بلد,IQG16Q04,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Samarra,سامراء,IQG16Q05,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Tikrit,تكريت,IQG16Q06,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Tooz Khurmato,طوز خورماتو,IQG16Q07,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Chibayish,الجبايش,IQG17Q01,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Rifai,الرفاعي,IQG17Q02,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Shatra,الشطرة,IQG17Q03,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Nasiriya,الناصرية,IQG17Q04,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Suq Al-Shoyokh,سوق الشيوخ,IQG17Q05,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Hai,الحي,IQG18Q01,,,,,,Wassit,واسط,IQG18,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Kut,الكوت,IQG18Q02,,,,,,Wassit,واسط,IQG18,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Namaniya,النعمانية,IQG18Q03,,,,,,Wassit,واسط,IQG18,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Suwaira,الصويرة,IQG18Q04,,,,,,Wassit,واسط,IQG18,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Badra,بدرة,IQG18Q05,,,,,,Wassit,واسط,IQG18,Iraq,العراق,IQ,2019-06-05,2021-02-11,
