#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:340:2:503,503,Omoa,HN0503,Omoa,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:504,504,Pimienta,HN0504,Pimienta,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:505,505,Potrerillos,HN0505,Potrerillos,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:506,506,Puerto Cortes,HN0506,Puerto Cortes,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:507,507,San Antonio de Cortes,HN0507,San Antonio de Cortes,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:508,508,San Francisco de Yojoa,HN0508,San Francisco de Yojoa,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:509,509,San Manuel,HN0509,San Manuel,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:510,510,Santa Cruz de Yojoa,HN0510,Santa Cruz de Yojoa,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:511,511,Villanueva,HN0511,Villanueva,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:512,512,La Lima,HN0512,La Lima,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:601,601,Choluteca,HN0601,Choluteca,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:602,602,Apacilagua,HN0602,Apacilagua,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:603,603,Concepcion de Maria,HN0603,Concepcion de Maria,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:604,604,Duyure,HN0604,Duyure,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:605,605,El Corpus,HN0605,El Corpus,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:606,606,El Triunfo,HN0606,El Triunfo,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:607,607,Marcovia,HN0607,Marcovia,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:608,608,Morolica,HN0608,Morolica,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:609,609,Namasigue,HN0609,Namasigue,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:610,610,Orocuina,HN0610,Orocuina,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:611,611,Pespire,HN0611,Pespire,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:612,612,San Antonio de Flores,HN0612,San Antonio de Flores,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:613,613,San Isidro,HN0613,San Isidro,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:614,614,San Jose,HN0614,San Jose,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:615,615,San Marcos de Colon,HN0615,San Marcos de Colon,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:616,616,Santa Ana de Yusguare,HN0616,Santa Ana de Yusguare,,,Choluteca,HN06,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:701,701,Yuscaran,HN0701,Yuscaran,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:702,702,Alauca,HN0702,Alauca,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:703,703,Danli,HN0703,Danli,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:704,704,El Paraiso,HN0704,El Paraiso,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:705,705,Guinope,HN0705,Guinope,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:706,706,Jacaleapa,HN0706,Jacaleapa,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:707,707,Liure,HN0707,Liure,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:708,708,Moroceli,HN0708,Moroceli,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:709,709,Oropoli,HN0709,Oropoli,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:710,710,Potrerillos,HN0710,Potrerillos,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:711,711,San Antonio de Flores,HN0711,San Antonio de Flores,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:712,712,San Lucas,HN0712,San Lucas,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:713,713,San Matias,HN0713,San Matias,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:714,714,Soledad,HN0714,Soledad,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:715,715,Teupasenti,HN0715,Teupasenti,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:716,716,Texiguat,HN0716,Texiguat,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:717,717,Vado Ancho,HN0717,Vado Ancho,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:718,718,Yauyupe,HN0718,Yauyupe,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:719,719,Trojes,HN0719,Trojes,,,El Paraiso,HN07,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:801,801,Distrito Central,HN0801,Distrito Central,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:802,802,Alubaren,HN0802,Alubaren,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:803,803,Cedros,HN0803,Cedros,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:804,804,Curaren,HN0804,Curaren,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:805,805,El Porvenir,HN0805,El Porvenir,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:806,806,Guaimaca,HN0806,Guaimaca,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:807,807,La Libertad,HN0807,La Libertad,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:808,808,La Venta,HN0808,La Venta,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:809,809,Lepaterique,HN0809,Lepaterique,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:810,810,Maraita,HN0810,Maraita,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:811,811,Marale,HN0811,Marale,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:812,812,Nueva Armenia,HN0812,Nueva Armenia,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:813,813,Ojojona,HN0813,Ojojona,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:814,814,Orica,HN0814,Orica,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:815,815,Reitoca,HN0815,Reitoca,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:816,816,Sabanagrande,HN0816,Sabanagrande,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:817,817,San Antonio de Oriente,HN0817,San Antonio de Oriente,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:818,818,San Buenaventura,HN0818,San Buenaventura,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:819,819,San Ignacio,HN0819,San Ignacio,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:820,820,San Juan de Flores,HN0820,San Juan de Flores,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:821,821,San Miguelito,HN0821,San Miguelito,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:822,822,Santa Ana,HN0822,Santa Ana,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:823,823,Santa Lucia,HN0823,Santa Lucia,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:824,824,Talanga,HN0824,Talanga,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:825,825,Tatumbla,HN0825,Tatumbla,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:826,826,Valle de Angeles,HN0826,Valle de Angeles,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:827,827,Villa de San Francisco,HN0827,Villa de San Francisco,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:828,828,Vallecillo,HN0828,Vallecillo,,,Francisco Morazan,HN08,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:901,901,Puerto Lempira,HN0901,Puerto Lempira,,,Gracias a Dios,HN09,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:902,902,Brus Laguna,HN0902,Brus Laguna,,,Gracias a Dios,HN09,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:903,903,Ahuas,HN0903,Ahuas,,,Gracias a Dios,HN09,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:904,904,Juan Francisco  Bulnes,HN0904,Juan Francisco  Bulnes,,,Gracias a Dios,HN09,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:905,905,Ramón Villeda Morales,HN0905,Ramon Villeda Morales,,,Gracias a Dios,HN09,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:906,906,Wampusirpi,HN0906,Wampusirpi,,,Gracias a Dios,HN09,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1001,1001,La Esperanza,HN1001,La Esperanza,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1002,1002,Camasca,HN1002,Camasca,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1003,1003,Colomoncagua,HN1003,Colomoncagua,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1004,1004,Concepcion,HN1004,Concepcion,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1005,1005,Dolores,HN1005,Dolores,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1006,1006,Intibuca,HN1006,Intibuca,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1007,1007,Jesus de Otoro,HN1007,Jesus de Otoro,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1008,1008,Magdalena,HN1008,Magdalena,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1009,1009,Masaguara,HN1009,Masaguara,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1010,1010,San Antonio,HN1010,San Antonio,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1011,1011,San Isidro,HN1011,San Isidro,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1012,1012,San Juan,HN1012,San Juan,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1013,1013,San Marcos de Sierra,HN1013,San Marcos de Sierra,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1014,1014,San Miguelito,HN1014,San Miguelito,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1015,1015,Santa Lucia,HN1015,Santa Lucia,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1016,1016,Yamaranguila,HN1016,Yamaranguila,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1017,1017,San Francisco de Opalaca,HN1017,San Francisco de Opalaca,,,Intibuca,HN10,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1101,1101,Roatan,HN1101,Roatan,,,Islas de La Bahia,HN11,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1102,1102,Guanaja,HN1102,Guanaja,,,Islas de La Bahia,HN11,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1103,1103,Jose Santos Guardiola,HN1103,Jose Santos Guardiola,,,Islas de La Bahia,HN11,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1104,1104,Utila,HN1104,Utila,,,Islas de La Bahia,HN11,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1201,1201,La Paz,HN1201,La Paz,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1202,1202,Aguanqueterique,HN1202,Aguanqueterique,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1203,1203,Cabanas,HN1203,Cabanas,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1204,1204,Cane,HN1204,Cane,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1205,1205,Chinacla,HN1205,Chinacla,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1206,1206,Guajiquiro,HN1206,Guajiquiro,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1207,1207,Lauterique,HN1207,Lauterique,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1208,1208,Marcala,HN1208,Marcala,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1209,1209,Mercedes de Oriente,HN1209,Mercedes de Oriente,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1210,1210,Opatoro,HN1210,Opatoro,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1211,1211,San Antonio del Norte,HN1211,San Antonio del Norte,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1212,1212,San Jose,HN1212,San Jose,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1213,1213,San Juan,HN1213,San Juan,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1214,1214,San Pedro de Tutule,HN1214,San Pedro de Tutule,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1215,1215,Santa Ana,HN1215,Santa Ana,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1216,1216,Santa Elena,HN1216,Santa Elena,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1217,1217,Santa Maria,HN1217,Santa Maria,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1218,1218,Santiago de Puringla,HN1218,Santiago de Puringla,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1219,1219,Yarula,HN1219,Yarula,,,La Paz,HN12,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1301,1301,Gracias,HN1301,Gracias,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1302,1302,Belen,HN1302,Belen,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1303,1303,Candelaria,HN1303,Candelaria,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1304,1304,Cololaca,HN1304,Cololaca,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1305,1305,Erandique,HN1305,Erandique,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1306,1306,Gualcince,HN1306,Gualcince,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1307,1307,Guarita,HN1307,Guarita,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1308,1308,La Campa,HN1308,La Campa,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1309,1309,La Iguala,HN1309,La Iguala,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1310,1310,Las Flores,HN1310,Las Flores,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:1311,1311,La Union,HN1311,La Union,,,Lempira,HN13,Honduras,HN,2010-07-01,2020-11-24,
