#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_lat+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_qcc+is_zxxx+ix_regulam,#item+rem+i_qcc+is_zxxx+ix_wikip1630,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_hxlvoc,#item+rem+definitionem+i_eng+is_latn,#item+rem+definitionem+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_codexfacto,,
1603:1:7:2616:1324,2616_1324,60,60,/source code repository/@eng-Latn,,P1324,,,,ix_wikip1324,v_wiki_p_1324,public source code repository,repositório público de código fonte,,,
1603:1:7:2616:1630,2616_1630,60,60,/formatter URL/@eng-Latn,,P1630,,,,ix_wikip1630,v_wiki_p_1630,"web page URL; URI template from which ""$1"" can be automatically replaced with the effective property value on items. If the site goes offline, set it to deprecated rank. If the formatter url changes, add a new statement with preferred rank.","URL da página da web; Modelo de URI a partir do qual ""$1"" pode ser substituído automaticamente pelo valor efetivo da propriedade nos itens. Se o site ficar offline, defina-o para classificação obsoleta. Se o URL do formatador for alterado, adicione uma nova instrução com classificação preferencial.",,,
1603:1:7:2616:1889,2616_1889,60,60,/different from/@eng-Latn,,P1889,,,,ix_wikip1889,v_wiki_p_1889,"item that is different from another item, with which it may be confused","item diferente de outro item, com o qual pode ser confundido",,,
1603:1:7:2616:2479,2616_2479,60,60,/SPDX license ID/@eng-Latn,,P2479,,"[0-9A-Za-z\.\-]{3,36}[+]?",https://spdx.org/licenses/$1.html,ix_wikip2479,v_wiki_p_2479,SPDX license identifier,identificador de licença SPDX,,,
1603:1:7:2616:2699,2616_2699,60,60,URL,,P2699,,,,ix_wikip2699,v_wiki_p_2699,location of a resource,localização de um recurso,,,
1603:1:7:2616:3575,2616_3575,60,60,/data size/@eng-Latn,,P3575,,,,ix_wikip3575,v_wiki_p_3575,"size of a software, dataset, neural network, or individual file","tamanho de um software, conjunto de dados, rede neural ou arquivo individual",,,
1603:1:7:2616:3916,2616_3916,60,60,UNESCO thēsaurus,,P3916,,concept[1-9]\d*,http://vocabularies.unesco.org/thesaurus/$1,ix_wikip3916,v_wiki_p_3916,"The UNESCO Thesaurus is a controlled and structured list of terms used in subject analysis and retrieval of documents and publications in the fields of education, culture, natural sciences, social and human sciences, communication and information. Continuously enriched and updated, its multidisciplinary terminology reflects the evolution of UNESCO's programmes and activities.","O Thesaurus da UNESCO é uma lista controlada e estruturada de termos usados na análise de assuntos e recuperação de documentos e publicações nas áreas de educação, cultura, ciências naturais, ciências sociais e humanas, comunicação e informação. Continuamente enriquecida e atualizada, sua terminologia multidisciplinar reflete a evolução dos programas e atividades da UNESCO.",,,
1603:1:7:2616:3982,2616_3982,60,60,/Terminologia Anatomica 98 Latin preferred term/@eng-Latn,,P3982,,,,ix_wikip3982,v_wiki_p_3982,Latin name for anatomical subject as described in Terminologia Anatomica 98,Nome em latim para assunto anatômico conforme descrito em Terminologia Anatomica 98,,,
1603:1:7:2616:4354,2616_4354,60,60,/search formatter URL/@eng-Latn,,P4354,,,,ix_wikip4354,v_wiki_p_4354,"web page search URL; URI template from which ""$1"" can be automatically replaced with the string to be searched for. $1 can be whatever you want.","URL de pesquisa de página da web; Modelo de URI a partir do qual ""$1"" pode ser substituído automaticamente pela string a ser pesquisada. $1 pode ser o que você quiser.",,,
1603:1:7:2616:4945,2616_4945,60,60,/download link/@eng-Latn,,P4945,,,,ix_wikip4945,v_wiki_p_4945,URL which can be used to download a work,,,,
1603:1:7:2616:5185,2616_5185,60,60,genus grammaticum,,P5185,,,,ix_wikip5185,v_wiki_p_5185,grammatical gender of the word,Gênero gramatical da palavra,,,
1603:1:7:2616:7470,2616_7470,60,60,/URN formatter/@eng-Latn,,P7470,,,,ix_wikip7470,v_wiki_p_7470,formatter to generate Uniform Resource Name (URN) from property value. Include $1 to be replaced with property value,formatador para gerar o Uniform Resource Name (URN) a partir do valor da propriedade. Incluir $ 1 a ser substituído pelo valor da propriedade,,,
1603:1:7:2616:7535,2616_7535,60,60,/scope and content/@eng-Latn,,P7535,,,,ix_wikip7535,v_wiki_p_7535,a summary statement providing an overview of the archival collection,uma declaração resumida fornecendo uma visão geral da coleção de arquivo,,,
1603:1:7:2617,2617,11,11,/Wikidata Q local numeric namespace/@eng-Latn,,,,,,ix_wikiq9289584,v_wiki_q_9289584,,,,,
1603:1:7:2617:355217,2617_355217,60,60,/to-do list/@eng-Latn,Q355217,,,,,ix_wikiq355217,v_wiki_q_355217,time management - procedures to process pending tasks and appointments within the available period,gestão do tempo - procedimentos para processar tarefas pendentes e compromissos dentro do período disponível,,,
1603:1:7:2617:9289584,2617_9289584,60,60,caveat lector,Q9289584,,,,,ix_wikiq9289584,v_wiki_q_9289584,"Caveat lector is a Latin phrase meaning ""let the reader beware""","Caveat lector é uma expressão em língua latina que pode ser traduzida como ""alerta ao leitor""",,,
