Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Multiple languages,"Multiple languages, meta",/Wiki QID/,/Wiki QID/; meta,/Wiki P/,/Wiki P/; meta,Trivia,Trivia_2,Regex,Regex; meta,/formatter URL/,HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",HXL hashtag vocabulary,"HXL hashtag, metadata",Lingua Anglica (Abecedarium Latinum); dēfīnītiōnem,Lingua Anglica (Abecedarium Latinum); dēfīnītiōnem; meta,Lingua Lusitana (Abecedarium Latinum); dēfīnītiōnem,Lingua Lusitana (Abecedarium Latinum); dēfīnītiōnem; meta,Cōdex factō,Cōdex factō; meta,y,z
1_91,50,19,/Wiki QID/,,,,,,,,Q[1-9]\d*,https://regex101.com/?regex=Q[1-9]\d*,,ix_wikiq,,v_wiki_q,,"QID (or Q number) is the unique identifier of a data item on Wikidata, comprising the letter ""Q"" followed by one or more digits. It is used to help people and machines understand the difference between items with the same or similar names e.g there are several places in the world called London and many people called James Smith. This number appears next to the name at the top of each Wikidata item.",https://www.wikidata.org/wiki/Wikidata:Glossary#QID,"QID (ou número Q) é o identificador único de um item de dados no Wikidata, composto pela letra ""Q"" seguida por um ou mais dígitos. Ele é usado para ajudar pessoas e máquinas a entender a diferença entre itens com nomes iguais ou semelhantes, por exemplo, existem vários lugares no mundo chamados Londres e muitas pessoas chamadas James Smith. Este número aparece ao lado do nome na parte superior de cada item do Wikidata.",,,,,
1_92,50,19,/Wiki P/,,,,,,,,P[1-9]\d*,https://regex101.com/?regex=P[1-9]\d*,,ix_wikip,,v_wiki_p,,"Property (also attribute) describes the data value of a statement and can be thought of as a category of data, for example ""color"" for the data value ""blue"". Properties, when paired with values, form a statement in Wikidata. Properties are also used in qualifiers. Properties have their own pages on Wikidata and are connected to items, resulting in a linked data structure.",https://www.wikidata.org/wiki/Wikidata:Glossary#Property,"Propriedade (ou atributo) descreve o valor de dados de uma instrução e pode ser considerada como uma categoria de dados, por exemplo, ""cor"" para o valor de dados ""azul"". Propriedades, quando combinadas com valores, formam uma declaração no Wikidata. Propriedades também são usadas em qualificadores. As propriedades têm suas próprias páginas no Wikidata e são conectadas a itens, resultando em uma estrutura de dados vinculada.",,,,,
1_93,50,19,/Wiki LID/,,,,,,,,,,,ix_wikil,,v_wiki_l,,"LID (or L number) The identifier for a lexeme entity in Wikidata, comprising the letter ""L"" followed by one or more digits.",https://www.wikidata.org/wiki/Wikidata:Glossary#LID,"LID (ou número L) O identificador de uma entidade lexema no Wikidata, compreendendo a letra ""L"" seguida por um ou mais dígitos.",,,,,
1_95,11,19,/rēgulam/,https://en.wiktionary.org/wiki/regula#Latin,Q185612,/regular expression - sequence of characters that forms a search pattern/,,,,,,,,ix_regulam,,v_regex,,,,,,,,,
1_96,50,19,//Cōdex annotātiōnibus internālibus//,,,,,,,,,,,ix_n1603ia,,,,Internal annotations of a codex. List of items. Used on 1603_1_1 as undocumented tags to manage how dictionaries are exported,,Anotações internas de um códice. Lista de itens. Usado em 1603_1_1 como tags não documentadas para gerenciar como os dicionários são exportados,,,,,
1_97,50,19,//opus papȳrō ex 1603//,"NOTE: While started to mention sheet number, this is not necessary (software can detect it), but later can be changed to signal entire worksheet index)",,,,,,,,,,ix_n1603op,,,,Worksheet index used on 1603_1_1 as undocumented feature to manage where the main table should be extracted,,Índice de planilha usado em 1603_1_1 como recurso não documentado para gerenciar onde a tabela principal deve ser extraída,,,,,
1_200,50,19,"/HXL Standard, hashtag, base tab, or attribute (but not readable header)/",,,,,,,,,,,ix_hxl,,v_hxl,,"/HXL Standard, hashtag, base tag, or attribute (except CSV heading, if any)/",,"/Padrão HXL, hashtag, tag base ou atributo (exceto cabeçalho CSV, se houver)/",,,,,
1_201,50,19,"/HXL Standard, full hashtag/",,,,,,,,,,,ix_hxlhstg,,v_hxl_hashtag,,"/HXL Standard, full hashtag/",,"/HXL Padrão, hashtag completa/",,,,,
1_202,50,19,"/HXL Standard, human readable header (lat: caput)/",,,,,,,,,,,ix_hxlcpt,,v_hxl_caput,,"/HXL Standard, CSV heading, if any (/caput/@lat-Latn)/",,"/Padrão HXL, cabeçalho CSV, se houver (/caput/@lat-Latn)/",,,,,
1_203,50,19,"/HXL Standard, base hashtag only/",,,,,,,,,,,ix_hxlt,,v_hxl_t,,"/HXL Standard, base hashtag only/",,"/Padrão HXL, somente hashtag base/",,,,,
1_204,50,19,"/HXL Standard, attributes only/",,,,,,,,,,,ix_hxla,,v_hxl_a,,"/HXL Standard, attributes only/",,"/Padrão HXL, somente atributos/",,,,,
1_205,50,19,"/Normalized CSV-like header; full header, only prefix or only suffix/",,,,,,,,,,,ix_csv,,v_csv,,"/Normalized CSV-like header; full header, or only prefix, or only suffix/",,"/Cabeçalho tipo CSV normalizado; cabeçalho completo, ou apenas prefixo, ou apenas sufixo/",,,,,
1_206,50,19,/Normalized CSV-like identifier; prefix affinity (lat: praefīxum)/,,,,,,,,,,,ix_csvprfxu,,v_csv_praefixum,,/Normalized CSV-like identifier; prefix affinity (/praefīxum/@lat-Latn)/,,/Identificador tipo CSV normalizado; afinidade de prefixo (/praefīxum/@lat-Latn)/,,,,,
1_207,50,19,/Normalized CSV-like identifier; suffix affinity (lat: suffīxum)/,,,,,,,,,,,ix_csvsffxm,,v_csv_suffixum,,/Normalized CSV-like identifier; suffix affinity (/suffīxum/@lat-Latn)/,,/Identificador tipo CSV normalizado; afinidade de sufixo (/suffīxum/@lat-Latn)/,,,,,
1_208,50,19,/GLIDE hazard code/,https://reliefweb.int/taxonomy-descriptions#disastertype,,,,,,,,,,ix_glidehc,,,,,,,,,,,
2616,11,11,/Wikidata P local numeric namespace/,[2616] W (26) + P (16),,,,,,,,,,,,,,,,,,,,,
2616_50,60,60,scrīptor,,,,P50,/author/,,,,,,ix_wikip50,,v_wiki_p_50,,"Main creator(s) of a written work (use on works, not humans)",,"Principais criadores de uma obra escrita (uso em obras, não em humanos)",,,,,
2616_98,60,60,/dictiōnārium ēditōrī/,"https://en.wiktionary.org/wiki/lexicographer#English, https://en.wiktionary.org/wiki/dictionarian#English",,,P98,/editor/,,,,,,ix_wikip98,,v_wiki_p_98,,editor of a compiled work such as a book or a periodical (newspaper or an academic journal),,"editor de um trabalho compilado, como um livro ou um periódico (jornal ou revista acadêmica)",,,,,
2616_110,60,60,pictor,,,,P110,/illustrator/,,,,,,ix_wikip110,,v_wiki_p_110,,Person drawing the pictures or taking the photographs in a book,,Pessoa que desenhou as ilustrações ou tirou as fotos em um livro,,,,,
2616_123,60,60,/cōdex pūblicandī/,Latin term needs revision,,,P123,/publisher/@eng-Latn,,,,,,ix_wikip123,,v_wiki_p_123,,"organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software",,"organização ou pessoa responsável pela publicação de livros, periódicos, música impressa, podcasts, jogos ou software",,,,,
2616_393,60,60,numerus editionis,,,,P393,"/edition number - number of an edition (first, second, ... as 1, 2, ...) or event/@eng-Latn",,,,,,ix_wikip393,,v_wiki_p_393,,"number of an edition (first, second, ... as 1, 2, ...) or event",,"número de uma edição (primeira, segunda, ... como 1, 2, ...) ou evento",,,,,
2616_487,60,60,//unicodex pūnctō//,,,,P487,/Unicode character/,,,,,https://util.unicode.org/UnicodeJsps/character.jsp?a=$1,ix_wikip487,,v_wiki_p_487,,Unicode character representing the item,,Caractere Unicode que representa o item,,,,,
2616_577,60,60,/publication date/@eng-Latn,,,,P577,,,,,,,ix_wikip577,,v_wiki_p_577,,Date or point in time when a work was first published or released,,Data ou ponto no tempo em que um trabalho foi publicado ou lançado pela primeira vez,,,,,
2616_655,60,60,/translator/@eng-Latn,,,,P655,/translator/,,,,,,ix_wikip655,,v_wiki_p_655,,agent who adapts any kind of written text from one language to another,,agente que adapta qualquer tipo de texto escrito de um idioma para outro,,,,,
2616_854,60,60,/reference URL/@eng-Latn,,,,P854,,,,,,,ix_wikip854,,v_wiki_p_854,,should be used for Internet URLs as references,,deve ser usado para URLs da Internet como referências,,,,,
2616_856,60,60,/official website/@eng-Latn,Note: latin version on Wikidata is wrong,,,P856,/official website/,,,,,,ix_wikip856,,v_wiki_p_856,,"URL of the official page of an item (current or former) [if the page changes, add an additional statement with preferred rank. Do not remove the former URL]",,"URL da página oficial de um item (atual ou anterior) [se a página mudar, adicione uma declaração adicional com classificação preferencial. Não remova o URL anterior]",,,,,
2616_859,60,60,spōnsor,https://en.wiktionary.org/wiki/sponsor#Latin & https://en.wiktionary.org/wiki/pro_bono_publico,,,P859,/sponsor/,,,,,,ix_wikip859,,v_wiki_p_859,,organization or individual that sponsors this item,,organização ou indivíduo que patrocina este item,,,,,
2616_1476,60,60,titulus,,,,P1476,/title - published name of a work/,,,,,,ix_wikip1476,,v_wiki_p_1476,,"published name of a work, such as a newspaper article, a literary work, piece of music, a website, or a performance work",,"nome publicado de uma obra, como um artigo de jornal, uma obra literária, uma peça musical, um site ou uma obra performática",,,,,
2616_1323,60,60,Terminologia Anatomica 98 ID,,,,P1323,/Terminologia Anatomica 98 ID/,,,A\d{2}\.\d\.\d{2}\.\d{3}[FM]?,https://regex101.com/?regex=A\d{2}\.\d\.\d{2}\.\d{3}[FM]?,https://wikidata-externalid-url.toolforge.org/?p=1323&url_prefix=https:%2F%2Fwww.unifr.ch%2Fifaa%2FPublic%2FEntryPage%2FTA98%20Tree%2FEntity%20TA98%20EN%2F&url_suffix=%20Entity%20TA98%20EN.htm&id=$1,ix_wikip1323,,v_wiki_p_1323,,Terminologia Anatomica (1998 edition) human anatomical terminology identifier,,Terminologia Anatomica (edição de 1998) identificador de terminologia anatômica humana,,,,,
2616_1324,60,60,/source code repository/@eng-Latn,,,,P1324,,,,,,,ix_wikip1324,,v_wiki_p_1324,,public source code repository,,repositório público de código fonte,,,,,
2616_1630,60,60,/formatter URL/@eng-Latn,,,,P1630,,,,,,,ix_wikip1630,,v_wiki_p_1630,,"web page URL; URI template from which ""$1"" can be automatically replaced with the effective property value on items. If the site goes offline, set it to deprecated rank. If the formatter url changes, add a new statement with preferred rank.",,"URL da página da web; Modelo de URI a partir do qual ""$1"" pode ser substituído automaticamente pelo valor efetivo da propriedade nos itens. Se o site ficar offline, defina-o para classificação obsoleta. Se o URL do formatador for alterado, adicione uma nova instrução com classificação preferencial.",,,,,
2616_1889,60,60,/different from/@eng-Latn,,,,P1889,,,,,,,ix_wikip1889,,v_wiki_p_1889,,"item that is different from another item, with which it may be confused",,"item diferente de outro item, com o qual pode ser confundido",,,,,
2616_2479,60,60,/SPDX license ID/@eng-Latn,,,,P2479,,,,"[0-9A-Za-z\.\-]{3,36}[+]?","https://regex101.com/?regex=[0-9A-Za-z\.\-]{3,36}[+]?",https://spdx.org/licenses/$1.html,ix_wikip2479,,v_wiki_p_2479,,SPDX license identifier,,identificador de licença SPDX,,,,,
2616_2699,60,60,URL,,,,P2699,,,,,,,ix_wikip2699,,v_wiki_p_2699,,location of a resource,,localização de um recurso,,,,,
2616_3575,60,60,/data size/@eng-Latn,,,,P3575,,,,,,,ix_wikip3575,,v_wiki_p_3575,,"size of a software, dataset, neural network, or individual file",,"tamanho de um software, conjunto de dados, rede neural ou arquivo individual",,,,,
2616_3916,60,60,UNESCO thēsaurus,http://vocabularies.unesco.org/browser/thesaurus/en/,,,P3916,/UNESCO Thesaurus ID/,,,concept[1-9]\d*,https://regex101.com/?regex=concept[1-9]\d*,http://vocabularies.unesco.org/thesaurus/$1,ix_wikip3916,,v_wiki_p_3916,,"The UNESCO Thesaurus is a controlled and structured list of terms used in subject analysis and retrieval of documents and publications in the fields of education, culture, natural sciences, social and human sciences, communication and information. Continuously enriched and updated, its multidisciplinary terminology reflects the evolution of UNESCO's programmes and activities.",http://vocabularies.unesco.org/browser/thesaurus/en/,"O Thesaurus da UNESCO é uma lista controlada e estruturada de termos usados na análise de assuntos e recuperação de documentos e publicações nas áreas de educação, cultura, ciências naturais, ciências sociais e humanas, comunicação e informação. Continuamente enriquecida e atualizada, sua terminologia multidisciplinar reflete a evolução dos programas e atividades da UNESCO.",,,,,
2616_3982,60,60,/Terminologia Anatomica 98 Latin preferred term/@eng-Latn,,,,P3982,,,,,,,ix_wikip3982,,v_wiki_p_3982,,Latin name for anatomical subject as described in Terminologia Anatomica 98,,Nome em latim para assunto anatômico conforme descrito em Terminologia Anatomica 98,,,,,
2616_4354,60,60,/search formatter URL/@eng-Latn,,,,P4354,,,,,,,ix_wikip4354,,v_wiki_p_4354,,"web page search URL; URI template from which ""$1"" can be automatically replaced with the string to be searched for. $1 can be whatever you want.",https://www.wikidata.org/wiki/Property:P4354,"URL de pesquisa de página da web; Modelo de URI a partir do qual ""$1"" pode ser substituído automaticamente pela string a ser pesquisada. $1 pode ser o que você quiser.",,,,,
2616_4945,60,60,/download link/@eng-Latn,,,,P4945,/download link/,,,,,,ix_wikip4945,,v_wiki_p_4945,,URL which can be used to download a work,,,,,,,
2616_5185,60,60,genus grammaticum,,,,P5185,,,,,,,ix_wikip5185,,v_wiki_p_5185,,grammatical gender of the word,,Gênero gramatical da palavra,,,,,
2616_7470,60,60,/URN formatter/@eng-Latn,,,,P7470,,,,,,,ix_wikip7470,,v_wiki_p_7470,,formatter to generate Uniform Resource Name (URN) from property value. Include $1 to be replaced with property value,,formatador para gerar o Uniform Resource Name (URN) a partir do valor da propriedade. Incluir $ 1 a ser substituído pelo valor da propriedade,,,,,
2616_7535,60,60,/scope and content/@eng-Latn,,,,P7535,/scope and content - a summary statement providing an overview of the archival collection/,,,,,,ix_wikip7535,,v_wiki_p_7535,,a summary statement providing an overview of the archival collection,,uma declaração resumida fornecendo uma visão geral da coleção de arquivo,,,,,
2617,11,11,/Wikidata Q local numeric namespace/@eng-Latn,[2616] W (26) + Q (17),,,,,,,,,,ix_wikiq9289584,,v_wiki_q_9289584,,,https://www.wikidata.org/wiki/Property:P7535,,,,,,
2617_355217,60,60,/to-do list/@eng-Latn,,Q355217,/time management /,,,,,,,,ix_wikiq355217,,v_wiki_q_355217,,time management - procedures to process pending tasks and appointments within the available period,,gestão do tempo - procedimentos para processar tarefas pendentes e compromissos dentro do período disponível,,,,,
2617_9289584,60,60,caveat lector,,Q9289584,,,,,,,,,ix_wikiq9289584,,v_wiki_q_9289584,,"Caveat lector is a Latin phrase meaning ""let the reader beware""",,"Caveat lector é uma expressão em língua latina que pode ser traduzida como ""alerta ao leitor""",,,,,
