#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_qcc+is_zxxx+ix_n1603ia,#item+rem+i_qcc+is_zxxx+ix_regex,#item+rem+i_qcc+is_zxxx+ix_n1603op,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#item+rem+i_lat+is_latn,#item+rem+i_arb+is_arab,#item+rem+i_rus+is_cyrl,#item+rem+i_ben+is_beng,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:1:1:3:12:16,3_12_16,10,10,1603:3:12:16,,,,Q18616576,Vicidata Proprietātī,[16] P,,Vicidata Proprietātī,,,,
1603:1:1:3:12:17,3_12_17,10,10,1603:3:12:17,,,,Q43649390,Vicidata rēs identitāte,[17] Q,,Vicidata rēs identitāte,,,,
1603:1:1:3:1603,3_1603,10,10,1603:3:1603,,,,,/Communitary translations via Wikidata/,,,,,,,
1603:1:1:3:1603:45,3_1603_45,10,10,1603:3:1603:45,,,,,,,,,,,,
1603:1:1:3:1603:45:1,3_1603_45_1,10,10,1603:3:1603:45:1,,,,,,,,,,,,
1603:1:1:13,13,10,10,1603:13,,,,,HXL Normae,[2013-12-01] HXL Standard,https://www.elrha.org/wp-content/uploads/2017/05/hif-alnap-unocha-exchange-language-case-study-2016-1.pdf,HXL Normae,,,,
1603:1:1:13:1603,13_1603,10,10,1603:13:1603,,,,,/HXL replacement maps to other namespaces/@eng-Latn,,,,,,,
1603:1:1:13:1603:49,13_1603_49,10,10,1603:13:1603:49,,,,,/HXL replacement maps to UN m49 from other namespaces/@eng-Latn,,,,,,,
1603:1:1:14,14,50,50,1603:14,,,,,//Librārium mīlitārī//,"[14] 1914, Primum bellum mundanum",,,,,,
1603:1:1:14:997,14_997,10,10,1603:14:997,,,,,//Dictiōnāria dē relevāminibus per bellīs//,,,,,,,
1603:1:1:23,23,50,50,1603:23,,,,,//Librārium lēgī//,,,,,,,
1603:1:1:23:21,23_21,50,50,1603:23:21,,,,,//Dictiōnāria dē Iurum humanorum defensor//,,,,,,,
1603:1:1:23:36,23_36,50,50,1603:23:36,,,,,//Dictiōnāria dē intraimperiīs lēgisperītīs per lēgēs certiōrātū//,,,,,,,
1603:1:1:25,25,50,50,1603:25,,,,Q11190,Medicina,[1025] قانون در طب,https://archive.org/details/AlQaawnoonFiTTwibb/Al-Qaawnoon%20fi-t-Twibb/mode/2up,Mīlitāris scientiae,علوم عسكرية,Военная наука,সামরিক বিজ্ঞান,
1603:1:1:25:1,25_1,50,50,1603:25:1,publicum-30|victionarium_q-50,,,,//dictiōnāria dē partes corporis humani//,,,/dictiōnāria dē partes corporis humani/,,,,
1603:1:1:32,32,20,20,1603:32,,,,Q134550,/Translitteratio librāriīs/,"[32] Translitteratio; T=20, L=12; 20 + 12 = 32",,,,,,
1603:1:1:42,42,50,50,1603:42,,,,Q192386,Mīlitāris scientiae,[142] (142 -100) 魏伯陽 ,https://archive.org/search.php?query=title%3A%28%E6%AD%A6%E7%B6%93%E7%B8%BD%E8%A6%81%29,Forēnsis scientiae,علم الأدلة الجنائية,Криминалистическая экспертиза,ফরেনসিক বিজ্ঞান,
1603:1:1:44,44,50,50,1603:44,,,,Q495304,Forēnsis scientiae,"[42] Antistius ex Caesar post mortī, circa 42-03-15 BC",,,,,,
1603:1:1:44:1,44_1,70,70,1603:44:1,,,,Q99312209,//dictiōnāria dē post mortis condici//,,,,,,,
1603:1:1:44:86,44_86,20,20,1603:44:86,experimentum-50|publicum-30|victionarium_q-50,,,Q132781,//Dictiōnāria basibus dē tortūrīs//,,,,,,,
1603:1:1:44:101,44_101,20,20,1603:44:101,experimentum-50|publicum-30|victionarium_q-50,,,,/Dictiōnāria basibus dē sceleribus contrā persōnam/,,,,,,,
1603:1:1:44:111,44_111,20,20,1603:44:111,experimentum-50|publicum-30|victionarium_q-50,,,,/Dictiōnāria basibus dē sceleribus contrā ūnam commūnitātem ab rēctōribus/,,,,,,,
1603:1:1:44:142,44_142,70,70,1603:44:142,,,,,//dictiōnāria dē vulnera ab arma ignifera//,[142] 魏伯陽 ,,,,,,
1603:1:1:45,45,20,20,1603:45,,,,,Normās interimperia,[1945-10-24] Fundatio de Nationes Unitae,,(Interimperia) Locus cōdicī,,,,
1603:1:1:45:1,45_1,20,20,1603:45:1,emphasis-50|publicum-70|victionarium_q-50,,,,//dictiōnāria dē hūmānitātēs interimperia//,,,,,,,
1603:1:1:45:16,45_16,20,20,1603:45:16,,,,Q7200235,(Interimperia) Locus cōdicī,[16] P,https://en.wikipedia.org/wiki/Common_Operational_Datasets#P-codes,,,,,
1603:1:1:45:16:?,45_16_?,20,20,1603:45:16:?,,\1=[1603:45:49],,,,,,,,,,
1603:1:1:45:16:?:0,45_16_?_0,20,20,1603:45:16:?:0,,\1=[1603:45:49],,,//imperium territōrium//,,,//imperium territōrium//,,,,
1603:1:1:45:16:?:1,45_16_?_1,20,20,1603:45:16:?:1,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 1//,,,//Infraimperium territōria ōrdō 1//,,,,
1603:1:1:45:16:?:2,45_16_?_2,20,20,1603:45:16:?:2,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 2//,,,//Infraimperium territōria ōrdō 2//,,,,
1603:1:1:45:16:?:3,45_16_?_3,20,20,1603:45:16:?:3,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 3//,,,//Infraimperium territōria ōrdō 3//,,,,
1603:1:1:45:16:?:4,45_16_?_4,20,20,1603:45:16:?:4,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 4//,,,//Infraimperium territōria ōrdō 4//,,,,
1603:1:1:45:16:?:5,45_16_?_5,20,20,1603:45:16:?:5,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 5//,,,//Infraimperium territōria ōrdō 5//,,,,
1603:1:1:45:16:?:6,45_16_?_6,20,20,1603:45:16:?:6,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 6//,,,//Infraimperium territōria ōrdō 6//,,,,
1603:1:1:45:16:?:21:?,45_16_?_21_?,20,20,1603:45:16:?:21:?,,\1=[1603:45:49] \2=[1603:45:16:916] ,,,(Interimperia) Locus cōdicī; exāctō (A1...A6),[21] (0 + 1 + 2 + 3 + 4 + 5 + 6),,(Interimperia) Locus cōdicī; exāctō (A1...A6),,,,
1603:1:1:45:16:76:2,45_16_76_2,20,20,1603:45:16:76:2,experimentum-50|origo_per_automata-50,,,,,,,,,,,
1603:1:1:45:16:900,45_16_900,20,20,1603:45:16:900,,,,,[private use] Entire world public P-Codes Adm 0 (>110),,,,,,,
1603:1:1:45:16:901,45_16_901,20,20,1603:45:16:901,,,,,[private use] Entire world public P-Codes A.1 (>2500),,,,,,,
1603:1:1:45:16:902,45_16_902,20,20,1603:45:16:902,,,,,[private use] Entire world public P-Codes A.2 (>33700),,,,,,,
1603:1:1:45:16:903,45_16_903,20,20,1603:45:16:903,,,,,[private use] Entire world public P-Codes A.3 (>130500),,,,,,,
1603:1:1:45:16:904,45_16_904,20,20,1603:45:16:904,,,,,[private use] Entire world public P-Codes A.4 (>265000),,,,,,,
1603:1:1:45:16:905,45_16_905,20,20,1603:45:16:905,,,,,[private use] Entire world public P-Codes A.5,,,,,,,
1603:1:1:45:16:906,45_16_906,20,20,1603:45:16:906,,,,,[private use] Entire world public P-Codes A.6,,,,,,,
1603:1:1:45:16:916,45_16_916,20,20,1603:45:16:916,,,,,[meta] UN OCHA P-Code *WITHOUT* ISO 3166-1 prefix,,,,,,,
1603:1:1:45:16:921,45_16_921,20,20,1603:45:16:921,,,,,"[private use] Entire world public P-Codes A.0 + A1, +A.2 + A.3 + A.4 + A5 + A.6 (> 430000)",[921] (0 + 1 + 2 + 3 + 4 + 5 + 6 + 900),,,,,,
1603:1:1:45:19,45_19,25,25,1603:45:19,publicum-30|victionarium_q-50,,,,Dictiōnāria dē locī generibus,,,,,,,
1603:1:1:45:31,45_31,20,20,1603:45:31,emphasis-50|publicum-70|victionarium_q-50,,,,Dictiōnāria dē calamitātibus,,,,,,,
1603:1:1:45:49,45_49,20,20,1603:45:49,experimentum-50|origo_per_automata-50,,,,//Imperia et regiōnēs territōria cōdicēs//,[49] UN M49,https://unstats.un.org/unsd/publication/SeriesM/Series_M49_(1970)_en-fr.pdf,//Imperia et regiōnēs territōria cōdicēs//,,,,
1603:1:1:45:95,45_95,20,20,1603:45:95,,,,,//Dictiōnāria dē abūsīs interimperiīs contrā cīvēs ex auxiliātiō//,,,,,,,
1603:1:1:45:994,45_994,10,10,1603:45:994,,,,,//Dictiōnāria dē Development aid//,,,,,,,
1603:1:1:47,47,50,50,1603:47,,,,Q1334738,Normās interindustriās,[1947-02-23] ISO,,Normās interindustriās,/معايير دولية/,,,
1603:1:1:63,63,50,50,1603:63,,,,,//Librārium hūmānitātī strictae//,,,,,,,
1603:1:1:63:1,63_1,50,50,1603:63:1,,,,,//Dictiōnāria basibus dē auxiliīs hūmānitātibus strictīs//,,,,,,,
1603:1:1:63:101,63_101,50,50,1603:63:101,emphasis-50|publicum-70|victionarium_q-50,,,,//Dictiōnāria basibus dē rēbus vītālibus necessāriīs//,,,,,,,
1603:1:1:64,64,20,20,1603:64,,,,,/Dictiōnāria dē aquīs et aliae/,,,,,,,
1603:1:1:64:41,64_41,20,20,1603:64:41,publicum-30|victionarium_q-50,,,,//Dictiōnāria basibus dē perītiae per susurrōs vītālēs//,,,,,,,
1603:1:1:64:604,64_604,20,20,1603:64:604,publicum-30|victionarium_q-50,,,Q2552246,//Dictiōnāria dē aquīs et sānātiōnibus ex līmpidīs//,,,,,,,
1603:1:1:84,84,70,70,1603:84,,,,,Dentālis scientiae,,,Dentālis scientiae,طب الأسنان,,,
1603:1:1:84:1,84_1,70,70,1603:84:1,publicum-30|victionarium_q-50,,,Q10627714,/Dictiōnāria dēntālium/,,,/Dictiōnāria dēntālium/,,,,
1603:1:1:99,99,10,10,1603:99,,,,,/Temporary public numeric namespace/@eng-Latn,,,,,,,
1603:1:1:99:123,99_123,11,11,1603:99:123,experimentum-90|publicum-10|victionarium_q-50,,,,/Code golf/@eng-Latn,,,,,,,
1603:1:1:99:876,99_876,11,11,1603:99:876,experimentum-90|publicum-10,,,Q154136,//Human sexuality (meta dictionaries)//@eng-Latn,,,,,,,
1603:1:1:99:987,99_987,12,12,1603:99:987,experimentum-90|publicum-10,,,,//Personal name nomenclature//,,,,,,,
1603:1:1:999999,999999,11,11,1603:999999,,,,,Data temporāriīs,,,Data temporāriīs,,,,
1603:1:1:999999999,999999999,11,11,1603:999999999,,,,,/Non data files (used for software which generate data)/,,,,,,,
