qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:462:3:2004007,2004007,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004007,Lhohi,MV002004007,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004008,2004008,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004008,Miladhoo,MV002004008,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004009,2004009,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004009,Magoodhoo,MV002004009,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004010,2004010,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004010,Manadhoo,MV002004010,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004011,2004011,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004011,Holhudhoo,MV002004011,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004012,2004012,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004012,Fodhdhoo,MV002004012,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004013,2004013,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004013,Velidhoo,MV002004013,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2005001,2005001,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2005,1603:45:16:462:3:2005001,Hinnavaru,MV002005001,Lhaviyani Atoll,MV002005,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2005002,2005002,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2005,1603:45:16:462:3:2005002,Naifaru,MV002005002,Lhaviyani Atoll,MV002005,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2005003,2005003,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2005,1603:45:16:462:3:2005003,Kurendhoo,MV002005003,Lhaviyani Atoll,MV002005,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2005004,2005004,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2005,1603:45:16:462:3:2005004,Olhuvelifushi,MV002005004,Lhaviyani Atoll,MV002005,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2005005,2005005,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2005,1603:45:16:462:3:2005005,Maafilaafushi,MV002005005,Lhaviyani Atoll,MV002005,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006001,2006001,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006001,Alifushi,MV002006001,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006002,2006002,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006002,Vaadhoo,MV002006002,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006003,2006003,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006003,Rasgetheemu,MV002006003,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006004,2006004,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006004,Agolhitheemu,MV002006004,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006005,2006005,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006005,Hulhudhuffaaru,MV002006005,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006006,2006006,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006006,Ugoofaaru,MV002006006,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006007,2006007,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006007,Kadholhudhoo,MV002006007,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006008,2006008,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006008,Maakurathu,MV002006008,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006009,2006009,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006009,Rasmaadhoo,MV002006009,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006010,2006010,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006010,Innamaadhoo,MV002006010,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006011,2006011,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006011,Maduvvari,MV002006011,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006012,2006012,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006012,Iguraidhoo,MV002006012,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006013,2006013,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006013,Fainu,MV002006013,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006014,2006014,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006014,Meedhoo,MV002006014,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006015,2006015,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006015,Kinolhas,MV002006015,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006016,2006016,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006016,Boduhuraa,MV002006016,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006017,2006017,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006017,Gaaudoodhoo,MV002006017,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2006018,2006018,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,1603:45:16:462:3:2006018,Ugulu,MV002006018,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007001,2007001,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007001,Kudarikilu,MV002007001,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007002,2007002,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007002,Kamadhoo,MV002007002,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007003,2007003,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007003,Kendhoo,MV002007003,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007004,2007004,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007004,Kihaadhoo,MV002007004,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007005,2007005,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007005,Dhonfanu,MV002007005,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007006,2007006,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007006,Dharavandhoo,MV002007006,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007007,2007007,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007007,Maalhoss,MV002007007,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007008,2007008,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007008,Eydhafushi,MV002007008,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007009,2007009,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007009,Thulhaadhoo,MV002007009,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007010,2007010,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007010,Hithaadhoo,MV002007010,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007011,2007011,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007011,Fulhadhoo,MV002007011,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007012,2007012,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007012,Fehendhoo,MV002007012,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2007013,2007013,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,1603:45:16:462:3:2007013,Goidhoo,MV002007013,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:3021001,3021001,1603:45:16:462:0,1603:45:16:462:1:3,1603:45:16:462:2:3021,1603:45:16:462:3:3021001,Male,MV003021001,Male,MV003021,Male Economic,MV003,Maldives,MV,2010-01-01,2021-03-31,
