#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:760:2:100,100,1603:45:16:760:0,1603:45:16:760:1:1,1603:45:16:760:2:100,Damascus,دمشق,SY0100,,,,,,Damascus,دمشق,SY01,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:303,303,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:303,Al Qutayfah,القطيفة,SY0303,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:304,304,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:304,At Tall,التل,SY0304,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:305,305,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:305,Yabroud,يبرود,SY0305,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:306,306,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:306,An Nabk,النبك,SY0306,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:307,307,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:307,Az-Zabdani,الزبداني,SY0307,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:308,308,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:308,Qatana,قطنا,SY0308,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:309,309,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:309,Darayya,داريا,SY0309,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:401,401,1603:45:16:760:0,1603:45:16:760:1:4,1603:45:16:760:2:401,Homs,مركز حمص,SY0401,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:402,402,1603:45:16:760:0,1603:45:16:760:1:4,1603:45:16:760:2:402,Al-Qusayr,القصير,SY0402,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:403,403,1603:45:16:760:0,1603:45:16:760:1:4,1603:45:16:760:2:403,Tall Kalakh,تلكلخ,SY0403,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:404,404,1603:45:16:760:0,1603:45:16:760:1:4,1603:45:16:760:2:404,Ar-Rastan,الرستن,SY0404,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:405,405,1603:45:16:760:0,1603:45:16:760:1:4,1603:45:16:760:2:405,Tadmor,تدمر,SY0405,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:406,406,1603:45:16:760:0,1603:45:16:760:1:4,1603:45:16:760:2:406,Al Makhrim,المخرم,SY0406,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:501,501,1603:45:16:760:0,1603:45:16:760:1:5,1603:45:16:760:2:501,Hama,مركز حماة,SY0501,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:502,502,1603:45:16:760:0,1603:45:16:760:1:5,1603:45:16:760:2:502,As-Suqaylabiyah,السقيلبية,SY0502,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:503,503,1603:45:16:760:0,1603:45:16:760:1:5,1603:45:16:760:2:503,As-Salamiyeh,السلمية,SY0503,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:504,504,1603:45:16:760:0,1603:45:16:760:1:5,1603:45:16:760:2:504,Masyaf,مصياف,SY0504,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:505,505,1603:45:16:760:0,1603:45:16:760:1:5,1603:45:16:760:2:505,Muhradah,محردة,SY0505,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:600,600,1603:45:16:760:0,1603:45:16:760:1:6,1603:45:16:760:2:600,Lattakia,مركز اللاذقية,SY0600,,,,,,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:602,602,1603:45:16:760:0,1603:45:16:760:1:6,1603:45:16:760:2:602,Jablah,جبلة,SY0602,,,,,,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:603,603,1603:45:16:760:0,1603:45:16:760:1:6,1603:45:16:760:2:603,Al-Haffa,الحفة,SY0603,,,,,,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:604,604,1603:45:16:760:0,1603:45:16:760:1:6,1603:45:16:760:2:604,Al-Qardaha,القرداحة,SY0604,,,,,,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:700,700,1603:45:16:760:0,1603:45:16:760:1:7,1603:45:16:760:2:700,Idleb,مركز إدلب,SY0700,,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:702,702,1603:45:16:760:0,1603:45:16:760:1:7,1603:45:16:760:2:702,Al Ma'ra,معرة النعمان,SY0702,Al Mara,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:703,703,1603:45:16:760:0,1603:45:16:760:1:7,1603:45:16:760:2:703,Harim,حارم,SY0703,,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:704,704,1603:45:16:760:0,1603:45:16:760:1:7,1603:45:16:760:2:704,Jisr-Ash-Shugur,جسر الشغور,SY0704,,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:705,705,1603:45:16:760:0,1603:45:16:760:1:7,1603:45:16:760:2:705,Ariha,أريحا,SY0705,,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:800,800,1603:45:16:760:0,1603:45:16:760:1:8,1603:45:16:760:2:800,Al-Hasakeh,مركز الحسكة,SY0800,,,,,,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:802,802,1603:45:16:760:0,1603:45:16:760:1:8,1603:45:16:760:2:802,Quamishli,القامشلي,SY0802,,,,,,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:803,803,1603:45:16:760:0,1603:45:16:760:1:8,1603:45:16:760:2:803,Al-Malikeyyeh,المالكية,SY0803,,,,,,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:804,804,1603:45:16:760:0,1603:45:16:760:1:8,1603:45:16:760:2:804,Ras Al Ain,رأس العين,SY0804,,,,,,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:901,901,1603:45:16:760:0,1603:45:16:760:1:9,1603:45:16:760:2:901,Deir-ez-Zor,مركز دير الزور,SY0901,,,,,,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:902,902,1603:45:16:760:0,1603:45:16:760:1:9,1603:45:16:760:2:902,Abu Kamal,البوكمال,SY0902,,,,,,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:903,903,1603:45:16:760:0,1603:45:16:760:1:9,1603:45:16:760:2:903,Al Mayadin,الميادين,SY0903,,,,,,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1000,1000,1603:45:16:760:0,1603:45:16:760:1:10,1603:45:16:760:2:1000,Tartous,مركز طرطوس,SY1000,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1002,1002,1603:45:16:760:0,1603:45:16:760:1:10,1603:45:16:760:2:1002,Banyas,بانياس,SY1002,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1003,1003,1603:45:16:760:0,1603:45:16:760:1:10,1603:45:16:760:2:1003,Safita,صافيتا,SY1003,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1004,1004,1603:45:16:760:0,1603:45:16:760:1:10,1603:45:16:760:2:1004,Dreikish,دريكيش,SY1004,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1005,1005,1603:45:16:760:0,1603:45:16:760:1:10,1603:45:16:760:2:1005,Sheikh Badr,الشيخ بدر,SY1005,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1006,1006,1603:45:16:760:0,1603:45:16:760:1:10,1603:45:16:760:2:1006,Qadmous,القدموس,SY1006,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1101,1101,1603:45:16:760:0,1603:45:16:760:1:11,1603:45:16:760:2:1101,Ar-Raqqa,مركز الرقة,SY1101,,,,,,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1102,1102,1603:45:16:760:0,1603:45:16:760:1:11,1603:45:16:760:2:1102,Tell Abiad,تل أبيض,SY1102,,,,,,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1103,1103,1603:45:16:760:0,1603:45:16:760:1:11,1603:45:16:760:2:1103,Ath-Thawrah,الثورة,SY1103,,,,,,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1200,1200,1603:45:16:760:0,1603:45:16:760:1:12,1603:45:16:760:2:1200,Dar'a,درعا,SY1200,Dara,,,,,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1202,1202,1603:45:16:760:0,1603:45:16:760:1:12,1603:45:16:760:2:1202,As-Sanamayn,الصنمين,SY1202,,,,,,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1203,1203,1603:45:16:760:0,1603:45:16:760:1:12,1603:45:16:760:2:1203,Izra',ازرع,SY1203,Izra,,,,,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1300,1300,1603:45:16:760:0,1603:45:16:760:1:13,1603:45:16:760:2:1300,As-Sweida,مركز السويداء,SY1300,,,,,,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1302,1302,1603:45:16:760:0,1603:45:16:760:1:13,1603:45:16:760:2:1302,Salkhad,صلخد,SY1302,,,,,,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1303,1303,1603:45:16:760:0,1603:45:16:760:1:13,1603:45:16:760:2:1303,Shahba,شهبا,SY1303,,,,,,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1400,1400,1603:45:16:760:0,1603:45:16:760:1:14,1603:45:16:760:2:1400,Quneitra,مركز القنيطرة,SY1400,,,,,,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:1402,1402,1603:45:16:760:0,1603:45:16:760:1:14,1603:45:16:760:2:1402,Al Fiq,فيق,SY1402,,,,,,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
