#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:324:3:100203,100203,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100203,Dabiss,GN00100203,Dabiss,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100204,100204,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100204,Kamsar,GN00100204,Kamsar,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100205,100205,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100205,Kanfarande,GN00100205,Kanfarande,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100206,100206,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100206,Kolaboui,GN00100206,Kolaboui,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100207,100207,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100207,Malapouya,GN00100207,Malapouya,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100208,100208,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100208,Sangaredi,GN00100208,Sangaredi,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100209,100209,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100209,Sansale,GN00100209,Sansale,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100210,100210,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100210,Tanene,GN00100210,Tanene,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100301,100301,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100301,Foulamory,GN00100301,Foulamory,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100302,100302,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100302,Gaoual Ctre,GN00100302,Gaoual Ctre,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100303,100303,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100303,Kakony,GN00100303,Kakony,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100304,100304,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100304,Koumbia,GN00100304,Koumbia,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100305,100305,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100305,Kounsitel,GN00100305,Kounsitel,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100306,100306,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100306,Malanta,GN00100306,Malanta,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100307,100307,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100307,Touba,GN00100307,Touba,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100308,100308,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100308,Wendou Mbour,GN00100308,Wendou Mbour,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100401,100401,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,1603:45:16:324:3:100401,Guinguan,GN00100401,Guinguan,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100402,100402,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,1603:45:16:324:3:100402,Kamabi,GN00100402,Kamabi,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100403,100403,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,1603:45:16:324:3:100403,Koundara Ctre,GN00100403,Koundara Ctre,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100404,100404,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,1603:45:16:324:3:100404,Sambailo,GN00100404,Sambailo,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100405,100405,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,1603:45:16:324:3:100405,Sareboido,GN00100405,Sareboido,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100406,100406,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,1603:45:16:324:3:100406,Termesse,GN00100406,Termesse,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100407,100407,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,1603:45:16:324:3:100407,Youkounkoun,GN00100407,Youkounkoun,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100501,100501,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1005,1603:45:16:324:3:100501,Baguinet,GN00100501,Baguinet,,,Fria,GN001005,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100502,100502,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1005,1603:45:16:324:3:100502,Banguigny,GN00100502,Banguigny,,,Fria,GN001005,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100503,100503,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1005,1603:45:16:324:3:100503,Fria Ctre,GN00100503,Fria Ctre,,,Fria,GN001005,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100504,100504,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1005,1603:45:16:324:3:100504,Tormelin,GN00100504,Tormelin,,,Fria,GN001005,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:200101,200101,1603:45:16:324:0,1603:45:16:324:1:2,1603:45:16:324:2:2001,1603:45:16:324:3:200101,Dixinn,GN00200101,Dixinn,,,Conakry,GN002001,Conakry,GN002,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:200102,200102,1603:45:16:324:0,1603:45:16:324:1:2,1603:45:16:324:2:2001,1603:45:16:324:3:200102,Kaloum,GN00200102,Kaloum,,,Conakry,GN002001,Conakry,GN002,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:200103,200103,1603:45:16:324:0,1603:45:16:324:1:2,1603:45:16:324:2:2001,1603:45:16:324:3:200103,Matam,GN00200103,Matam,,,Conakry,GN002001,Conakry,GN002,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:200104,200104,1603:45:16:324:0,1603:45:16:324:1:2,1603:45:16:324:2:2001,1603:45:16:324:3:200104,Matoto,GN00200104,Matoto,,,Conakry,GN002001,Conakry,GN002,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:200105,200105,1603:45:16:324:0,1603:45:16:324:1:2,1603:45:16:324:2:2001,1603:45:16:324:3:200105,Ratoma,GN00200105,Ratoma,,,Conakry,GN002001,Conakry,GN002,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300101,300101,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300101,Arfamoussayah,GN00300101,Arfamoussayah,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300102,300102,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300102,Banko,GN00300102,Banko,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300103,300103,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300103,Bissikrima,GN00300103,Bissikrima,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300104,300104,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300104,Dabola Ctre,GN00300104,Dabola Ctre,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300105,300105,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300105,Dogomet,GN00300105,Dogomet,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300106,300106,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300106,Kankama,GN00300106,Kankama,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300107,300107,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300107,Kindoye,GN00300107,Kindoye,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300108,300108,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300108,Konendou,GN00300108,Konendou,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300109,300109,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,1603:45:16:324:3:300109,Ndema,GN00300109,Ndema,,,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300201,300201,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,1603:45:16:324:3:300201,Banora,GN00300201,Banora,,,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300202,300202,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,1603:45:16:324:3:300202,Dialakoro,GN00300202,Dialakoro,,,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300203,300203,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,1603:45:16:324:3:300203,Diatifere,GN00300203,Diatifere,,,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300204,300204,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,1603:45:16:324:3:300204,Dinguiraye Ctre,GN00300204,Dinguiraye Ctre,,,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300205,300205,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,1603:45:16:324:3:300205,Gagnakaly,GN00300205,Gagnakaly,,,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300206,300206,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,1603:45:16:324:3:300206,Kalinko,GN00300206,Kalinko,,,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300207,300207,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,1603:45:16:324:3:300207,Lansanaya,GN00300207,Lansanaya,,,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300208,300208,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,1603:45:16:324:3:300208,Selouma,GN00300208,Selouma,,,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300301,300301,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300301,Banian,GN00300301,Banian,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300302,300302,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300302,Beindou,GN00300302,Beindou,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300303,300303,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300303,Faranah Ctre,GN00300303,Faranah Ctre,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300304,300304,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300304,Gnaleah,GN00300304,Gnaleah,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300305,300305,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300305,Heremakono,GN00300305,Heremakono,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300306,300306,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300306,Kobikoro,GN00300306,Kobikoro,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300307,300307,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300307,Marella,GN00300307,Marella,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300308,300308,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300308,Passaya,GN00300308,Passaya,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300309,300309,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300309,Sandenia,GN00300309,Sandenia,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300310,300310,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300310,Songoyah,GN00300310,Songoyah,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300311,300311,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,1603:45:16:324:3:300311,Tiro,GN00300311,Tiro,,,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300401,300401,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300401,Albadariah,GN00300401,Albadariah,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300402,300402,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300402,Banama,GN00300402,Banama,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300403,300403,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300403,Bardou,GN00300403,Bardou,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300404,300404,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300404,Beindou,GN00300404,Beindou,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300405,300405,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300405,Fermessadou,GN00300405,Fermessadou,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300406,300406,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300406,Firawa,GN00300406,Firawa,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300407,300407,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300407,Gbangbadou,GN00300407,Gbangbadou,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300408,300408,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300408,Kissidougou Ctre,GN00300408,Kissidougou Ctre,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300409,300409,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300409,Kondiadou,GN00300409,Kondiadou,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300410,300410,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300410,Manfran,GN00300410,Manfran,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300411,300411,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300411,Sangardo,GN00300411,Sangardo,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300412,300412,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300412,Yende Millimou,GN00300412,Yende Millimou,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:300413,300413,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,1603:45:16:324:3:300413,Yombiro,GN00300413,Yombiro,,,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400101,400101,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400101,Balandougou,GN00400101,Balandougou,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400102,400102,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400102,Bate Nafadji,GN00400102,Bate Nafadji,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400103,400103,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400103,Boula,GN00400103,Boula,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400104,400104,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400104,Gberedou Baranama,GN00400104,Gberedou Baranama,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400105,400105,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400105,Kankan Ctre,GN00400105,Kankan Ctre,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400106,400106,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400106,Karifamoriah,GN00400106,Karifamoriah,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400107,400107,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400107,Koumban,GN00400107,Koumban,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400108,400108,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400108,Mamouroudou,GN00400108,Mamouroudou,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400109,400109,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400109,Missamana,GN00400109,Missamana,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
