#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:45:19:17:9174:44613,17_9174_44613,,,Q44613,/monastery - complex of buildings comprising the domestic quarters and workplace(s) of monks or nuns/,,
1603:45:19:17:9174:141140,17_9174_141140,,,Q141140,/hussainiya - ceremonial gathering hall in Shia Islam/,,
1603:45:19:17:9174:199451,17_9174_199451,,,Q199451,"/pagoda - tiered tower built in an East Asian style, a kind of decorative garden structure/",,
1603:45:19:17:9174:337986,17_9174_337986,,,Q337986,/gurdwara - place of worship in Sikhism/,,
1603:45:19:17:9174:697295,17_9174_697295,,,Q697295,"/shrine - /holy or sacred place, which is dedicated to a specific deity",,
1603:45:19:17:9174:842402,17_9174_842402,,,Q842402,/Hindu temple - house of worship in Hinduism/,,
1603:45:19:17:80962,17_80962,,,Q80962,/animal husbandry - management of farmed animals by humans/,,
1603:45:19:17:80962:214252,17_80962_214252,,,Q214252,/stable - building for horses and other livestock/,,
1603:45:19:17:80962:385557,17_80962_385557,,,Q385557,/slaughterhouse - facility where animals are killed for consumption as food products/,,
1603:45:19:17:80962:861182,17_80962_861182,,,Q861182,/poultry farming - part of animal husbandry - chicken farming/,,
1603:45:19:17:80962:1651566,17_80962_1651566,,,Q1651566,/pigsty - enclosure for pigs/,,
1603:45:19:17:732717,17_732717,,,Q732717,/law enforcement agency - government agency responsible for the enforcement of the laws/,,
1603:45:19:17:732717:861951,17_732717_861951,,,Q861951,"/police station - headquarters for the police of a particular district, from which police officers are dispatched and to which persons under arrest are brought/",,
1603:45:19:17:1307276,17_1307276,,,Q1307276,/single-family detached home - free-standing residential building/,,
1603:45:19:17:1307276:3947,17_1307276_3947,,,Q3947,/house - building usually intended for living in/,,
1603:45:19:17:1307276:259059,17_1307276_259059,,,Q259059,/household - group of one or more people living in the same dwelling and sharing meals or living accommodation; may consist of a single family or other grouping of people/,,
1603:45:19:17:1307276:1335996,17_1307276_1335996,,,Q1335996,"/Studio apartment - is a small apartment (rarely a condo) in which the normal functions of a number of rooms – often the living room, bedroom, and kitchen – are combined into a single room/",,
1603:45:19:17:1307276:5784097,17_1307276_5784097,,,Q5784097,"/hut - a small dwelling - generally less complex than that of a house (durable, well-built dwelling) but more so than that of a shelter/ ",,
1603:45:19:17:1498804,17_1498804,,,Q1498804,/multiple dwellings - multiple separate housing units for residential inhabitants contained within one building or several buildings within one complex/,,
1603:45:19:17:1498804:161851,17_1498804_161851,,,Q161851,/condominium - form of housing tenure and other real property/,,
1603:45:19:17:1498804:188507,17_1498804_188507,,,Q188507,/apartment - self-contained housing unit occupying part of a building/,,
1603:45:19:17:1722438,17_1722438,,,Q1722438,/emergency shelter - place for people to live temporarily when they cannot live in their previous residence/,,
1603:45:19:17:1722438:1451763,17_1722438_1451763,,,Q1451763,/women's shelter - place of temporary refuge and support for women escaping violent or abusive situations/,,
1603:45:19:17:7834471,17_7834471,,,Q7834471,/Transitional shelter/,,
1603:45:19:17:7834471:772298,17_7834471_772298,,,Q772298,/homeless shelter - /temporary residence for homeless individuals and families,,
1603:45:19:17:7834471:2681882,17_7834471_2681882,,,Q2681882,/refugee shelter - structures ranging from the most temporary tent accommodation through transitional shelter to building temporary pics and settlements and include the most basic kind of ad hoc structure/,,
