#adm3+name+i_en,#adm3+name+i_ar,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_ar,#adm3+name+alt2+i_ar,#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Damascus,دمشق,SY010000,,,,,,Damascus,دمشق,SY0100,Damascus,دمشق,SY01,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ar-Ra'ee,الراعي,SY020203,Ar-Raee,,,,,Al Bab,الباب,SY0202,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Eastern Kwaires ,كويرس شرقي,SY020204,,,,,,Al Bab,الباب,SY0202,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Rasm Haram El-Imam,رسم حرمل الامام,SY020205,,,,,,Al Bab,الباب,SY0202,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
A'rima,عريمة,SY020206,Arima,,,,,Al Bab,الباب,SY0202,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Afrin,مركز عفرين,SY020300,,,,,,Afrin,عفرين,SY0203,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Bulbul,بلبل,SY020301,,,,,,Afrin,عفرين,SY0203,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jandairis,جنديرس,SY020302,,,,,,Afrin,عفرين,SY0203,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Raju,راجو,SY020303,,,,,,Afrin,عفرين,SY0203,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sharan,شران,SY020304,,,,,,Afrin,عفرين,SY0203,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sheikh El-Hadid,شيخ الحديد,SY020305,,,,,,Afrin,عفرين,SY0203,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ma'btali,معبطلي,SY020306,Mabtali,,,,,Afrin,عفرين,SY0203,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
A'zaz,مركز اعزاز,SY020400,Azaz,,,,,A'zaz,اعزاز,SY0204,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Aghtrin,اخترين,SY020401,,,,,,A'zaz,اعزاز,SY0204,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tall Refaat,تل رفعت,SY020402,,,,,,A'zaz,اعزاز,SY0204,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mare',مارع,SY020403,Mare,,,,,A'zaz,اعزاز,SY0204,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Nabul,نبل,SY020404,,,,,,A'zaz,اعزاز,SY0204,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Suran,صوران,SY020405,,,,,,A'zaz,اعزاز,SY0204,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Menbij,مركز منبج,SY020500,,,,,,Menbij,منبج,SY0205,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Abu Qalqal,أبو قلقل,SY020501,,,,,,Menbij,منبج,SY0205,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Khafsa,الخفسة,SY020502,,,,,,Menbij,منبج,SY0205,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Maskana,مسكنة,SY020503,,,,,,Menbij,منبج,SY0205,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ain al Arab,مركز عين العرب,SY020600,,,,,,Ain Al Arab,عين العرب,SY0206,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Lower Shyookh,شيوخ تحتاني,SY020601,,,,,,Ain Al Arab,عين العرب,SY0206,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sarin,صرين,SY020602,,,,,,Ain Al Arab,عين العرب,SY0206,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
As-Safira,مركز السفيرة,SY020700,,,,,,As-Safira,السفيرة,SY0207,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Khanaser,خناصر,SY020701,,,,,,As-Safira,السفيرة,SY0207,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Banan,بنان,SY020702,,,,,,As-Safira,السفيرة,SY0207,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hajeb,الحاجب,SY020703,,,,,,As-Safira,السفيرة,SY0207,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jarablus,مركز جرابلس,SY020800,,,,,,Jarablus,جرابلس,SY0208,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ghandorah,غندورة,SY020801,,,,,,Jarablus,جرابلس,SY0208,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kisweh,الكسوة,SY030101,,,,,,Rural Damascus,مركز ريف دمشق,SY0301,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Babella,ببيلا,SY030102,,,,,,Rural Damascus,مركز ريف دمشق,SY0301,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jaramana,جرمانا,SY030103,,,,,,Rural Damascus,مركز ريف دمشق,SY0301,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Maliha,المليحة,SY030104,,,,,,Rural Damascus,مركز ريف دمشق,SY0301,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kafr Batna,كفر بطنا,SY030105,,,,,,Rural Damascus,مركز ريف دمشق,SY0301,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Arbin,عربين,SY030106,,,,,,Rural Damascus,مركز ريف دمشق,SY0301,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qudsiya,قدسيا,SY030107,,,,,,Rural Damascus,مركز ريف دمشق,SY0301,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Duma,مركز دوما,SY030200,,,,,,Duma,دوما,SY0302,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Harasta,حرستا,SY030201,,,,,,Duma,دوما,SY0302,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sabe Byar,السبع بيار,SY030202,,,,,,Duma,دوما,SY0302,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dhameer,الضمير,SY030203,,,,,,Duma,دوما,SY0302,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Nashabiyeh,النشابية,SY030204,,,,,,Duma,دوما,SY0302,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ghizlaniyyeh,الغزلانية,SY030205,,,,,,Duma,دوما,SY0302,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Haran Al'awameed,حران العواميد,SY030206,Haran Alawameed,,,,,Duma,دوما,SY0302,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al Qutayfah,مركز القطيفة,SY030300,,,,,,Al Qutayfah,القطيفة,SY0303,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jirud,جيرود,SY030301,,,,,,Al Qutayfah,القطيفة,SY0303,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ma'loula,معلولا,SY030302,Maloula,,,,,Al Qutayfah,القطيفة,SY0303,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Raheiba,الرحيبة,SY030303,,,,,,Al Qutayfah,القطيفة,SY0303,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
At Tall,مركز التل,SY030400,,,,,,At Tall,التل,SY0304,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sidnaya,صيدنايا,SY030401,,,,,,At Tall,التل,SY0304,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Rankus,رنكوس,SY030402,,,,,,At Tall,التل,SY0304,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Yabroud,مركز يبرود,SY030500,,,,,,Yabroud,يبرود,SY0305,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Esal El-Ward,عسال الورد,SY030501,,,,,,Yabroud,يبرود,SY0305,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
An Nabk,مركز النبك,SY030600,,,,,,An Nabk,النبك,SY0306,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Deir Attiyeh,دير عطية,SY030601,,,,,,An Nabk,النبك,SY0306,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Az-Zabdani,مركز الزبداني,SY030700,,,,,,Az-Zabdani,الزبداني,SY0307,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dimas,الديماس,SY030701,,,,,,Az-Zabdani,الزبداني,SY0307,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ein Elfijeh,عين الفيجة,SY030702,,,,,,Az-Zabdani,الزبداني,SY0307,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Madaya,مضايا,SY030703,,,,,,Az-Zabdani,الزبداني,SY0307,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sarghaya,سرغايا,SY030704,,,,,,Az-Zabdani,الزبداني,SY0307,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qatana,مركز قطنا,SY030800,,,,,,Qatana,قطنا,SY0308,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Bait Jan,بيت جن,SY030801,,,,,,Qatana,قطنا,SY0308,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sa'sa',سعسع,SY030802,Sasa,,,,,Qatana,قطنا,SY0308,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Markaz Darayya,مركز داريا,SY030900,,,,,,Darayya,داريا,SY0309,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sahnaya,صحنايا,SY030901,,,,,,Darayya,داريا,SY0309,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hajar Aswad,الحجر الأسود,SY030902,,,,,,Darayya,داريا,SY0309,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Homs,مركز حمص,SY040100,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Taldu,تلدو,SY040101,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kherbet Tin Noor,خربة تين نور,SY040102,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ein Elniser,عين النسر,SY040103,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Farqalas,الفرقلس,SY040104,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Raqama,الرقاما,SY040105,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qaryatein,القريتين,SY040106,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mahin,مهين,SY040107,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hasyaa,حسياء,SY040108,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sadad,صدد,SY040109,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qabu,القبو,SY040110,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Shin,شين,SY040111,,,,,,Homs,مركز حمص,SY0401,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Qusayr,مركز القصير,SY040200,,,,,,Al-Qusayr,القصير,SY0402,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tall Kalakh,مركز تلكلخ,SY040300,,,,,,Tall Kalakh,تلكلخ,SY0403,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hadideh,حديدة,SY040301,,,,,,Tall Kalakh,تلكلخ,SY0403,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Nasra,الناصرة,SY040303,,,,,,Tall Kalakh,تلكلخ,SY0403,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hawash,الحواش,SY040304,,,,,,Tall Kalakh,تلكلخ,SY0403,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ar-Rastan,مركز الرستن,SY040400,,,,,,Ar-Rastan,الرستن,SY0404,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Talbiseh,تلبيسة,SY040401,,,,,,Ar-Rastan,الرستن,SY0404,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tadmor,مركز تدمر,SY040500,,,,,,Tadmor,تدمر,SY0405,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sokhneh,السخنة,SY040501,,,,,,Tadmor,تدمر,SY0405,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al Makhrim,المخرم,SY040600,,,,,,Al Makhrim,المخرم,SY0406,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jeb Ej-Jarrah,جب الجراح,SY040601,,,,,,Al Makhrim,المخرم,SY0406,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hama,مركز حماة,SY050100,,,,,,Hama,مركز حماة,SY0501,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Suran,صوران,SY050101,,,,,,Hama,مركز حماة,SY0501,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Harbanifse,حربنفسه,SY050102,,,,,,Hama,مركز حماة,SY0501,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hamra,الحمراء,SY050103,,,,,,Hama,مركز حماة,SY0501,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
As-Suqaylabiyah,مركز السقيلبية,SY050200,,,,,,As-Suqaylabiyah,السقيلبية,SY0502,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tell Salhib,تلسلحب,SY050201,,,,,,As-Suqaylabiyah,السقيلبية,SY0502,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ziyara,الزيارة,SY050202,,,,,,As-Suqaylabiyah,السقيلبية,SY0502,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Shat-ha,شطحة,SY050203,,,,,,As-Suqaylabiyah,السقيلبية,SY0502,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Madiq Castle,قلعة المضيق,SY050204,,,,,,As-Suqaylabiyah,السقيلبية,SY0502,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
As-Salamiyeh,مركز السلمية,SY050300,,,,,,As-Salamiyeh,السلمية,SY0503,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Eastern Bari,بري شرقي,SY050301,,,,,,As-Salamiyeh,السلمية,SY0503,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
As-Saan,السعن,SY050302,,,,,,As-Salamiyeh,السلمية,SY0503,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Saboura,صبورة,SY050303,,,,,,As-Salamiyeh,السلمية,SY0503,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Oqeirbat,عقيربات,SY050304,,,,,,As-Salamiyeh,السلمية,SY0503,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Masyaf,مركز مصياف,SY050400,,,,,,Masyaf,مصياف,SY0504,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jeb Ramleh,جب رملة,SY050401,,,,,,Masyaf,مصياف,SY0504,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Oj,عوج,SY050402,,,,,,Masyaf,مصياف,SY0504,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ein Halaqim,عين حلاقيم,SY050403,,,,,,Masyaf,مصياف,SY0504,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Wadi El-oyoun,وادي العيون,SY050404,,,,,,Masyaf,مصياف,SY0504,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Muhradah,مركز محردة,SY050500,,,,,,Muhradah,محردة,SY0505,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kafr Zeita,كفرزيتا,SY050501,,,,,,Muhradah,محردة,SY0505,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Karnaz,كرناز,SY050502,,,,,,Muhradah,محردة,SY0505,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Lattakia,مركز اللاذقية,SY060000,,,,,,Lattakia,مركز اللاذقية,SY0600,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Bahlolieh,البهلولية,SY060001,,,,,,Lattakia,مركز اللاذقية,SY0600,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Rabee'a,ربيعة,SY060002,Rabeea,,,,,Lattakia,مركز اللاذقية,SY0600,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ein El-Bayda,عين البيضا,SY060003,,,,,,Lattakia,مركز اللاذقية,SY0600,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qastal Maaf,قسطل معاف,SY060004,,,,,,Lattakia,مركز اللاذقية,SY0600,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kasab,كسب,SY060005,,,,,,Lattakia,مركز اللاذقية,SY0600,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hanadi,هنادي,SY060006,,,,,,Lattakia,مركز اللاذقية,SY0600,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jablah,مركز جبلة,SY060200,,,,,,Jablah,جبلة,SY0602,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ein Elsharqiyeh,عين الشرقية,SY060201,,,,,,Jablah,جبلة,SY0602,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qteilbiyyeh,القطيلبية,SY060202,,,,,,Jablah,جبلة,SY0602,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ein Shaqaq,عين شقاق,SY060203,,,,,,Jablah,جبلة,SY0602,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dalyeh,دالية,SY060204,,,,,,Jablah,جبلة,SY0602,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Beit Yashout,بيت ياشوط,SY060205,,,,,,Jablah,جبلة,SY0602,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Haffa,مركزالحفة,SY060300,,,,,,Al-Haffa,الحفة,SY0603,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
