#adm2+name+i_en,#adm2+name+i_hy,#adm2+name+i_ru,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_hy,#adm2+name+alt2+i_hy,#adm2+name+alt1+i_ru,#adm2+name+alt2+i_ru,#adm1+name+i_en,#adm1+name+i_hy,#adm1+name+i_ru,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_hy,#country+name+i_ru,#country+code+v_iso2,#date+start,#date+updated,#date+end
Yerevan,Երևան,Ереван,AM011,,,,,,,,Yerevan,Երևան,Ереван,AM01,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Karmir,Կարմիր,Кармир,AM052,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Martuni,Մարտունի,Мартуни,AM053,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Sevan,Սևան,Севан,AM054,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Vardenis,Վարդենիս,Варденис,AM055,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Gugark,Գուգարք,Гугарк,AM061,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Tumanian,Թումանյան,Туманян,AM062,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Spitak,Սպիտակ,Спитак,AM063,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Stepanavan,Ստեփանավան,Степанаван,AM064,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Tashir,Տաշիր,Ташир,AM065,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Kotayk,Կոտայք,Котайк,AM071,,,,,,,,Kotayk,Կոտայք,Котайкская,AM07,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Hrazdan,Հրազդան,Раздан,AM072,,,,,,,,Kotayk,Կոտայք,Котайкская,AM07,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Nairi,Նաիրի,Наири,AM073,,,,,,,,Kotayk,Կոտայք,Котайкская,AM07,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Akhuryan,Ախուրյան,Ахурян,AM081,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Amasia,Ամասիա,Амасиа,AM082,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Ani,Անի,Ани,AM083,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Ashotck,Աշոցք,Ашотцк,AM084,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Artik,Արթիկ,Артик,AM085,,,,,,,,Shirak,Շիրակ,Ширакская,AM08,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Goris,Գորիս,Горис,AM091,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Kapan,Կապան,Капан,AM092,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Meghri,Մեղրի,Мегри,AM093,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Sisian,Սիսիան,Сисиан,AM094,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Yeghegnadzor,Եղեգնաձոր,Егегнадзор,AM101,,,,,,,,Vayots Dzor,Վայոց Ձոր,Вайоцдзорская,AM10,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Vayk,Վայք,Вайк,AM102,,,,,,,,Vayots Dzor,Վայոց Ձոր,Вайоцдзорская,AM10,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Idjevan,Իջևան,Иджеван,AM111,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Noyemberyan,Նոյեմբերյան,Ноемберян,AM112,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Tavush,Տավուշ,Тавуш,AM113,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Dilidjan,Դիլիջան,Дилиджан,AM114,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
