#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:64:41:17:1753943,17_1753943,,,Q1753943,/wisdom of the crowd - collective perception of a group of people/,,
1603:64:41:17:2052203,17_2052203,,,Q2052203,"/multi-objective optimization - area of multiple criteria decision making, that is concerned with mathematical optimization problems involving more than one objective function to be optimized simultaneously/",,
1603:64:41:17:2072794,17_2072794,,,Q2072794,"/particle swarm optimization - optimization method that tries a set of candidate solutions (“particles“) moving around in the search-space, guided toward the best known positions as better positions are found by other particles/",,
1603:64:41:17:2446723,17_2446723,,,Q2446723,/swarm robotics - coordination of multiple robots as a system/,,
1603:64:41:17:2548752,17_2548752,,,Q2548752,"/collective behavior - /social processes and events which do not reflect existing social structure, but which emerge in a spontaneous way/",,
1603:64:41:17:2631895,17_2631895,,,Q2631895,/automated planning and scheduling - branch of artificial intelligence that concerns the realization of strategies or action sequences/,,
1603:64:41:17:2835898,17_2835898,,,Q2835898,/distributed algorithm - algorithm designed to run on computer hardware constructed from interconnected processors/,,
1603:64:41:17:3153007,17_3153007,,,Q3153007,/distributed artificial intelligence/,,
1603:64:41:17:3497720,17_3497720,,,Q3497720,/bees algorithm/,,
1603:64:41:17:4801057,17_4801057,,,Q4801057,/artificial bee colony algorithm - /optimization algorithm based on the intelligent foraging behaviour of honey bee swarm,,
1603:64:41:17:5130575,17_5130575,,,Q5130575,/cleaning symbiosis - m[utually beneficial association between individuals of two species/,,
1603:64:41:17:5162845,17_5162845,,,Q5162845,/consensus dynamics/,,
1603:64:41:17:5167913,17_5167913,,,Q5167913,/cooperative distributed problem solving/,,
1603:64:41:17:5249081,17_5249081,,,Q5249081,/decentralized computing - concept in where a computer system can have many parts or nodes and still function fully if one of the parts or nodes fail/,,
1603:64:41:17:6839259,17_6839259,,,Q6839259,/microbial cooperation/,,
1603:64:41:17:6839260,17_6839260,,,Q6839260,/microbial intelligence -adaptive behavior among bacteria and protists/,,
1603:64:41:17:6934423,17_6934423,,,Q6934423,/multi-agent planning/,,
1603:64:41:17:6934508,17_6934508,,,Q6934508,/multi-swarm optimization/,,
1603:64:41:17:6935067,17_6935067,,,Q6935067,/multiscale decision-making/,,
1603:64:41:17:14915018,17_14915018,,,Q14915018,/swarm behaviour - collective behaviour of a large number of (usually) self-propelled entities of similar size/,,
1603:64:41:17:18204722,17_18204722,,,Q18204722,/decentralized autonomous organization - computer network organization model/,,
1603:64:41:17:21281178,17_21281178,,,Q21281178,/distributed constrained optimisation problem/,,
1603:64:41:17:28324877,17_28324877,,,Q28324877,/fish School Search/,,
1603:64:41:17:50818671,17_50818671,,,Q50818671,/federated learning - method for artificial intelligence/,,
1603:64:41:17:55080113,17_55080113,,,Q55080113,/decentralized application - type of computer application/,,
1603:64:41:17:55080175,17_55080175,,,Q55080175,/dispersive flies optimisation/,,
