#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_eng+is_latn,#adm3+name+i_ara+is_arab,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_ara+is_arab,#adm3+name+alt2+i_ara+is_arab,#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:887:3:110321,110321,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110321,Bani Qays,بني قيس,YE110321,Bani Qays - Ar Radmah,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110322,110322,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110322,Shizar,شيزر,YE110322,Shizar,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110323,110323,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110323,Kuhlan,كحلان,YE110323,Kuhlan - Ar Radmah,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110324,110324,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110324,Al Bakrah,البكره,YE110324,Al Bakrah,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110325,110325,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110325,Ajeeb,عجيب,YE110325,Ajeeb,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110326,110326,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110326,Azaal,ازال,YE110326,Azaal - Ar Radmah,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110327,110327,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110327,Sudan,سودان,YE110327,Sudan,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110328,110328,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110328,Yahir,يحير,YE110328,Yahir,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110329,110329,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1103,1603:45:16:887:3:110329,Harith Al Haydari,حارث الحيدرى,YE110329,Harith Al Haydari,,,,,Ar Radmah,الرضمه,YE1103,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110421,110421,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110421,Hadah,حده,YE110421,Hadah,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110422,110422,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110422,Sha'b Al Muraysi,شعب المريسي,YE110422,Shab Al Muraysi,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110423,110423,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110423,Az Zamazimah,الزمازمه,YE110423,Az Zamazimah,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110424,110424,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110424,Al Fajrah,الفجره,YE110424,Al Fajrah,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110425,110425,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110425,Ash Sharnamah Al Olya,الشرنمة العليا,YE110425,Ash Sharnamah Al Olya,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110426,110426,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110426,Al Aridah,العارضه,YE110426,Al Aridah - An Nadirah,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110427,110427,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110427,Hazib,حزيب,YE110427,Hazib,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110428,110428,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110428,Sharih,شريح,YE110428,Sharih - An Nadirah,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110429,110429,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110429,Muqana' Al A'la,مقنع الاعلى,YE110429,Muqana Al Ala,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110430,110430,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110430,Al Miftah Al A'la,المفتاح الاعلى,YE110430,Al Miftah Al Ala,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110431,110431,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110431,Dhulm,ظلم,YE110431,Dhulm,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110432,110432,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110432,Malik,مالك,YE110432,Malik,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110433,110433,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110433,Amqah,عمقه,YE110433,Amqah,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110434,110434,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1104,1603:45:16:887:3:110434,Shakhb,شخب,YE110434,Shakhb,,,,,An Nadirah,النادره,YE1104,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110521,110521,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110521,Al Amluk,الا ملؤك,YE110521,Al Amluk,,,,,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110522,110522,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110522,Bait As Saydi,بيت الصائدي,YE110522,Bait As Saydi,,,,,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110523,110523,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110523,Al Qabil Al Asfal,القابل الاسفل,YE110523,Al Qabil Al Asfal,,,,,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110524,110524,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110524,Maqna',مقنع,YE110524,Maqna,,,,,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110525,110525,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110525,Al Miftah,المفتاح,YE110525,Al Miftah,,,,,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110526,110526,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110526,Al Qabil Al A'la,القابل الاعلى,YE110526,Al Qabil Al Ala,,,,,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110527,110527,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110527,Al Wasat,الوسط,YE110527,Al Wasat - Ash Shair,,,,,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110528,110528,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110528,Al Abs,العبس,YE110528,Al Abs,,,,,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110621,110621,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110621,Wadi Hajjaj,وادي حجاج,YE110621,Wadi Hajjaj,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110622,110622,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110622,Wadi Al Habali,وادي الحبالي,YE110622,Wadi Al Habali,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110623,110623,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110623,At Tuwiti,التويتي,YE110623,At Tuwiti,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110624,110624,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110624,Az Za'la'a,الزعلاء,YE110624,Az Zalaa,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110625,110625,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110625,Al A'mas,الاعماس,YE110625,Al Amas,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110626,110626,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110626,Jabal Hajjaj,جبل حجاج,YE110626,Jabal Hajjaj,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110627,110627,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110627,Bani Al Othmaniyyen,بني العثمانيين,YE110627,Bani Al Othmaniyyen,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110628,110628,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110628,Bani Al Harith,بني الحارث,YE110628,Bani Al Harith - As Saddah,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110629,110629,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110629,Al Markham,المرخام,YE110629,Al Markham,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110630,110630,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110630,Jabal Isam,جبل عصام,YE110630,Jabal Isam,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110631,110631,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110631,Jabal Al Jabaali,جبل الجبالي,YE110631,Jabal Al Jabaali,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110632,110632,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110632,Al Arafah,العرافه,YE110632,Al Arafah,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110633,110633,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110633,Wadi Isam,وادي عصام,YE110633,Wadi Isam,,,,,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110721,110721,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110721,As Sahul,السحول,YE110721,As Sahul,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110722,110722,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110722,Ash Sharaf,الشرف,YE110722,Ash Sharaf - Al Makhadir,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110723,110723,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110723,Al Wadi,الوادي,YE110723,Al Wadi - Al Makhadir,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110724,110724,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110724,Bid'ah,بضعه,YE110724,Bidah,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110725,110725,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110725,Dhari Othman,ذاري عثمان,YE110725,Dhari Othman,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110726,110726,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110726,As Safi,الصفي,YE110726,As Safi,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110727,110727,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110727,Al Mahram,المحرم,YE110727,Al Mahram,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110728,110728,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110728,Al Mi'shar,المعشار,YE110728,Al Mishar - Al Makhadir,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110729,110729,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110729,Jabal Aqd,جبل عقد,YE110729,Jabal Aqd,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110730,110730,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1107,1603:45:16:887:3:110730,Bani Sarhah,بني سرحه,YE110730,Bani Sarhah,,,,,Al Makhadir,المخادر,YE1107,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110821,110821,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1108,1603:45:16:887:3:110821,Rub' Dhalmah,ربع ظلمه,YE110821,Rub Dhalmah,,,,,Hobeish,حبيش,YE1108,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110822,110822,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1108,1603:45:16:887:3:110822,Jabal Amiqah,جبل عميقه,YE110822,Jabal Amiqah,,,,,Hobeish,حبيش,YE1108,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
