qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,lao-Laoo-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,lao-Laoo-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,lao-Laoo-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:418:2:609,609,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:609,Chomphet,ມ. ຈອມເພັດ,LA0609,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:610,610,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:610,Viengkham,ມ. ວຽງຄຳ,LA0610,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:611,611,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:611,Phoukhoune,ມ. ພູຄູນ,LA0611,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:612,612,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:612,Phonthong,ມ. ໂພນທອງ,LA0612,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:701,701,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:701,Xamneua,ມ. ຊຳເໜືອ,LA0701,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:702,702,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:702,Xiengkhor,ມ. ຊຽງຄໍ້,LA0702,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:703,703,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:703,Hiem,ມ. ຮ້ຽມ,LA0703,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:704,704,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:704,Viengxay,ມ. ວຽງໄຊ,LA0704,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:705,705,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:705,Huameuang,ມ. ຫົວເມືອງ,LA0705,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:706,706,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:706,Xamtay,ມ. ຊຳໃຕ້,LA0706,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:707,707,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:707,Sopbao,ມ. ສົບເບົາ,LA0707,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:708,708,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:708,Add,ມ. ແອດ,LA0708,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:709,709,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:709,Kuan,ມ. ກວັນ,LA0709,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:710,710,1603:45:16:418:0,1603:45:16:418:1:7,1603:45:16:418:2:710,Xon,ມ. ຊ່ອນ,LA0710,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:801,801,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:801,Xayabury,ມ. ໄຊຍະບູລີ,LA0801,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:802,802,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:802,Khop,ມ. ຄອບ,LA0802,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:803,803,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:803,Hongsa,ມ. ຫົງສາ,LA0803,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:804,804,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:804,Ngeun,ມ. ເງີນ,LA0804,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:805,805,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:805,Xienghone,ມ. ຊຽງຮ່ອນ,LA0805,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:806,806,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:806,Phiang,ມ. ພຽງ,LA0806,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:807,807,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:807,Parklai,ມ. ປາກລາຍ,LA0807,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:808,808,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:808,Kenethao,ມ. ແກ່ນທ້າວ,LA0808,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:809,809,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:809,Botene,ມ. ບໍ່ແຕນ,LA0809,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:810,810,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:810,Thongmyxay,ມ. ທົ່ງມີໄຊ,LA0810,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:811,811,1603:45:16:418:0,1603:45:16:418:1:8,1603:45:16:418:2:811,Xaysathan,ມ. ໄຊສະຖານ,LA0811,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:901,901,1603:45:16:418:0,1603:45:16:418:1:9,1603:45:16:418:2:901,Pek,ມ. ແປກ,LA0901,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:902,902,1603:45:16:418:0,1603:45:16:418:1:9,1603:45:16:418:2:902,Kham,ມ. ຄຳ,LA0902,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:903,903,1603:45:16:418:0,1603:45:16:418:1:9,1603:45:16:418:2:903,Nonghed,ມ. ໜອງແຣດ,LA0903,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:904,904,1603:45:16:418:0,1603:45:16:418:1:9,1603:45:16:418:2:904,Khoune,ມ. ຄູນ,LA0904,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:905,905,1603:45:16:418:0,1603:45:16:418:1:9,1603:45:16:418:2:905,Mork,ມ. ໜອກໄມ,LA0905,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:906,906,1603:45:16:418:0,1603:45:16:418:1:9,1603:45:16:418:2:906,Phookood,ມ. ພູກູດ,LA0906,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:907,907,1603:45:16:418:0,1603:45:16:418:1:9,1603:45:16:418:2:907,Phaxay,ມ. ຜາໄຊ,LA0907,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1001,1001,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1001,Phonhong,ມ. ໂພນໂຮງ,LA1001,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1002,1002,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1002,Thoulakhom,ມ. ທຸລະຄົມ,LA1002,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1003,1003,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1003,Keo Oudom,ມ. ແກ້ວອຸດົມ,LA1003,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1004,1004,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1004,Kasy,ມ. ກາສີ,LA1004,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1005,1005,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1005,Vangvieng,ມ. ວັງວຽງ,LA1005,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1006,1006,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1006,Feuang,ມ. ເຟືອງ,LA1006,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1007,1007,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1007,Xanakharm,ມ. ຊະນະຄາມ,LA1007,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1008,1008,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1008,Mad,ມ. ແມດ,LA1008,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1009,1009,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1009,Viengkham,ມ. ວຽງຄຳ,LA1009,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
